time,open,high,low,close,volume,source_url,venue_symbol,chunk_start_utc,chunk_end_utc,resolution,historical_backfill,rankable_pre_holdout,contains_protected_period
1767139200000,2970.93734885608,2970.93734885608,2965.28212480647,2966.22339611683,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767139500000,2966.22339611683,2967.07548581747,2962.56236541846,2964.11017137827,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767139800000,2964.11017137827,2964.49434692796,2962.60035120037,2963.51059152148,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140100000,2963.51059152148,2964.95556676732,2959.77465705463,2961.02125680891,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140400000,2961.02125680891,2965.15329754609,2960.89105343367,2964.62861546961,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140700000,2964.62861546961,2968.39828447688,2963.34346809073,2966.61547140475,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141000000,2966.61547140475,2966.61547140475,2960.52975765499,2966.24751548585,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141300000,2966.24751548585,2966.33509513192,2964.33022811292,2964.92164662924,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141600000,2964.92164662924,2967.1421449296,2964.58822064724,2966.55821404735,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141900000,2966.55821404735,2966.56703894752,2963.59689553377,2964.94336629644,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142200000,2964.94336629644,2965.74929895016,2963.16435206839,2964.01082956921,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142500000,2964.01082956921,2964.22867182584,2962.59291152708,2963.46414522661,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142800000,2963.46414522661,2963.73223526104,2961.43036920377,2962.47558115633,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143100000,2962.47558115633,2964.15278568566,2959.73218578267,2961.35369656826,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143400000,2961.35369656826,2966.72367067949,2959.7356097831,2966.09102451112,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143700000,2966.09102451112,2979.68529415631,2965.88955422878,2979.29056858519,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144000000,2979.29056858519,2981.15215812357,2976.0019141578,2977.50648527464,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144300000,2977.50648527464,2977.77002045461,2974.0717568603,2976.55612894396,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144600000,2976.55612894396,2981.3113219404,2976.22949096525,2981.3113219404,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144900000,2981.3113219404,2982.31935486571,2976.65270607363,2976.82767405078,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767145200000,2976.82767405078,2981.50782530578,2976.82767405078,2979.84981368061,0,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
