time,open,high,low,close,volume,source_url,venue_symbol,chunk_start_utc,chunk_end_utc,resolution,historical_backfill,rankable_pre_holdout,contains_protected_period
1767139200000,88418,88418,88318,88347,4.4986,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767139500000,88347,88377,88300,88320,1.0484,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767139800000,88320,88320,88264,88305,2.6654,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140100000,88305,88326,88203,88226,28.2391,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140400000,88226,88282,88226,88265,1.7529,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140700000,88265,88389,88242,88309,6.3854,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141000000,88309,88326,88171,88281,15.62839999999999,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141300000,88281,88283,88239,88239,5.9075,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141600000,88239,88275,88238,88250,0.6351,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141900000,88250,88250,88190,88224,0.9607,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142200000,88224,88238,88187,88202,0.5324,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142500000,88202,88210,88168,88168,0.873,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142800000,88168,88223,88159,88215,1.4673,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143100000,88215,88230,88111,88147,4.8526,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143400000,88147,88250,88109,88238,10.4125,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143700000,88238,88551,88229,88540,6.2888,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144000000,88540,88634,88483,88581,8.7609,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144300000,88581,88581,88500,88519,1.114,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144600000,88519,88688,88504,88688,2.7279,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144900000,88688,88690,88573,88573,1.8386,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767145200000,88573,88681,88573,88660,1.2157,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767145500000,88660,88719,88651,88662,5.7805,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767145800000,88662,88675,88555,88568,6.0799,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767146100000,88568,88579,88520,88573,4.287,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767146400000,88573,88589,88446,88589,9.6967,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767146700000,88589,88594,88515,88523,8.6918,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
