symbol,official_opening_date,current_roster_member,trade_bar_exists_before_protected_cutoff,mark_bar_exists_before_protected_cutoff,included,candidate_cohort_version,reason,survivorship_free_claim,continuous_tradeability_claim,known_lifecycle_invalidation_intervals
PF_1INCHUSD,2022-08-24T12:58:23Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_2ZUSD,2025-10-07T12:13:01Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AAPLXUSD,2026-02-06T09:39:17Z,True,False,False,False,current_roster_bar_existence_cohort,excluded_opening_on_or_after_protected_cutoff,False,False,[]
PF_AAVEUSD,2022-06-27T12:57:38Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ACEUSD,2024-10-09T12:17:47Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ADAUSD,2022-03-22T14:11:11Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AEVOUSD,2024-05-22T13:02:19Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AGLDUSD,2023-08-23T13:00:16Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AIXBTUSD,2025-01-21T13:18:55Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AKTUSD,2024-11-19T13:31:30Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ALCHUSD,2025-01-28T10:29:03Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ALGOUSD,2022-07-06T12:59:13Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ALICEUSD,2022-09-21T12:59:36Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ALTUSD,2024-05-29T13:23:27Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ANIMEUSD,2025-01-24T15:23:59Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ANKRUSD,2022-09-14T12:59:25Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ANTHROPICXUSD,2026-06-15T11:21:55Z,True,False,False,False,current_roster_bar_existence_cohort,excluded_opening_on_or_after_protected_cutoff,False,False,[]
PF_APEUSD,2022-06-13T12:56:33Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_API3USD,2024-01-31T13:00:41Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_APTUSD,2022-10-19T09:53:17Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ARBUSD,2023-03-23T14:30:10Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ARCUSD,2025-01-28T10:29:32Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ARKMUSD,2024-05-15T13:03:07Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ARUSD,2024-05-09T11:12:01Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ASTERUSD,2025-09-25T18:27:45Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ASTRUSD,2024-05-01T12:11:31Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ATHUSD,2024-11-14T17:37:12Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_ATOMUSD,2022-03-22T14:23:24Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AUCTIONUSD,2024-08-15T14:10:28Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AVAXUSD,2022-03-22T14:54:24Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_AXSUSD,2022-08-03T12:56:50Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_B3USD,2025-03-14T11:47:07Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BANANAUSD,2024-09-25T12:43:07Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BANDUSD,2022-09-21T12:59:31Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BATUSD,2022-07-20T12:59:19Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BBUSD,2024-06-20T12:12:15Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BCHUSD,2022-03-22T14:29:03Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BEAMUSD,2024-04-17T13:08:02Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BELUSD,2024-11-07T14:23:35Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
PF_BERAUSD,2025-02-12T14:57:38Z,True,True,True,True,current_roster_bar_existence_cohort,included_current_roster_with_preprotected_trade_and_mark_bars,False,False,[]
