year,symbol,residual_model_version,sign,path_state,candidate_count
2023,PF_1INCHUSD,btc_eth_ols_daily_v1,positive,smooth,136
2023,PF_1INCHUSD,btc_eth_ols_daily_v1,positive,jump_dominated,160
2023,PF_1INCHUSD,btc_eth_ols_daily_v1,positive,intermediate,719
2023,PF_1INCHUSD,btc_eth_ols_daily_v1,negative,smooth,79
2023,PF_1INCHUSD,btc_eth_ols_daily_v1,negative,jump_dominated,233
2023,PF_1INCHUSD,btc_eth_ols_daily_v1,negative,intermediate,993
2023,PF_1INCHUSD,btc_only_ols_daily_v1,positive,smooth,146
2023,PF_1INCHUSD,btc_only_ols_daily_v1,positive,jump_dominated,126
2023,PF_1INCHUSD,btc_only_ols_daily_v1,positive,intermediate,708
2023,PF_1INCHUSD,btc_only_ols_daily_v1,negative,smooth,65
2023,PF_1INCHUSD,btc_only_ols_daily_v1,negative,jump_dominated,227
2023,PF_1INCHUSD,btc_only_ols_daily_v1,negative,intermediate,1037
2023,PF_2ZUSD,btc_eth_ols_daily_v1,positive,smooth,0
2023,PF_2ZUSD,btc_eth_ols_daily_v1,positive,jump_dominated,0
2023,PF_2ZUSD,btc_eth_ols_daily_v1,positive,intermediate,0
2023,PF_2ZUSD,btc_eth_ols_daily_v1,negative,smooth,0
2023,PF_2ZUSD,btc_eth_ols_daily_v1,negative,jump_dominated,0
2023,PF_2ZUSD,btc_eth_ols_daily_v1,negative,intermediate,0
2023,PF_2ZUSD,btc_only_ols_daily_v1,positive,smooth,0
2023,PF_2ZUSD,btc_only_ols_daily_v1,positive,jump_dominated,0
2023,PF_2ZUSD,btc_only_ols_daily_v1,positive,intermediate,0
2023,PF_2ZUSD,btc_only_ols_daily_v1,negative,smooth,0
2023,PF_2ZUSD,btc_only_ols_daily_v1,negative,jump_dominated,0
2023,PF_2ZUSD,btc_only_ols_daily_v1,negative,intermediate,0
2023,PF_AAVEUSD,btc_eth_ols_daily_v1,positive,smooth,69
2023,PF_AAVEUSD,btc_eth_ols_daily_v1,positive,jump_dominated,16
2023,PF_AAVEUSD,btc_eth_ols_daily_v1,positive,intermediate,1131
2023,PF_AAVEUSD,btc_eth_ols_daily_v1,negative,smooth,83
2023,PF_AAVEUSD,btc_eth_ols_daily_v1,negative,jump_dominated,2
2023,PF_AAVEUSD,btc_eth_ols_daily_v1,negative,intermediate,576
2023,PF_AAVEUSD,btc_only_ols_daily_v1,positive,smooth,83
2023,PF_AAVEUSD,btc_only_ols_daily_v1,positive,jump_dominated,16
2023,PF_AAVEUSD,btc_only_ols_daily_v1,positive,intermediate,1041
2023,PF_AAVEUSD,btc_only_ols_daily_v1,negative,smooth,94
2023,PF_AAVEUSD,btc_only_ols_daily_v1,negative,jump_dominated,2
2023,PF_AAVEUSD,btc_only_ols_daily_v1,negative,intermediate,562
2023,PF_ACEUSD,btc_eth_ols_daily_v1,positive,smooth,0
2023,PF_ACEUSD,btc_eth_ols_daily_v1,positive,jump_dominated,0
2023,PF_ACEUSD,btc_eth_ols_daily_v1,positive,intermediate,0
2023,PF_ACEUSD,btc_eth_ols_daily_v1,negative,smooth,0
2023,PF_ACEUSD,btc_eth_ols_daily_v1,negative,jump_dominated,0
2023,PF_ACEUSD,btc_eth_ols_daily_v1,negative,intermediate,0
2023,PF_ACEUSD,btc_only_ols_daily_v1,positive,smooth,0
2023,PF_ACEUSD,btc_only_ols_daily_v1,positive,jump_dominated,0
2023,PF_ACEUSD,btc_only_ols_daily_v1,positive,intermediate,0
2023,PF_ACEUSD,btc_only_ols_daily_v1,negative,smooth,0
2023,PF_ACEUSD,btc_only_ols_daily_v1,negative,jump_dominated,0
2023,PF_ACEUSD,btc_only_ols_daily_v1,negative,intermediate,0
2023,PF_ADAUSD,btc_eth_ols_daily_v1,positive,smooth,7
2023,PF_ADAUSD,btc_eth_ols_daily_v1,positive,jump_dominated,0
2023,PF_ADAUSD,btc_eth_ols_daily_v1,positive,intermediate,1468
2023,PF_ADAUSD,btc_eth_ols_daily_v1,negative,smooth,2
2023,PF_ADAUSD,btc_eth_ols_daily_v1,negative,jump_dominated,0
2023,PF_ADAUSD,btc_eth_ols_daily_v1,negative,intermediate,756
2023,PF_ADAUSD,btc_only_ols_daily_v1,positive,smooth,15
2023,PF_ADAUSD,btc_only_ols_daily_v1,positive,jump_dominated,0
2023,PF_ADAUSD,btc_only_ols_daily_v1,positive,intermediate,1397
2023,PF_ADAUSD,btc_only_ols_daily_v1,negative,smooth,2
2023,PF_ADAUSD,btc_only_ols_daily_v1,negative,jump_dominated,0
2023,PF_ADAUSD,btc_only_ols_daily_v1,negative,intermediate,776
2023,PF_AEVOUSD,btc_eth_ols_daily_v1,positive,smooth,0
2023,PF_AEVOUSD,btc_eth_ols_daily_v1,positive,jump_dominated,0
2023,PF_AEVOUSD,btc_eth_ols_daily_v1,positive,intermediate,0
2023,PF_AEVOUSD,btc_eth_ols_daily_v1,negative,smooth,0
2023,PF_AEVOUSD,btc_eth_ols_daily_v1,negative,jump_dominated,0
2023,PF_AEVOUSD,btc_eth_ols_daily_v1,negative,intermediate,0
2023,PF_AEVOUSD,btc_only_ols_daily_v1,positive,smooth,0
2023,PF_AEVOUSD,btc_only_ols_daily_v1,positive,jump_dominated,0
2023,PF_AEVOUSD,btc_only_ols_daily_v1,positive,intermediate,0
2023,PF_AEVOUSD,btc_only_ols_daily_v1,negative,smooth,0
2023,PF_AEVOUSD,btc_only_ols_daily_v1,negative,jump_dominated,0
2023,PF_AEVOUSD,btc_only_ols_daily_v1,negative,intermediate,0
2023,PF_AGLDUSD,btc_eth_ols_daily_v1,positive,smooth,89
2023,PF_AGLDUSD,btc_eth_ols_daily_v1,positive,jump_dominated,29
2023,PF_AGLDUSD,btc_eth_ols_daily_v1,positive,intermediate,323
2023,PF_AGLDUSD,btc_eth_ols_daily_v1,negative,smooth,24
2023,PF_AGLDUSD,btc_eth_ols_daily_v1,negative,jump_dominated,1
2023,PF_AGLDUSD,btc_eth_ols_daily_v1,negative,intermediate,100
2023,PF_AGLDUSD,btc_only_ols_daily_v1,positive,smooth,86
2023,PF_AGLDUSD,btc_only_ols_daily_v1,positive,jump_dominated,29
2023,PF_AGLDUSD,btc_only_ols_daily_v1,positive,intermediate,344
2023,PF_AGLDUSD,btc_only_ols_daily_v1,negative,smooth,21
2023,PF_AGLDUSD,btc_only_ols_daily_v1,negative,jump_dominated,2
2023,PF_AGLDUSD,btc_only_ols_daily_v1,negative,intermediate,105
2023,PF_AIXBTUSD,btc_eth_ols_daily_v1,positive,smooth,0
2023,PF_AIXBTUSD,btc_eth_ols_daily_v1,positive,jump_dominated,0
2023,PF_AIXBTUSD,btc_eth_ols_daily_v1,positive,intermediate,0
2023,PF_AIXBTUSD,btc_eth_ols_daily_v1,negative,smooth,0
2023,PF_AIXBTUSD,btc_eth_ols_daily_v1,negative,jump_dominated,0
2023,PF_AIXBTUSD,btc_eth_ols_daily_v1,negative,intermediate,0
2023,PF_AIXBTUSD,btc_only_ols_daily_v1,positive,smooth,0
2023,PF_AIXBTUSD,btc_only_ols_daily_v1,positive,jump_dominated,0
2023,PF_AIXBTUSD,btc_only_ols_daily_v1,positive,intermediate,0
2023,PF_AIXBTUSD,btc_only_ols_daily_v1,negative,smooth,0
2023,PF_AIXBTUSD,btc_only_ols_daily_v1,negative,jump_dominated,0
2023,PF_AIXBTUSD,btc_only_ols_daily_v1,negative,intermediate,0
2023,PF_AKTUSD,btc_eth_ols_daily_v1,positive,smooth,0
2023,PF_AKTUSD,btc_eth_ols_daily_v1,positive,jump_dominated,0
2023,PF_AKTUSD,btc_eth_ols_daily_v1,positive,intermediate,0
2023,PF_AKTUSD,btc_eth_ols_daily_v1,negative,smooth,0
2023,PF_AKTUSD,btc_eth_ols_daily_v1,negative,jump_dominated,0
2023,PF_AKTUSD,btc_eth_ols_daily_v1,negative,intermediate,0
2023,PF_AKTUSD,btc_only_ols_daily_v1,positive,smooth,0
2023,PF_AKTUSD,btc_only_ols_daily_v1,positive,jump_dominated,0
2023,PF_AKTUSD,btc_only_ols_daily_v1,positive,intermediate,0
2023,PF_AKTUSD,btc_only_ols_daily_v1,negative,smooth,0
2023,PF_AKTUSD,btc_only_ols_daily_v1,negative,jump_dominated,0
2023,PF_AKTUSD,btc_only_ols_daily_v1,negative,intermediate,0
2023,PF_ALCHUSD,btc_eth_ols_daily_v1,positive,smooth,0
2023,PF_ALCHUSD,btc_eth_ols_daily_v1,positive,jump_dominated,0
2023,PF_ALCHUSD,btc_eth_ols_daily_v1,positive,intermediate,0
2023,PF_ALCHUSD,btc_eth_ols_daily_v1,negative,smooth,0
2023,PF_ALCHUSD,btc_eth_ols_daily_v1,negative,jump_dominated,0
2023,PF_ALCHUSD,btc_eth_ols_daily_v1,negative,intermediate,0
2023,PF_ALCHUSD,btc_only_ols_daily_v1,positive,smooth,0
2023,PF_ALCHUSD,btc_only_ols_daily_v1,positive,jump_dominated,0
2023,PF_ALCHUSD,btc_only_ols_daily_v1,positive,intermediate,0
