ref_id,symbol,dataset,manifest_safe_shards,protected_shards_opened
c01_authority:historical_trade_candles_5m:PF_1INCHUSD:628aad75ae18a0f63528f7ad7b15ab8b6c663edbbe7de06349acf8ab71b658d8,PF_1INCHUSD,trade,219,0
c01_authority:historical_mark_candles_5m:PF_1INCHUSD:17390be252c35b6c0093fa1bd0aeb8e63bdf7599b0626131a522a6be28520c04,PF_1INCHUSD,mark,219,0
c01_authority:historical_trade_candles_5m:PF_2ZUSD:e21306b2fed749bb947d4ead59fe4959b00774d6d5d2282e64a4359f93fbfd7c,PF_2ZUSD,trade,219,0
c01_authority:historical_mark_candles_5m:PF_2ZUSD:a3c430d57dadefe1f5c2fb51e126caec50f6ed78943eb76d944a5c7b75a4284f,PF_2ZUSD,mark,219,0
c01_authority:historical_trade_candles_5m:PF_AAVEUSD:5ffc54cbe47abf61e9d9e995fb1a011f496fbc142945857e12e1b65cf21f875b,PF_AAVEUSD,trade,219,0
c01_authority:historical_mark_candles_5m:PF_AAVEUSD:458d0cb2531a9370b3b73e3649696856f5a23305cada055a5c587f97d2f9dbd4,PF_AAVEUSD,mark,219,0
c01_authority:historical_trade_candles_5m:PF_ACEUSD:b7b59feb898b6b994c9fd6ff33d6bd561c14563fc4d63a5a27f5cc6ce773e1ac,PF_ACEUSD,trade,219,0
c01_authority:historical_mark_candles_5m:PF_ACEUSD:3cac5aff6f3577b3ad407a3f048092a5795e22d35f7eff9b14c8e185a10723a2,PF_ACEUSD,mark,219,0
c01_authority:historical_trade_candles_5m:PF_ADAUSD:790acc31458930be818256f8d05731f389abbed09f3008d26f1962c3a8ce7a30,PF_ADAUSD,trade,219,0
c01_authority:historical_mark_candles_5m:PF_ADAUSD:0c1a6cbcc4cf5faa7f22130846152fc92b54d59a92919350c32c3b6bc7c5649d,PF_ADAUSD,mark,219,0
