symbol,residual_model,reason,row_count
PF_1INCHUSD,btc_eth_ols_daily_v1,source_rows,315648
PF_1INCHUSD,btc_eth_ols_daily_v1,pre_open_or_outside_train_rows,0
PF_1INCHUSD,btc_eth_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_1INCHUSD,btc_eth_ols_daily_v1,insufficient_estimation_rows,6336
PF_1INCHUSD,btc_eth_ols_daily_v1,missing_trade_or_mark_shock_window,6693
PF_1INCHUSD,btc_eth_ols_daily_v1,insufficient_scale_blocks,12167
PF_1INCHUSD,btc_eth_ols_daily_v1,missing_parent_diagnostic_window,575
PF_1INCHUSD,btc_eth_ols_daily_v1,eligible_shock_candidates,6047
PF_1INCHUSD,btc_only_ols_daily_v1,source_rows,315648
PF_1INCHUSD,btc_only_ols_daily_v1,pre_open_or_outside_train_rows,0
PF_1INCHUSD,btc_only_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_1INCHUSD,btc_only_ols_daily_v1,insufficient_estimation_rows,6336
PF_1INCHUSD,btc_only_ols_daily_v1,missing_trade_or_mark_shock_window,6693
PF_1INCHUSD,btc_only_ols_daily_v1,insufficient_scale_blocks,12167
PF_1INCHUSD,btc_only_ols_daily_v1,missing_parent_diagnostic_window,575
PF_1INCHUSD,btc_only_ols_daily_v1,eligible_shock_candidates,6114
PF_2ZUSD,btc_eth_ols_daily_v1,source_rows,315648
PF_2ZUSD,btc_eth_ols_daily_v1,pre_open_or_outside_train_rows,291027
PF_2ZUSD,btc_eth_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_2ZUSD,btc_eth_ols_daily_v1,insufficient_estimation_rows,297216
PF_2ZUSD,btc_eth_ols_daily_v1,missing_trade_or_mark_shock_window,297573
PF_2ZUSD,btc_eth_ols_daily_v1,insufficient_scale_blocks,303047
PF_2ZUSD,btc_eth_ols_daily_v1,missing_parent_diagnostic_window,291688
PF_2ZUSD,btc_eth_ols_daily_v1,eligible_shock_candidates,289
PF_2ZUSD,btc_only_ols_daily_v1,source_rows,315648
PF_2ZUSD,btc_only_ols_daily_v1,pre_open_or_outside_train_rows,291027
PF_2ZUSD,btc_only_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_2ZUSD,btc_only_ols_daily_v1,insufficient_estimation_rows,297216
PF_2ZUSD,btc_only_ols_daily_v1,missing_trade_or_mark_shock_window,297573
PF_2ZUSD,btc_only_ols_daily_v1,insufficient_scale_blocks,303047
PF_2ZUSD,btc_only_ols_daily_v1,missing_parent_diagnostic_window,291688
PF_2ZUSD,btc_only_ols_daily_v1,eligible_shock_candidates,282
PF_AAVEUSD,btc_eth_ols_daily_v1,source_rows,315648
PF_AAVEUSD,btc_eth_ols_daily_v1,pre_open_or_outside_train_rows,0
PF_AAVEUSD,btc_eth_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_AAVEUSD,btc_eth_ols_daily_v1,insufficient_estimation_rows,6336
PF_AAVEUSD,btc_eth_ols_daily_v1,missing_trade_or_mark_shock_window,6693
PF_AAVEUSD,btc_eth_ols_daily_v1,insufficient_scale_blocks,12167
PF_AAVEUSD,btc_eth_ols_daily_v1,missing_parent_diagnostic_window,575
PF_AAVEUSD,btc_eth_ols_daily_v1,eligible_shock_candidates,5774
PF_AAVEUSD,btc_only_ols_daily_v1,source_rows,315648
PF_AAVEUSD,btc_only_ols_daily_v1,pre_open_or_outside_train_rows,0
PF_AAVEUSD,btc_only_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_AAVEUSD,btc_only_ols_daily_v1,insufficient_estimation_rows,6336
PF_AAVEUSD,btc_only_ols_daily_v1,missing_trade_or_mark_shock_window,6693
PF_AAVEUSD,btc_only_ols_daily_v1,insufficient_scale_blocks,12167
PF_AAVEUSD,btc_only_ols_daily_v1,missing_parent_diagnostic_window,575
PF_AAVEUSD,btc_only_ols_daily_v1,eligible_shock_candidates,5322
PF_ACEUSD,btc_eth_ols_daily_v1,source_rows,315648
PF_ACEUSD,btc_eth_ols_daily_v1,pre_open_or_outside_train_rows,186484
PF_ACEUSD,btc_eth_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_ACEUSD,btc_eth_ols_daily_v1,insufficient_estimation_rows,192672
PF_ACEUSD,btc_eth_ols_daily_v1,missing_trade_or_mark_shock_window,193029
PF_ACEUSD,btc_eth_ols_daily_v1,insufficient_scale_blocks,198503
PF_ACEUSD,btc_eth_ols_daily_v1,missing_parent_diagnostic_window,187088
PF_ACEUSD,btc_eth_ols_daily_v1,eligible_shock_candidates,2881
PF_ACEUSD,btc_only_ols_daily_v1,source_rows,315648
PF_ACEUSD,btc_only_ols_daily_v1,pre_open_or_outside_train_rows,186484
PF_ACEUSD,btc_only_ols_daily_v1,known_lifecycle_invalidated_rows,0
PF_ACEUSD,btc_only_ols_daily_v1,insufficient_estimation_rows,192672
PF_ACEUSD,btc_only_ols_daily_v1,missing_trade_or_mark_shock_window,193029
PF_ACEUSD,btc_only_ols_daily_v1,insufficient_scale_blocks,198503
PF_ACEUSD,btc_only_ols_daily_v1,missing_parent_diagnostic_window,187088
PF_ACEUSD,btc_only_ols_daily_v1,eligible_shock_candidates,2860
PF_ADAUSD,btc_eth_ols_daily_v1,source_rows,315648
PF_ADAUSD,btc_eth_ols_daily_v1,pre_open_or_outside_train_rows,0
PF_ADAUSD,btc_eth_ols_daily_v1,known_lifecycle_invalidated_rows,0
