symbol,base,category,semantic_first_authority_ts,semantic_last_authority_ts,observed_official_snapshots,first_rank_day,last_rank_day,ranked_days,top_100_eligible_days,minimum_rank,maximum_rank,maximum_valid_prior_days,cohort_version,cohort_hash,survivorship_free_claim,continuous_tradeability_claim,exact_quote_volume_claim
PF_1INCHUSD,1INCH,DeFi,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,9,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,856,19,170,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_AAVEUSD,AAVE,DeFi,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,9,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,1023,6,54,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_ACEUSD,ACE,Gaming,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,101,246,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_ADAUSD,ADA,Layer 1,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,9,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,1023,3,15,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_AEVOUSD,AEVO,DeFi,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,118,188,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_AGLDUSD,AGLD,Gaming,2023-12-10 00:16:14+00:00,2026-07-17 00:00:00+00:00,8,2023-12-30 00:00:00+00:00,2025-12-31 00:00:00+00:00,733,318,29,250,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_AIXBTUSD,AIXBT,AI,2025-02-08 03:03:05+00:00,2026-07-17 00:00:00+00:00,5,2025-02-28 00:00:00+00:00,2025-12-31 00:00:00+00:00,307,219,50,114,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_AKTUSD,AKT,DeFi,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,1,100,208,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_ALCHUSD,ALCH,AI,2025-02-08 03:03:05+00:00,2026-07-17 00:00:00+00:00,5,2025-02-28 00:00:00+00:00,2025-12-31 00:00:00+00:00,307,119,38,183,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_ALGOUSD,ALGO,Layer 1,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,9,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,1023,18,79,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
