year,residual_model_version,sign,path_state,onset_event_count
2023,btc_eth_ols_daily_v1,negative,intermediate,1507
2023,btc_eth_ols_daily_v1,negative,jump_dominated,293
2023,btc_eth_ols_daily_v1,negative,smooth,175
2023,btc_eth_ols_daily_v1,positive,intermediate,1624
2023,btc_eth_ols_daily_v1,positive,jump_dominated,274
2023,btc_eth_ols_daily_v1,positive,smooth,253
2023,btc_only_ols_daily_v1,negative,intermediate,1502
2023,btc_only_ols_daily_v1,negative,jump_dominated,319
2023,btc_only_ols_daily_v1,negative,smooth,192
2023,btc_only_ols_daily_v1,positive,intermediate,1549
2023,btc_only_ols_daily_v1,positive,jump_dominated,279
2023,btc_only_ols_daily_v1,positive,smooth,277
2024,btc_eth_ols_daily_v1,negative,intermediate,3271
2024,btc_eth_ols_daily_v1,negative,jump_dominated,107
2024,btc_eth_ols_daily_v1,negative,smooth,279
2024,btc_eth_ols_daily_v1,positive,intermediate,4033
2024,btc_eth_ols_daily_v1,positive,jump_dominated,128
2024,btc_eth_ols_daily_v1,positive,smooth,357
2024,btc_only_ols_daily_v1,negative,intermediate,3310
2024,btc_only_ols_daily_v1,negative,jump_dominated,121
2024,btc_only_ols_daily_v1,negative,smooth,327
2024,btc_only_ols_daily_v1,positive,intermediate,3953
2024,btc_only_ols_daily_v1,positive,jump_dominated,138
2024,btc_only_ols_daily_v1,positive,smooth,415
2025,btc_eth_ols_daily_v1,negative,intermediate,2791
2025,btc_eth_ols_daily_v1,negative,jump_dominated,26
2025,btc_eth_ols_daily_v1,negative,smooth,127
2025,btc_eth_ols_daily_v1,positive,intermediate,3762
2025,btc_eth_ols_daily_v1,positive,jump_dominated,39
2025,btc_eth_ols_daily_v1,positive,smooth,230
2025,btc_only_ols_daily_v1,negative,intermediate,2702
2025,btc_only_ols_daily_v1,negative,jump_dominated,26
2025,btc_only_ols_daily_v1,negative,smooth,195
2025,btc_only_ols_daily_v1,positive,intermediate,3456
2025,btc_only_ols_daily_v1,positive,jump_dominated,39
2025,btc_only_ols_daily_v1,positive,smooth,271
