symbol,snapshot_ts,base_currency,base_currency_label,min_lot,source_sha256,min_lot_normalized,semantic_consistent,semantic_version
PF_1INCHUSD,2023-02-23 08:48:16+00:00,1INCH,1INCH (1INCH),1,919550d149e19f1939471cddb3baa6153bee0ea1028987089c7233d2e4eead74,1,True,9233b27f168b85846a0f14a05f4718aa09db09e1f5016a8d4af2e7f6476129f3
PF_1INCHUSD,2023-12-10 00:16:14+00:00,1INCH,1INCH (1INCH),1,e2d54d661c309408a85a02fe4e7bbf6926487ce6d479826cd00a0f85df8bd389,1,True,360d3128235c8572ab6393afcea6587d612803282b0d5a9f8e8e45b0fdc39bad
PF_1INCHUSD,2024-04-17 12:34:20+00:00,1INCH,1INCH (1INCH),1,f720158c859fa79390debc612e83018d0631bba320a4ac303b4433ffcf738fdf,1,True,2dbe42e54416ada63417eb940ce462b7efe40eeb8e0ee6f0af591525caf2a7fe
PF_1INCHUSD,2024-12-07 02:16:51+00:00,1INCH,1inch (1INCH),1,5c31e5a3ae4dd1c4938918c5bba14789382d0366ea523ece1f345bee6c53227f,1,True,2f0baef263d64e724b4bcac8a34d55cd2995c658e6ac0109fbae12493b10fe2d
PF_1INCHUSD,2025-02-08 03:03:05+00:00,1INCH,1inch (1INCH),1,13dbfacb87e4501cebdfd7ec056dd1069e93f5cdf014c3c8671fd85eedd7a1b5,1,True,cf669a9fa0831b6e6e3a8990e49508802b5914b476d63b3dd6d30314bd9495f7
PF_1INCHUSD,2025-03-23 23:24:48+00:00,1INCH,1inch (1INCH),1,8fac3518da6007f9bb096a5af63937dc4710e314dba55a2e8d4cce91b737de92,1,True,bfa369c1793a36bde3ae22e76b6504e8550ec0be4faac655dcfbdbb41954d741
PF_1INCHUSD,2025-06-17 05:47:15+00:00,1INCH,1inch (1INCH),1,07d869046c84f8680a295f2925cfb675b05d5e19cecddaba83508a951dfa4d5d,1,True,cb6c8d82c62006819cc987bbb466320d3923d7499d59cbdba6e124b65d055577
PF_1INCHUSD,2025-08-15 21:21:34+00:00,1INCH,1inch (1INCH),1,d1f311ab9efa2bab8f7c7300e7d9f7ff77ebbb99a313e614e9b299000e94dca1,1,True,b443370192a798033e7c15460e12ecdbd71b13e57f6ca1241270e88e120ccfdb
PF_1INCHUSD,2026-07-17 00:00:00+00:00,1INCH,1inch (1INCH),1,0dea29fb703f24c333282b51acdeb8c65c96229a3e7ee36498045a741eb34dc6,1,True,e46390dd6c5a6437811a422f73a79eb8b46022bf8703d09455ab70b97ef5196f
PF_1MBABYDOGEUSD,2025-08-15 21:21:34+00:00,1MBABYDOGE,1M x BABYDOGE (1MBABYDOGE),1000,d1f311ab9efa2bab8f7c7300e7d9f7ff77ebbb99a313e614e9b299000e94dca1,1000,True,4b8f53cb5d1ffaadde15e6c5fa757ecf3774c3ed3046c51be263d27c588d32c7
PF_2ZUSD,2026-07-17 00:00:00+00:00,2Z,DoubleZero (2Z),1,0dea29fb703f24c333282b51acdeb8c65c96229a3e7ee36498045a741eb34dc6,1,True,96dba84e73c072cc73379be038b4d8ecb1ea14b5a1d64ecf75097ec9c596d0c9
PF_AAPLXUSD,2026-07-17 00:00:00+00:00,AAPLx,Apple (AAPLx),0.01,0dea29fb703f24c333282b51acdeb8c65c96229a3e7ee36498045a741eb34dc6,0.01,True,69f41810dd47333c65920688a972dbf0c56adf9debbaf018b90239b560c96e2d
PF_AAVEUSD,2023-02-23 08:48:16+00:00,AAVE,Aave (AAVE),0.01,919550d149e19f1939471cddb3baa6153bee0ea1028987089c7233d2e4eead74,0.01,True,4e5f9c2d87530b9d191b02b421b91646aa29b91fb5e167243c84f0418c011022
PF_AAVEUSD,2023-12-10 00:16:14+00:00,AAVE,Aave (AAVE),0.01,e2d54d661c309408a85a02fe4e7bbf6926487ce6d479826cd00a0f85df8bd389,0.01,True,9f64e7f242226c4b435f07aff1a9e7cddc15b983ed4bf1db53c807484525f782
PF_AAVEUSD,2024-04-17 12:34:20+00:00,AAVE,Aave (AAVE),0.01,f720158c859fa79390debc612e83018d0631bba320a4ac303b4433ffcf738fdf,0.01,True,818de6b22243c453585abb4704da79f264efaa6dfde3410db85a7a0a0f521619
PF_AAVEUSD,2024-12-07 02:16:51+00:00,AAVE,Aave (AAVE),0.01,5c31e5a3ae4dd1c4938918c5bba14789382d0366ea523ece1f345bee6c53227f,0.01,True,86e49cf0209f39e3c42336e8b954dcdba83e8fddd4d63ea8c4835d8f3a5fcb64
PF_AAVEUSD,2025-02-08 03:03:05+00:00,AAVE,Aave (AAVE),0.01,13dbfacb87e4501cebdfd7ec056dd1069e93f5cdf014c3c8671fd85eedd7a1b5,0.01,True,a41c510e5f54d7fd1426d613df4b55f5dcce9aba8d227d57b4d75659d07700d8
PF_AAVEUSD,2025-03-23 23:24:48+00:00,AAVE,Aave (AAVE),0.01,8fac3518da6007f9bb096a5af63937dc4710e314dba55a2e8d4cce91b737de92,0.01,True,b5f6b6b8551eddde9f5502f3b88a29017e1d7da1cc4630ac64ac31074fa85aa7
PF_AAVEUSD,2025-06-17 05:47:15+00:00,AAVE,Aave (AAVE),0.01,07d869046c84f8680a295f2925cfb675b05d5e19cecddaba83508a951dfa4d5d,0.01,True,46a135ac592bf32ef0313750f1bbddff52b71f104780a6109aaad3de35478f9e
PF_AAVEUSD,2025-08-15 21:21:34+00:00,AAVE,Aave (AAVE),0.01,d1f311ab9efa2bab8f7c7300e7d9f7ff77ebbb99a313e614e9b299000e94dca1,0.01,True,33b56ca7078e58ce871a8c337aa19ee9f4918eeb569351c8fa22642ba804a58c
PF_AAVEUSD,2026-07-17 00:00:00+00:00,AAVE,Aave (AAVE),0.01,0dea29fb703f24c333282b51acdeb8c65c96229a3e7ee36498045a741eb34dc6,0.01,True,90df3133dfed36d720a1419dd4327a48ed4f81764197884a07b25919ced7dff3
PF_ACEUSD,2024-12-07 02:16:51+00:00,ACE,Fusionist (ACE),1,5c31e5a3ae4dd1c4938918c5bba14789382d0366ea523ece1f345bee6c53227f,1,True,aa98596cefefc66043a01a2e89f26febd5d28f3e3d30b5dfbc46f2385b4bbf95
PF_ACEUSD,2025-02-08 03:03:05+00:00,ACE,Fusionist (ACE),1,13dbfacb87e4501cebdfd7ec056dd1069e93f5cdf014c3c8671fd85eedd7a1b5,1,True,27a815678ea8f015bb44b11e3cf4e6f4a4a85d7640d0f6ed8b8302c0ec6b3446
