definition_id,model,model_role,branch,side,path_state,shock_sign,entry_rule,timeout,timeout_hours,timeout_role,definition_policy_hash,registered_even_if_zero_trades
c01_l3_p01_6h,btc_eth_ols_daily_v1,primary,positive_smooth_long,long,smooth,positive,onset_next_open,6h,6,primary,775179dd0a6d085947636a603e824632680952395296d742b3ed830ce5cc3e45,True
c01_l3_p01_24h,btc_eth_ols_daily_v1,primary,positive_smooth_long,long,smooth,positive,onset_next_open,24h,24,robustness,1f00f409585007270a3228625ef318aac7c2e7f65cc46aee5e6a79e1fb78e222,True
c01_l3_p02_6h,btc_eth_ols_daily_v1,primary,negative_smooth_short,short,smooth,negative,onset_next_open,6h,6,primary,6303bbdbbf48ea85b259f702b8f0fa2de041a2f4a3e9ee9b56cde2821f6fbc83,True
c01_l3_p02_24h,btc_eth_ols_daily_v1,primary,negative_smooth_short,short,smooth,negative,onset_next_open,24h,24,robustness,bd8aefc9d54fe0508b48d517d3bf578d20a7b8dd629e71ecb53eabeed1e265aa,True
c01_l3_p03_6h,btc_eth_ols_daily_v1,primary,positive_jump_completed_failure_short,short,jump_dominated,positive,completed_failure_within_24h_then_next_open,6h,6,primary,1601cfa3a547254de384e5436e092e141c0dd77e6c76d8c3828a3f11e3ffe733,True
c01_l3_p03_24h,btc_eth_ols_daily_v1,primary,positive_jump_completed_failure_short,short,jump_dominated,positive,completed_failure_within_24h_then_next_open,24h,24,robustness,b83b937a44150bb429b31ba1be73bb6813244325cac40e45061eede9bcc7a16d,True
c01_l3_p04_6h,btc_eth_ols_daily_v1,primary,negative_jump_completed_failure_long,long,jump_dominated,negative,completed_failure_within_24h_then_next_open,6h,6,primary,ced27d1e13d9daeee1ac52d52ad27ca856e89fe9f86fa42ef07b5630c058d04e,True
c01_l3_p04_24h,btc_eth_ols_daily_v1,primary,negative_jump_completed_failure_long,long,jump_dominated,negative,completed_failure_within_24h_then_next_open,24h,24,robustness,bca3be1ae175faec5241e24cf3a692f6ace9614a675c7eff7d643743f442fc64,True
c01_l3_r01_6h,btc_only_ols_daily_v1,robustness_only,positive_smooth_long,long,smooth,positive,onset_next_open,6h,6,primary,835ed3e6cd68d8b012e7880ca1c1d5a43c4f21342928f6e37d0193d57f01bb8d,True
c01_l3_r01_24h,btc_only_ols_daily_v1,robustness_only,positive_smooth_long,long,smooth,positive,onset_next_open,24h,24,robustness,7625f1d2c7044521108c621e9cccfa868fe90103c89ed94068cd1d949734a308,True
c01_l3_r02_6h,btc_only_ols_daily_v1,robustness_only,negative_smooth_short,short,smooth,negative,onset_next_open,6h,6,primary,6c5f51a059007965d721c5937f839629ec8fb71b3f11b6b770c07963e5a96106,True
c01_l3_r02_24h,btc_only_ols_daily_v1,robustness_only,negative_smooth_short,short,smooth,negative,onset_next_open,24h,24,robustness,f29a2ddd03028eaae165f22b9735b841fb5abcd1d4d66c9193598e54bbe8a3ae,True
c01_l3_r03_6h,btc_only_ols_daily_v1,robustness_only,positive_jump_completed_failure_short,short,jump_dominated,positive,completed_failure_within_24h_then_next_open,6h,6,primary,6d678ac0da9900e82ae85644d7fe585625aa20e671670e3ccecd32acfc605345,True
c01_l3_r03_24h,btc_only_ols_daily_v1,robustness_only,positive_jump_completed_failure_short,short,jump_dominated,positive,completed_failure_within_24h_then_next_open,24h,24,robustness,d5efc7327d3f0d041809175a09e967bba2f49338266ee20c56a3bbe90924a1c0,True
c01_l3_r04_6h,btc_only_ols_daily_v1,robustness_only,negative_jump_completed_failure_long,long,jump_dominated,negative,completed_failure_within_24h_then_next_open,6h,6,primary,489942b7367660a993386479e61d19708671295bd0a889c82ca15517612ca665,True
c01_l3_r04_24h,btc_only_ols_daily_v1,robustness_only,negative_jump_completed_failure_long,long,jump_dominated,negative,completed_failure_within_24h_then_next_open,24h,24,robustness,bd3134a122574c0397e37cdd9542f3caca7ec0ca2edd856355d9b491d62f83fd,True
