PF_symbol,Kraken_spot_pair,bar_count,first_usable_ts,last_usable_ts,expected_5m_slots_between_observed_bounds,missing_5m_slots_between_observed_bounds,trade_rows,duplicate_trade_tuples_reported_not_removed,out_of_order_rows,normalized_path,normalized_sha256,coverage_status,internal_gap_interval_count,gap_mask_path,gap_mask_sha256
PF_1INCHUSD,1INCHUSD,80699,2023-01-01T00:00:00+00:00,2025-12-31T23:45:00+00:00,315646,234947,238540,6812,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/1INCHUSD.parquet,06614199ab3619bd4ce0d1a48e06a28e952b177da69fe4327adb18a86af98a46,official_archive_observed_bounded_sparse_5m,47782,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/1INCHUSD.parquet,4a262411c35da6af1d79a72b84b818dd76ba4ff9b2ea9a38adb91262b18b05b4
PF_AAVEUSD,AAVEUSD,228956,2023-01-01T00:15:00+00:00,2025-12-31T23:55:00+00:00,315645,86689,3043372,127655,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/AAVEUSD.parquet,be91560b297e45b527db0987660fff381605cd51f0fc6605311a1f6f5a832c5d,official_archive_observed_bounded_sparse_5m,42230,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/AAVEUSD.parquet,ca79aee2d4ca65dde1303e6c0de2e2aa6ba54628c4bf9d890022ab28fbe0d845
PF_ADAUSD,ADAUSD,301637,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,315648,14011,7757056,286814,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/ADAUSD.parquet,fe2e9cd6edf824f28f7f361608bc8ef1ab76d2c555c6bbe740ec212a044d7310,official_archive_observed_bounded_sparse_5m,11265,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/ADAUSD.parquet,2ced7dd3e9c91a5f97e65ddcb2d9ec8039f03b43e67c1d394a06b20a733856ef
PF_AEVOUSD,AEVOUSD,27488,2024-05-30T17:05:00+00:00,2025-12-31T23:05:00+00:00,167113,139625,73807,4048,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/AEVOUSD.parquet,01e48a1a2d5fecf7a10ef9f0293241f3883af7232bbfd20208142186a3d6f1c7,official_archive_observed_bounded_sparse_5m,18454,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/AEVOUSD.parquet,5844bc40141c9b6ba0d6405c50138e76ce2ab2139179f9e521ae40ae2d083e7b
PF_AIXBTUSD,AIXBTUSD,27023,2025-02-21T15:00:00+00:00,2025-12-31T23:55:00+00:00,90252,63229,93298,4333,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/AIXBTUSD.parquet,cf3cc76eaad70fbfd0ee45e078f8e1390fb29928ca9456a8f4031a0d5ad27cb3,official_archive_observed_bounded_sparse_5m,14552,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/AIXBTUSD.parquet,54b2cec9f7c130a1b97f3375fee94303364b1060c1b3cba0fd7c09dea0abc76e
PF_AKTUSD,AKTUSD,200505,2023-01-01T02:40:00+00:00,2025-12-31T23:50:00+00:00,315615,115110,2879316,203905,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/AKTUSD.parquet,3c69ec8cc56683fe5a585a57a73ed2a12a8a2b4c08a892ddce486598d4718086,official_archive_observed_bounded_sparse_5m,47889,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/AKTUSD.parquet,f2da2a9dd174258f3341e401de09f1d41046fb51463dcd5efe76552860e91d23
PF_ALCHUSD,ALCHUSD,8701,2025-04-18T10:00:00+00:00,2025-12-31T23:40:00+00:00,74181,65480,27385,1649,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/ALCHUSD.parquet,073d65905fb52d66e93bc6d5ccf2d94c388e51554066600aa8bb36ea5af2fef6,official_archive_observed_bounded_sparse_5m,5920,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/ALCHUSD.parquet,9ce4fc515b0c07954f61e4e3823bbde31df7031699b14328d105eb5f968d9212
PF_ALGOUSD,ALGOUSD,254676,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,315648,60972,2803991,86386,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/ALGOUSD.parquet,b179026518018624596d6ea7a472388da74970dc48960ce6cd00be31b4a54644,official_archive_observed_bounded_sparse_5m,38263,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/ALGOUSD.parquet,9a1a4cca5b229e324bc3cb3c368ab883a4273cf1664facf1e0e0652354db88fb
PF_ALICEUSD,ALICEUSD,17208,2023-01-01T04:35:00+00:00,2025-12-31T20:30:00+00:00,315552,298344,59211,3214,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/ALICEUSD.parquet,1ed606a92053b684c8fe525a0b29c1fabfc83f6ab96c622dbd80f8cee3be6d08,official_archive_observed_bounded_sparse_5m,12688,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/ALICEUSD.parquet,6cccc467d5c0b716b77dca332a5163527afb559e350c160c8d6ea1fbfbd21d51
PF_ALTUSD,ALTUSD,22253,2024-05-30T16:55:00+00:00,2025-12-31T23:20:00+00:00,167118,144865,77326,2813,0,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/normalized_5m/ALTUSD.parquet,b1c65605be6300be1e8667b3fd9395c2fd4567a9497453376ce51d5403e60a2a,official_archive_observed_bounded_sparse_5m,15246,/opt/parquet/kraken_spot_reference/official_kraken_time_sales/gap_masks/ALTUSD.parquet,3cd6375328124cd05ec94b30997b1b94bd60ecd41cebd994964744e006216a62
