canonical_asset_id,PF_symbol,mechanism_proof_cohort,pilot_anchor,pair_identity_source,observed_or_verified_start,observed_or_verified_end,symbol_migrations,known_status_intervals,historical_authority_status,api_key,Kraken_spot_pair,wsname,spot_base,spot_quote,current_status,identity_confidence,inclusion_or_exclusion_reason
1INCH,PF_1INCHUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,1INCHUSD,1INCHUSD,1INCH/USD,1INCH,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AAVE,PF_AAVEUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:15:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,AAVEUSD,AAVEUSD,AAVE/USD,AAVE,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ACE,PF_ACEUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
ADA,PF_ADAUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ADAUSD,ADAUSD,ADA/USD,ADA,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AEVO,PF_AEVOUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-05-30T17:05:00+00:00,2025-12-31T23:05:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,AEVOUSD,AEVOUSD,AEVO/USD,AEVO,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AGLD,PF_AGLDUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
AIXBT,PF_AIXBTUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-02-21T15:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,AIXBTUSD,AIXBTUSD,AIXBT/USD,AIXBT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AKT,PF_AKTUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T02:40:00+00:00,2025-12-31T23:50:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,AKTUSD,AKTUSD,AKT/USD,AKT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ALCH,PF_ALCHUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-04-18T10:00:00+00:00,2025-12-31T23:40:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ALCHUSD,ALCHUSD,ALCH/USD,ALCH,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ALGO,PF_ALGOUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ALGOUSD,ALGOUSD,ALGO/USD,ALGO,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ALICE,PF_ALICEUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T04:35:00+00:00,2025-12-31T20:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ALICEUSD,ALICEUSD,ALICE/USD,ALICE,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ALT,PF_ALTUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-05-30T16:55:00+00:00,2025-12-31T23:20:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ALTUSD,ALTUSD,ALT/USD,ALT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ANIME,PF_ANIMEUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-10-20T15:00:00+00:00,2025-12-31T23:25:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ANIMEUSD,ANIMEUSD,ANIME/USD,ANIME,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
