year,asset_group,PF_symbol,direction_label,leadership_state,leadership_30m,failure_state,event_count
2023,alt,PF_AAVEUSD,negative,coincident_or_unresolved,coincident_or_unresolved,not_applicable,6
2023,alt,PF_AAVEUSD,negative,resolved_spot_led,coincident_or_unresolved,not_applicable,1
2023,alt,PF_AAVEUSD,negative,resolved_spot_led,resolved_spot_led,not_applicable,1
2023,alt,PF_AAVEUSD,positive,coincident_or_unresolved,coincident_or_unresolved,not_applicable,3
2023,alt,PF_AAVEUSD,positive,coincident_or_unresolved,resolved_spot_led,not_applicable,1
2023,alt,PF_ADAUSD,negative,coincident_or_unresolved,coincident_or_unresolved,not_applicable,197
2023,alt,PF_ADAUSD,negative,coincident_or_unresolved,resolved_perp_led,not_applicable,9
2023,alt,PF_ADAUSD,negative,coincident_or_unresolved,resolved_spot_led,not_applicable,8
2023,alt,PF_ADAUSD,negative,resolved_perp_led,coincident_or_unresolved,unconfirmed,1
2023,alt,PF_ADAUSD,negative,resolved_perp_led,resolved_perp_led,completed_trade_and_mark,2
2023,alt,PF_ADAUSD,negative,resolved_perp_led,resolved_perp_led,unconfirmed,6
2023,alt,PF_ADAUSD,negative,resolved_spot_led,resolved_spot_led,not_applicable,5
2023,alt,PF_ADAUSD,positive,coincident_or_unresolved,coincident_or_unresolved,not_applicable,173
2023,alt,PF_ADAUSD,positive,coincident_or_unresolved,resolved_perp_led,not_applicable,7
2023,alt,PF_ADAUSD,positive,coincident_or_unresolved,resolved_spot_led,not_applicable,17
2023,alt,PF_ADAUSD,positive,resolved_perp_led,coincident_or_unresolved,unconfirmed,1
2023,alt,PF_ADAUSD,positive,resolved_perp_led,resolved_perp_led,completed_trade_and_mark,2
2023,alt,PF_ADAUSD,positive,resolved_perp_led,resolved_perp_led,unconfirmed,1
2023,alt,PF_ADAUSD,positive,resolved_spot_led,resolved_spot_led,not_applicable,5
2023,alt,PF_ALGOUSD,negative,coincident_or_unresolved,coincident_or_unresolved,not_applicable,58
2023,alt,PF_ALGOUSD,negative,coincident_or_unresolved,resolved_spot_led,not_applicable,6
2023,alt,PF_ALGOUSD,negative,resolved_perp_led,resolved_perp_led,unconfirmed,1
2023,alt,PF_ALGOUSD,negative,resolved_perp_led,resolved_spot_led,unconfirmed,1
2023,alt,PF_ALGOUSD,negative,resolved_spot_led,resolved_spot_led,not_applicable,11
2023,alt,PF_ALGOUSD,positive,coincident_or_unresolved,coincident_or_unresolved,not_applicable,47
2023,alt,PF_ALGOUSD,positive,coincident_or_unresolved,resolved_perp_led,not_applicable,5
2023,alt,PF_ALGOUSD,positive,coincident_or_unresolved,resolved_spot_led,not_applicable,11
2023,alt,PF_ALGOUSD,positive,resolved_perp_led,resolved_perp_led,completed_trade_and_mark,1
2023,alt,PF_ALGOUSD,positive,resolved_perp_led,resolved_spot_led,completed_trade_and_mark,1
2023,alt,PF_ALGOUSD,positive,resolved_spot_led,resolved_spot_led,not_applicable,10
2023,alt,PF_APEUSD,negative,coincident_or_unresolved,coincident_or_unresolved,not_applicable,2
2023,alt,PF_ARBUSD,positive,coincident_or_unresolved,coincident_or_unresolved,not_applicable,1
2023,alt,PF_ATOMUSD,negative,coincident_or_unresolved,coincident_or_unresolved,not_applicable,61
2023,alt,PF_ATOMUSD,negative,coincident_or_unresolved,resolved_perp_led,not_applicable,5
2023,alt,PF_ATOMUSD,negative,coincident_or_unresolved,resolved_spot_led,not_applicable,1
2023,alt,PF_ATOMUSD,negative,resolved_perp_led,resolved_perp_led,unconfirmed,1
2023,alt,PF_ATOMUSD,positive,coincident_or_unresolved,coincident_or_unresolved,not_applicable,52
2023,alt,PF_ATOMUSD,positive,coincident_or_unresolved,resolved_perp_led,not_applicable,5
2023,alt,PF_ATOMUSD,positive,coincident_or_unresolved,resolved_spot_led,not_applicable,3
2023,alt,PF_ATOMUSD,positive,resolved_spot_led,resolved_perp_led,not_applicable,1
2023,alt,PF_ATOMUSD,positive,resolved_spot_led,resolved_spot_led,not_applicable,2
2023,alt,PF_AVAXUSD,negative,coincident_or_unresolved,coincident_or_unresolved,not_applicable,56
