product_id,ticker,underlying_asset,eligible_days,authoritative_value_days,first_publication_reconstructable_days,first_publication_coverage_fraction,revision_versioned_days,audit_result
BTC_GBTC,GBTC,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_BITB,BITB,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_DEFI,DEFI,BTC,443,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_IBIT,IBIT,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_BRRR,BRRR,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_ARKB,ARKB,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_BTCO,BTCO,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_HODL,HODL,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_BTCW,BTCW,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_FBTC,FBTC,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
BTC_EZBC,EZBC,BTC,495,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_ETHE,ETHE,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_ETHW,ETHW,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_ETH,ETH,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_ETHA,ETHA,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_ETHV,ETHV,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_CETH,CETH,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_QETH,QETH,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_FETH,FETH,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
ETH_EZET,EZET,ETH,363,0,0,0.0,0,fail_no_versioned_daily_authority
