changed_fields,pass1_sha256,pass2_sha256,request_id,response_hash_equal,structurally_stable
,19e4ce8630356020245c9b0fcc98529e095d3b4acf4c5241f1f81840cf469da7,19e4ce8630356020245c9b0fcc98529e095d3b4acf4c5241f1f81840cf469da7,pf_xbtusd__open-interest__2023,True,True
,79d87c4948deaa9e786ef7818355193b0d49d884f9215ba52fdc1916ca3adb03,79d87c4948deaa9e786ef7818355193b0d49d884f9215ba52fdc1916ca3adb03,pf_xbtusd__open-interest__2024,True,True
,27a9a8942485c4582dbe7633f1477b7a8b3193b138ac18d680b3943075e804e6,27a9a8942485c4582dbe7633f1477b7a8b3193b138ac18d680b3943075e804e6,pf_xbtusd__open-interest__2025,True,True
,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,pf_xbtusd__funding__2023,True,True
,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,pf_xbtusd__funding__2024,True,True
,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,pf_xbtusd__funding__2025,True,True
,382092dc21b4c0f8cebc20a32fb027358f8d5abe83200b82e4e83b3e0a41f7d3,382092dc21b4c0f8cebc20a32fb027358f8d5abe83200b82e4e83b3e0a41f7d3,pf_xbtusd__liquidation-volume__2023,True,True
,78fa1d62e8bf7b6dfb95c2a95b20f077c4825e8c59efe87c75ba2fa5d3b6a69f,78fa1d62e8bf7b6dfb95c2a95b20f077c4825e8c59efe87c75ba2fa5d3b6a69f,pf_xbtusd__liquidation-volume__2024,True,True
,a3285d8354557268ce0ee06e4dd025877e910bf1c04682106565f5321615454f,a3285d8354557268ce0ee06e4dd025877e910bf1c04682106565f5321615454f,pf_xbtusd__liquidation-volume__2025,True,True
,0924315f2306090d0c1e954451baa909243acfdb9d514989dc2f1d6f0cf82f9a,0924315f2306090d0c1e954451baa909243acfdb9d514989dc2f1d6f0cf82f9a,pf_xbtusd__future-basis__2023,True,True
,6cede9f58f7c54ef67d36cacafef7f1b8c3b37b60b7d304caea89bdb8fa6df97,6cede9f58f7c54ef67d36cacafef7f1b8c3b37b60b7d304caea89bdb8fa6df97,pf_xbtusd__future-basis__2024,True,True
,26f50e6d971a506d11d96617eb7d7eea9524085b8a549b769d4ef78ef13633cf,26f50e6d971a506d11d96617eb7d7eea9524085b8a549b769d4ef78ef13633cf,pf_xbtusd__future-basis__2025,True,True
,d2dc428dfa23f52f6c2b3b5434fc4868b9080a2f3e39fdbf84720ae65c70ecd4,d2dc428dfa23f52f6c2b3b5434fc4868b9080a2f3e39fdbf84720ae65c70ecd4,pf_ethusd__open-interest__2023,True,True
,f4544eeb3a29979aded55207dac6efdce948ef0ff29a33250d07413cab5845a7,f4544eeb3a29979aded55207dac6efdce948ef0ff29a33250d07413cab5845a7,pf_ethusd__open-interest__2024,True,True
,7be20462a663e6432cfa57bb64c00ce366a080e43c17a5fb8bf7ea80134068ae,7be20462a663e6432cfa57bb64c00ce366a080e43c17a5fb8bf7ea80134068ae,pf_ethusd__open-interest__2025,True,True
,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,pf_ethusd__funding__2023,True,True
,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,pf_ethusd__funding__2024,True,True
,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,pf_ethusd__funding__2025,True,True
,99365062dcbf049fea1cce4bca23ac33f248dcf4e0236b1e814ec7b1511e66b6,99365062dcbf049fea1cce4bca23ac33f248dcf4e0236b1e814ec7b1511e66b6,pf_ethusd__liquidation-volume__2023,True,True
,2cb8230c6ff42b0cb2a6df1d4dfde54695c0819a2465479d59a787f5e13670a8,2cb8230c6ff42b0cb2a6df1d4dfde54695c0819a2465479d59a787f5e13670a8,pf_ethusd__liquidation-volume__2024,True,True
,5e094c619a6c18c71c592bb6121d9656daf0a94b1453fee67d9eb0fb3e728777,5e094c619a6c18c71c592bb6121d9656daf0a94b1453fee67d9eb0fb3e728777,pf_ethusd__liquidation-volume__2025,True,True
,266e38f89eb8e1dabc4801c75afcbf10fe0d63b9f8ce4f232fa0769b552dd8b5,266e38f89eb8e1dabc4801c75afcbf10fe0d63b9f8ce4f232fa0769b552dd8b5,pf_ethusd__future-basis__2023,True,True
,79df958dcce58ddd252881efc11f0336662e46b68c5bf5cebafce40d2bd8a9e0,79df958dcce58ddd252881efc11f0336662e46b68c5bf5cebafce40d2bd8a9e0,pf_ethusd__future-basis__2024,True,True
,b8c93c887068f7838c803384358b3d39bc303a0ac348569d7474c2071fa0cdf8,b8c93c887068f7838c803384358b3d39bc303a0ac348569d7474c2071fa0cdf8,pf_ethusd__future-basis__2025,True,True
