analytics_type,classification,maximum_timestamp,minimum_timestamp,protected_2026_rows,request_id,row_count,since,symbol,to,upper_bound_honored,year
open-interest,verified_historical_rows,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,pf_xbtusd__open-interest__2023,25,1686787200,PF_XBTUSD,1686873600,True,2023
open-interest,verified_historical_rows,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,pf_xbtusd__open-interest__2024,25,1718409600,PF_XBTUSD,1718496000,True,2024
open-interest,verified_historical_rows,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,pf_xbtusd__open-interest__2025,25,1752537600,PF_XBTUSD,1752624000,True,2025
funding,empty_valid_response,,,0,pf_xbtusd__funding__2023,0,1686787200,PF_XBTUSD,1686873600,True,2023
funding,empty_valid_response,,,0,pf_xbtusd__funding__2024,0,1718409600,PF_XBTUSD,1718496000,True,2024
funding,empty_valid_response,,,0,pf_xbtusd__funding__2025,0,1752537600,PF_XBTUSD,1752624000,True,2025
liquidation-volume,verified_historical_rows,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,pf_xbtusd__liquidation-volume__2023,25,1686787200,PF_XBTUSD,1686873600,True,2023
liquidation-volume,verified_historical_rows,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,pf_xbtusd__liquidation-volume__2024,25,1718409600,PF_XBTUSD,1718496000,True,2024
liquidation-volume,verified_historical_rows,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,pf_xbtusd__liquidation-volume__2025,25,1752537600,PF_XBTUSD,1752624000,True,2025
future-basis,verified_historical_rows,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,pf_xbtusd__future-basis__2023,25,1686787200,PF_XBTUSD,1686873600,True,2023
future-basis,verified_historical_rows,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,pf_xbtusd__future-basis__2024,25,1718409600,PF_XBTUSD,1718496000,True,2024
future-basis,verified_historical_rows,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,pf_xbtusd__future-basis__2025,25,1752537600,PF_XBTUSD,1752624000,True,2025
open-interest,verified_historical_rows,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,pf_ethusd__open-interest__2023,25,1686787200,PF_ETHUSD,1686873600,True,2023
open-interest,verified_historical_rows,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,pf_ethusd__open-interest__2024,25,1718409600,PF_ETHUSD,1718496000,True,2024
open-interest,verified_historical_rows,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,pf_ethusd__open-interest__2025,25,1752537600,PF_ETHUSD,1752624000,True,2025
funding,empty_valid_response,,,0,pf_ethusd__funding__2023,0,1686787200,PF_ETHUSD,1686873600,True,2023
funding,empty_valid_response,,,0,pf_ethusd__funding__2024,0,1718409600,PF_ETHUSD,1718496000,True,2024
funding,empty_valid_response,,,0,pf_ethusd__funding__2025,0,1752537600,PF_ETHUSD,1752624000,True,2025
liquidation-volume,verified_historical_rows,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,pf_ethusd__liquidation-volume__2023,25,1686787200,PF_ETHUSD,1686873600,True,2023
liquidation-volume,verified_historical_rows,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,pf_ethusd__liquidation-volume__2024,25,1718409600,PF_ETHUSD,1718496000,True,2024
liquidation-volume,verified_historical_rows,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,pf_ethusd__liquidation-volume__2025,25,1752537600,PF_ETHUSD,1752624000,True,2025
future-basis,verified_historical_rows,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,pf_ethusd__future-basis__2023,25,1686787200,PF_ETHUSD,1686873600,True,2023
future-basis,verified_historical_rows,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,pf_ethusd__future-basis__2024,25,1718409600,PF_ETHUSD,1718496000,True,2024
future-basis,verified_historical_rows,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,pf_ethusd__future-basis__2025,25,1752537600,PF_ETHUSD,1752624000,True,2025
