frozen_order,canonical_asset_id,PF_symbol,identity_version,opening_or_start,terminal_or_end,trade_coverage_day_count,mark_coverage_day_count,identity_collision,included,exclusion_reason,audit_eligible_full_2023_2025_coverage,status_confidence,unknown_reason,inventory_source_path,inventory_source_sha256,coverage_manifest_path,coverage_manifest_sha256
1,0G,PF_0GUSD,c03id_d0a5ce3fe0b52c93296b1292,2025-09-23T12:10:45+00:00,2025-11-21T00:00:00+00:00,0,0,False,True,,False,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
2,1INCH,PF_1INCHUSD,c03id_1666a83c91309a88113063e4,2022-08-24T12:58:23+00:00,,1095,1095,False,True,,True,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
3,1MBABYDOGE,PF_1MBABYDOGEUSD,c03id_288164224013c11cfb2338fc,2025-06-25T15:04:51+00:00,2026-04-08T00:00:00+00:00,0,0,False,True,,False,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
4,2Z,PF_2ZUSD,c03id_318dc8a1ffd997879b384898,2025-10-07T12:13:01+00:00,,1095,1095,False,True,,False,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
5,AAPLx,PF_AAPLXUSD,c03id_ef78a054e09b6df7e5aa1a75,2026-02-06T09:39:17+00:00,,1095,1095,False,False,no_rankable_period_overlap,False,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
6,AAVE,PF_AAVEUSD,c03id_5245fd8123df45f8ceb236c8,2022-06-27T12:57:38+00:00,,1095,1095,False,True,,True,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
7,ACE,PF_ACEUSD,c03id_dd2daf02b3a95c6446c14023,2024-10-09T12:17:47+00:00,,1095,1095,False,True,,False,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
8,ACH,PF_ACHUSD,c03id_65c40b53898894dcb80d8f17,2023-07-26T13:00:32+00:00,2025-10-24T00:00:00+00:00,0,0,False,True,,False,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
9,ACT,PF_ACTUSD,c03id_20ef463f2d0b3957673d216d,2024-11-26T12:52:20+00:00,2025-11-21T00:00:00+00:00,0,0,False,True,,False,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
10,ADA,PF_ADAUSD,c03id_10ccfad14659d8574564087f,2022-03-22T14:11:11+00:00,,1095,1095,False,True,,True,point_observations_only_continuity_unknown,continuous_status_between_sparse_point_snapshots_unproven,results/rebaseline/phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151/C03_PIT_IDENTITY_INVENTORY.csv,23c932c7c4eda0d938c59a1e02c367cc9d3abf57397589ec846cc1cb4c1da4d9,/opt/parquet/kraken_derivatives/manifests/phase_kraken_k0_data_foundation_20260630_v1_20260630_163815_download_manifest.csv,f598cc1fb5714386923272399b98fa560c119c96fd5af33f5b30735f40cea420
