analytics_type,content_hash_equal,interval_seconds,row_count_equal,schema_hash_equal,symbol,window_to_inclusive
future-basis,True,60,True,True,PF_1INCHUSD,1673135940
future-basis,True,60,True,True,PF_1INCHUSD,1704067140
future-basis,True,60,True,True,PF_1INCHUSD,1717804740
future-basis,True,60,True,True,PF_1INCHUSD,1767225540
future-basis,True,300,True,True,PF_1INCHUSD,1673135700
future-basis,True,300,True,True,PF_1INCHUSD,1704066900
future-basis,True,300,True,True,PF_1INCHUSD,1717804500
future-basis,True,300,True,True,PF_1INCHUSD,1767225300
liquidation-volume,True,60,True,True,PF_1INCHUSD,1673135940
liquidation-volume,True,60,True,True,PF_1INCHUSD,1704067140
liquidation-volume,True,60,True,True,PF_1INCHUSD,1717804740
liquidation-volume,True,60,True,True,PF_1INCHUSD,1767225540
liquidation-volume,True,300,True,True,PF_1INCHUSD,1673135700
liquidation-volume,True,300,True,True,PF_1INCHUSD,1704066900
liquidation-volume,True,300,True,True,PF_1INCHUSD,1717804500
liquidation-volume,True,300,True,True,PF_1INCHUSD,1767225300
open-interest,True,60,True,True,PF_1INCHUSD,1673135940
open-interest,True,60,True,True,PF_1INCHUSD,1704067140
open-interest,True,60,True,True,PF_1INCHUSD,1717804740
open-interest,True,60,True,True,PF_1INCHUSD,1767225540
open-interest,True,300,True,True,PF_1INCHUSD,1673135700
open-interest,True,300,True,True,PF_1INCHUSD,1704066900
open-interest,True,300,True,True,PF_1INCHUSD,1717804500
open-interest,True,300,True,True,PF_1INCHUSD,1767225300
future-basis,True,60,True,True,PF_AAVEUSD,1673135940
future-basis,True,60,True,True,PF_AAVEUSD,1704067140
future-basis,True,60,True,True,PF_AAVEUSD,1717804740
future-basis,True,60,True,True,PF_AAVEUSD,1767225540
future-basis,True,300,True,True,PF_AAVEUSD,1673135700
future-basis,True,300,True,True,PF_AAVEUSD,1704066900
future-basis,True,300,True,True,PF_AAVEUSD,1717804500
future-basis,True,300,True,True,PF_AAVEUSD,1767225300
liquidation-volume,True,60,True,True,PF_AAVEUSD,1673135940
liquidation-volume,True,60,True,True,PF_AAVEUSD,1704067140
liquidation-volume,True,60,True,True,PF_AAVEUSD,1717804740
liquidation-volume,True,60,True,True,PF_AAVEUSD,1767225540
liquidation-volume,True,300,True,True,PF_AAVEUSD,1673135700
liquidation-volume,True,300,True,True,PF_AAVEUSD,1704066900
liquidation-volume,True,300,True,True,PF_AAVEUSD,1717804500
liquidation-volume,True,300,True,True,PF_AAVEUSD,1767225300
open-interest,True,60,True,True,PF_AAVEUSD,1673135940
open-interest,True,60,True,True,PF_AAVEUSD,1704067140
open-interest,True,60,True,True,PF_AAVEUSD,1717804740
open-interest,True,60,True,True,PF_AAVEUSD,1767225540
open-interest,True,300,True,True,PF_AAVEUSD,1673135700
open-interest,True,300,True,True,PF_AAVEUSD,1704066900
open-interest,True,300,True,True,PF_AAVEUSD,1717804500
open-interest,True,300,True,True,PF_AAVEUSD,1767225300
future-basis,True,60,True,True,PF_ADAUSD,1673135940
future-basis,True,60,True,True,PF_ADAUSD,1704067140
future-basis,True,60,True,True,PF_ADAUSD,1717804740
future-basis,True,60,True,True,PF_ADAUSD,1767225540
future-basis,True,300,True,True,PF_ADAUSD,1673135700
future-basis,True,300,True,True,PF_ADAUSD,1704066900
future-basis,True,300,True,True,PF_ADAUSD,1717804500
future-basis,True,300,True,True,PF_ADAUSD,1767225300
liquidation-volume,True,60,True,True,PF_ADAUSD,1673135940
liquidation-volume,True,60,True,True,PF_ADAUSD,1704067140
liquidation-volume,True,60,True,True,PF_ADAUSD,1717804740
liquidation-volume,True,60,True,True,PF_ADAUSD,1767225540
liquidation-volume,True,300,True,True,PF_ADAUSD,1673135700
liquidation-volume,True,300,True,True,PF_ADAUSD,1704066900
liquidation-volume,True,300,True,True,PF_ADAUSD,1717804500
liquidation-volume,True,300,True,True,PF_ADAUSD,1767225300
open-interest,True,60,True,True,PF_ADAUSD,1673135940
open-interest,True,60,True,True,PF_ADAUSD,1704067140
open-interest,True,60,True,True,PF_ADAUSD,1717804740
open-interest,True,60,True,True,PF_ADAUSD,1767225540
open-interest,True,300,True,True,PF_ADAUSD,1673135700
open-interest,True,300,True,True,PF_ADAUSD,1704066900
open-interest,True,300,True,True,PF_ADAUSD,1717804500
open-interest,True,300,True,True,PF_ADAUSD,1767225300
future-basis,True,60,True,True,PF_ALGOUSD,1673135940
future-basis,True,60,True,True,PF_ALGOUSD,1704067140
future-basis,True,60,True,True,PF_ALGOUSD,1717804740
future-basis,True,60,True,True,PF_ALGOUSD,1767225540
future-basis,True,300,True,True,PF_ALGOUSD,1673135700
future-basis,True,300,True,True,PF_ALGOUSD,1704066900
future-basis,True,300,True,True,PF_ALGOUSD,1717804500
future-basis,True,300,True,True,PF_ALGOUSD,1767225300
liquidation-volume,True,60,True,True,PF_ALGOUSD,1673135940
liquidation-volume,True,60,True,True,PF_ALGOUSD,1704067140
liquidation-volume,True,60,True,True,PF_ALGOUSD,1717804740
liquidation-volume,True,60,True,True,PF_ALGOUSD,1767225540
liquidation-volume,True,300,True,True,PF_ALGOUSD,1673135700
liquidation-volume,True,300,True,True,PF_ALGOUSD,1704066900
liquidation-volume,True,300,True,True,PF_ALGOUSD,1717804500
liquidation-volume,True,300,True,True,PF_ALGOUSD,1767225300
open-interest,True,60,True,True,PF_ALGOUSD,1673135940
open-interest,True,60,True,True,PF_ALGOUSD,1704067140
open-interest,True,60,True,True,PF_ALGOUSD,1717804740
open-interest,True,60,True,True,PF_ALGOUSD,1767225540
open-interest,True,300,True,True,PF_ALGOUSD,1673135700
open-interest,True,300,True,True,PF_ALGOUSD,1704066900
open-interest,True,300,True,True,PF_ALGOUSD,1717804500
open-interest,True,300,True,True,PF_ALGOUSD,1767225300
future-basis,True,60,True,True,PF_ETHUSD,1673135940
future-basis,True,60,True,True,PF_ETHUSD,1704067140
future-basis,True,60,True,True,PF_ETHUSD,1717804740
future-basis,True,60,True,True,PF_ETHUSD,1767225540
future-basis,True,300,True,True,PF_ETHUSD,1673135700
future-basis,True,300,True,True,PF_ETHUSD,1704066900
future-basis,True,300,True,True,PF_ETHUSD,1717804500
future-basis,True,300,True,True,PF_ETHUSD,1767225300
liquidation-volume,True,60,True,True,PF_ETHUSD,1673135940
liquidation-volume,True,60,True,True,PF_ETHUSD,1704067140
liquidation-volume,True,60,True,True,PF_ETHUSD,1717804740
liquidation-volume,True,60,True,True,PF_ETHUSD,1767225540
liquidation-volume,True,300,True,True,PF_ETHUSD,1673135700
liquidation-volume,True,300,True,True,PF_ETHUSD,1704066900
liquidation-volume,True,300,True,True,PF_ETHUSD,1717804500
liquidation-volume,True,300,True,True,PF_ETHUSD,1767225300
open-interest,True,60,True,True,PF_ETHUSD,1673135940
open-interest,True,60,True,True,PF_ETHUSD,1704067140
open-interest,True,60,True,True,PF_ETHUSD,1717804740
open-interest,True,60,True,True,PF_ETHUSD,1767225540
open-interest,True,300,True,True,PF_ETHUSD,1673135700
open-interest,True,300,True,True,PF_ETHUSD,1704066900
