attempt,branch_id,events,eligible_denominator_mean,primary_signed_shock_breadth_mean,robustness_signed_shock_breadth_mean,btc_basis_change_mean,eth_basis_change_mean
primary,primary_negative_basis_impulse_continuation,15808,97.55048076923077,-0.08915146275819683,-0.062525236527346,-0.00011661816801619433,-0.00014019483805668018
primary,primary_negative_completed_basis_impulse_rejection,1964,97.25967413441956,0.07342610847426702,0.07955177824595085,0.00010239307535641548,0.00010753564154786151
primary,primary_negative_reference_led_catchup,10044,99.53882915173237,-0.03408153775374346,-0.012958856126447423,-4.0690959776981285e-05,-6.191756272401434e-05
primary,primary_positive_basis_impulse_continuation,23649,96.46369825362595,0.07860737488334578,0.08224160837447889,0.000130707429489619,0.0001313839908664214
primary,primary_positive_completed_basis_impulse_rejection,2902,96.3394210889042,-0.06918924402916493,-0.04663840620761717,-0.00012598208132322535,-0.00012157133011716058
primary,primary_positive_reference_led_catchup,9821,99.82435597189695,0.03600156448420793,0.03996596867186942,3.9099887995112513e-05,6.179615110477548e-05
robustness,robustness_negative_basis_impulse_continuation,10460,97.8017208413002,-0.10206945889051591,-0.08028131930976351,-0.00012693116634799237,-0.00015792543021032505
robustness,robustness_negative_completed_basis_impulse_rejection,1203,98.02743142144638,0.08214479120620442,0.09055001463560794,0.00010357439733998338,0.00010972568578553617
robustness,robustness_negative_reference_led_catchup,5168,99.91660216718266,-0.0369398342724681,-0.021849813736069965,-4.196981424148607e-05,-6.393188854489164e-05
robustness,robustness_positive_basis_impulse_continuation,21933,96.62786668490402,0.07959437744551995,0.08833154638121374,0.00013087584917703915,0.00013387133543062965
robustness,robustness_positive_completed_basis_impulse_rejection,2533,96.55625740228977,-0.07028219170095337,-0.0490923094153807,-0.00012479273588630082,-0.000123253059613107
robustness,robustness_positive_reference_led_catchup,8054,99.9695803327539,0.03624095385210252,0.047227214238862406,3.821703501365781e-05,6.496150980879066e-05
