definition_id,cluster,clusters,base_mean_bps,base_median_bps,bootstrap_lower_bps,bootstrap_upper_bps
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_6h_cluster_id,3247,-21.515828119346466,-20.480945213478304,-24.026440860322936,-18.98059900741492
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,parent_episode_id,15808,-16.031049388687006,-18.542210415664492,-18.274032214520137,-13.835655804718417
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,market_6h_cluster_id,3146,-38.26224514946664,-31.08892045311328,-45.719816601500725,-30.86687952518843
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,parent_episode_id,11682,-20.531552969347384,-22.15021235304303,-26.306618667872367,-14.810116567365435
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,market_6h_cluster_id,1239,-14.981170326372853,-11.810481730498394,-21.74660827659826,-8.498737721542055
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,parent_episode_id,1963,-8.876650271801894,-10.964045626055562,-15.010611199021492,-2.762435190341599
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,market_6h_cluster_id,1213,3.0969453557143702,-4.318708128411718,-12.56226449261413,18.851943630241774
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,parent_episode_id,1839,8.735950059058817,1.675097969363172,-5.688818618656689,23.270701457333786
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,market_6h_cluster_id,2797,-16.165588020631223,-13.41868611247268,-19.703442615746948,-12.92566418197436
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,parent_episode_id,10044,-14.613074344864442,-13.557654845749877,-16.43173671964852,-12.779176033816416
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,market_6h_cluster_id,2729,-20.969756833568358,-16.1914205883955,-29.18415404849837,-12.512943086196918
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,parent_episode_id,7923,-16.984976620202396,-15.433486238532344,-22.239477696801483,-11.615325873388741
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,market_6h_cluster_id,3650,-19.645653938232723,-18.38051528112511,-21.908778685297566,-17.452808018324777
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,parent_episode_id,23648,-14.239352167990864,-17.36170676496994,-15.9816234201325,-12.474736267968625
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,market_6h_cluster_id,3536,-24.422509928776698,-23.256881938828066,-31.233113497887654,-17.54123410876283
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,parent_episode_id,15830,-12.405313411821956,-19.30441578741714,-17.178881848261913,-7.537629067781323
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,market_6h_cluster_id,1657,-16.271023602320554,-17.809523809523707,-21.196008398171426,-11.21367516128768
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,parent_episode_id,2898,-13.165491246351854,-15.914443304695812,-18.231740197941843,-8.102583085899571
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,market_6h_cluster_id,1599,-28.93552202435653,-25.12594570538583,-41.403251517875105,-16.523311790347947
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,parent_episode_id,2629,-19.05071878067634,-22.357709987463213,-30.48397067115116,-7.5197171971912296
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,market_6h_cluster_id,2733,-11.677673036143764,-13.283406532831776,-14.33174942592953,-8.988638335245877
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,parent_episode_id,9818,-12.459815340857132,-12.912418891671706,-14.197262187555795,-10.664551084124327
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,market_6h_cluster_id,2677,-9.773570100597821,-11.820163487738387,-18.069131272927667,-1.4608226886932258
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,parent_episode_id,7755,-9.72381046044086,-10.00638977635847,-14.971715033109975,-4.378887138406605
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,market_6h_cluster_id,2855,-22.8074977810007,-21.432882271663498,-26.02984243661385,-19.48959712917348
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,parent_episode_id,10460,-17.48376191875404,-19.65836630359695,-20.45209280177313,-14.45313605452462
