definition_id,market_day_positive_share,symbol_positive_share,year_positive_share
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,0.03307276382347958,0.609816971668262,
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,0.03629940528217084,0.22410432230457986,
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,0.02228952843563601,0.17674002797353,
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,0.028333731067554213,0.10446508391616806,0.6485100396968401
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,0.0394930193510402,0.314782784918309,
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,0.019396112245669152,0.29622968046336134,
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,0.05693492908285457,0.7962753496632563,
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,0.021539209544418087,0.2211150072069754,
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,0.03412446413421238,0.29672553714791877,
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,0.026421176346733584,0.15500493943001423,
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,0.026015245627030403,0.34373018594851157,
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,0.027226244479809973,0.195610587007524,
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,0.03823534018581229,0.6907271825276607,
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,0.03280677995186884,0.2076180862728694,
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,0.029324132569254695,0.13358314262171395,
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,0.020286775700247922,0.13529246492005403,0.8927712842222922
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,0.03269990595184805,0.2646268803844058,
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,0.022825178033493043,0.15826956734632988,
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,0.043319357319182766,0.5682251222959284,
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,0.021703137887345295,0.33461757496990174,
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,0.027300204919854167,0.3406881944503977,
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,0.029067362218374727,0.2877018609990529,
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,0.025652365700393868,0.3272204298180554,
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,0.02011254390400903,0.21424133760357472,
