definition_id,basis_context,trades,market_days,base_mean_bps,base_median_bps,primary_signed_shock_breadth_mean,robustness_signed_shock_breadth_mean
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,both_negative,7209,924,-17.416653956970144,-19.40147013926351,-0.12127745728728576,-0.09205429254121979
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,both_positive,645,379,-25.900615917527194,-18.374453193349837,-0.02057527245943929,-0.0013383212422705684
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,mixed_or_missing,7954,886,-13.974889752798761,-17.968940093859175,-0.06559543411631812,-0.04072370214902785
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,both_negative,5293,910,-27.67389587594034,-25.757398287413068,-0.12242523043239226,-0.0933821333973571
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,both_positive,496,323,-10.714710204219617,-27.933831491561577,-0.022518348941525802,-0.002767911064545018
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,mixed_or_missing,5893,860,-14.942673452447142,-19.46672133387993,-0.06579116953020316,-0.04124563008748129
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,both_negative,136,108,-3.477265369813505,-7.6605921539023445,0.003502733632472223,0.015547668327267042
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,both_positive,805,458,-2.0250747641398608,-9.021509631465406,0.11970548486546546,0.12483591585706423
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,mixed_or_missing,1022,494,-14.991948344540019,-13.76068539702223,0.046369078078162186,0.05249697178154571
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,both_negative,130,107,6.760340174348942,-14.945541627549451,0.0045738557232465095,0.01709854901857794
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,both_positive,762,450,9.050853677426595,1.50088757287571,0.12030712672519059,0.12536234139218033
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,mixed_or_missing,947,486,8.753767089487575,7.946811257422816,0.04539740188592359,0.05167598070839027
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,both_negative,2749,770,-16.836586645769195,-15.440945260089421,-0.057383936499179555,-0.030678840849985723
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,both_positive,812,425,-16.36231986581436,-14.0,-0.007326354860380491,0.009188887144028183
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,mixed_or_missing,6483,808,-13.451139642072755,-11.866439086837698,-0.02755167725061325,-0.008219033441057856
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,both_negative,2229,749,-20.733297339666372,-18.89737767686238,-0.058412143057865934,-0.032232624572541564
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,both_positive,624,385,-13.727008237028958,-12.649677325093243,-0.007313773819588387,0.00895653606893442
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,mixed_or_missing,5070,797,-15.738026992473603,-14.34245123394394,-0.02814422121350295,-0.008830420099019515
