definition_id,dimension,contributor_id,trades,base_contribution_bps
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0031f8c48860be2a942cea0652949365,2,-0.039891436741353994
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0070fc5d5aa8ed6bb7ce7eec2a7b1cc7,22,0.047384707354850335
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_008096524f9c06380ca155a06d515ed4,2,-0.0808773295978604
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_01142ed8e9a232a5d221487aa077fc42,6,-0.017584842811412146
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0180b2b9d4e29ab3fa01f5295bd03358,1,-0.01769034289668439
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_01d36f689a95eae956efb1cd39358bde,9,-0.037568533846785296
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_01e81382aad1e00a18c0f12649b75864,6,-0.008612779145632682
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_01ff6243600cafd603eb3aa632bbdfed,29,0.01714858701990047
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_023a25057257c79b74af627b219e2e05,8,-0.03167901826977418
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_027a0e0b096f06b1153836857c479407,24,0.006532003911934793
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_028cc212ea24c0d8a0a4a1ff1f122329,5,-0.038065857031589975
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_029ce494caf747ff0f76a81a611cbff3,1,-0.04636130223388025
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_02d9b257569392054f6b88604840defa,10,-0.02398618540718223
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_03b725b3dfdf1084579364d4c014b393,9,-0.021426172899958254
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_03df2376ff2edb0297613a0ccdb3cda8,25,-0.03658261685596501
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_043d54f4b1b4255cfe6534da6c5b69e1,22,-0.03670501388717579
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_04bfc97d2992becfd0fa514b2c752e67,26,-0.051468255763426125
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_04c819ca10e8d0473537687ea4922b9f,10,-0.028898800059440354
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_04dd55ea5a0ef708ae32a4651e52ce75,6,-0.04696186338281626
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0509becea660744bf0ea54c59ca4e114,27,0.02911515244113746
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_05ef8fa86ff030c68bd4be2b798b54c2,22,0.013207537137639138
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0602cbcd5173b99d7614a73256001462,30,0.006419101080199521
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_060a078ee51c9d2c5718c080ec2ba6ef,12,-0.057984127539319995
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0616ffff04a670ef9f42cc6819506e5a,44,-0.036981213085109606
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0648e5d4c44201b469b0177e04ed2678,27,-0.08189171800336015
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_06b0c00ebe30710e25ff6b7e063ccb63,19,-0.023579133472639388
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_06c9f6a28b7df84eda34a123ba906f89,3,0.06473509082013039
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_06e8c8f520de8b52e3c6a6e2ede5b7bb,31,-0.029363522754349187
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_07677818a11f277170d91dc6fcf93505,25,0.0764414210162
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_079dbdd700c1ca3d1eeedce5d6448d0d,5,-0.09791423351774833
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_07c0a3de70acfb886c7e7ca2115802c5,25,-0.03134920951922823
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_07c1ffc37a501fe5240dec76d1a4a04b,48,-0.05239127789249712
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_07d40833153cfd8752ca3ac21b29fa02,32,-0.08106182548985247
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_07fc42c9e72b9a983ae9c43f572d5646,17,-0.012478966513409979
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,market_day,kda03_day_0857a3c440d204992f98a232d50e1ac2,14,-0.024765970028139832
