definition_id,attempt,policy_route,control_eligible
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,primary,translation_rejected,False
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,primary,translation_rejected,False
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,primary,translation_rejected,False
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,primary,sample_limited_prospective_candidate,False
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,primary,translation_rejected,False
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,primary,translation_rejected,False
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,primary,translation_rejected,False
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,primary,translation_rejected,False
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,primary,translation_rejected,False
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,primary,translation_rejected,False
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,primary,translation_rejected,False
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,primary,translation_rejected,False
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,robustness,robustness_diagnostic_only,False
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,robustness,robustness_diagnostic_only,False
