definition_id,funding_partition,trades,exact_boundaries,imputed_boundaries,central_cashflow_bps,conservative_cashflow_bps,severe_cashflow_bps
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,fully_exact,1019,1019,0,-0.01861390776480573,-0.01861390776480573,-0.01861390776480573
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,fully_imputed,14789,0,14789,0.03179235398911017,-0.36503168558245863,-1.6814880741959404
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,fully_exact,728,4368,0,-0.06161088794245581,-0.06161088794245581,-0.06161088794245581
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,fully_imputed,10853,0,65118,0.1883888223671072,-2.193124794339991,-10.095852861230338
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,mixed,101,264,342,0.32958752481927034,-0.8403483897520267,-4.407385463557958
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,fully_exact,162,162,0,0.013257975565843889,0.013257975565843889,0.013257975565843889
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,fully_imputed,1801,0,1801,-0.033304608061617356,-0.4314883291695225,-1.747088945967248
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,fully_exact,146,876,0,0.36528635356445954,0.36528635356445954,0.36528635356445954
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,fully_imputed,1681,0,10086,-0.20079220385426863,-2.5894287764552772,-10.48672610097848
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,mixed,12,30,42,-0.05254433801788183,-1.4494987271208861,-6.097596180313263
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,fully_exact,892,892,0,-0.131470603370819,-0.131470603370819,-0.131470603370819
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,fully_imputed,9152,0,9152,-0.02687127826421084,-0.42216538987983226,-1.7335458657373815
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,fully_exact,667,4002,0,-0.8040951918075032,-0.8040951918075032,-0.8040951918075032
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,fully_imputed,7181,0,43086,-0.16539392558529079,-2.5376670416166105,-10.40469993100456
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,mixed,75,227,223,-0.5274813648358476,-1.7148088783725461,-5.664108041929514
