symbol,first_raw_OI_timestamp,first_complete_causal_lookback,first_admissible_onset_timestamp,invalid_boundary_start,invalid_boundary_end,truncation_status,gap_count,OI_missing_bars_inside_retention,last_raw_OI_timestamp
PF_1INCHUSD,2023-03-07 13:00:00+00:00,2024-08-29 00:00:00+00:00,2024-08-29 01:10:00+00:00,2023-03-07 13:00:00+00:00,2024-08-29 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_AAVEUSD,2023-03-07 12:40:00+00:00,2023-08-05 00:00:00+00:00,2023-08-05 03:35:00+00:00,2023-03-07 12:40:00+00:00,2023-08-05 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ADAUSD,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 01:15:00+00:00,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_AGLDUSD,2023-08-29 14:05:00+00:00,,,2023-08-29 14:05:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_AIXBTUSD,2025-01-21 15:35:00+00:00,2025-06-08 00:00:00+00:00,2025-06-08 06:20:00+00:00,2025-01-21 15:35:00+00:00,2025-06-08 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_AKTUSD,2024-11-19 14:45:00+00:00,,,2024-11-19 14:45:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ALCHUSD,2025-01-28 12:50:00+00:00,2025-04-08 00:00:00+00:00,2025-04-08 00:10:00+00:00,2025-01-28 12:50:00+00:00,2025-04-08 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ALGOUSD,2023-03-07 11:45:00+00:00,2024-04-03 00:00:00+00:00,2024-04-03 01:00:00+00:00,2023-03-07 11:45:00+00:00,2024-04-03 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ALICEUSD,2023-03-07 12:40:00+00:00,,,2023-03-07 12:40:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ANKRUSD,2023-03-07 11:55:00+00:00,,,2023-03-07 11:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_APEUSD,2023-03-07 11:40:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 01:15:00+00:00,2023-03-07 11:40:00+00:00,2023-07-01 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_API3USD,2024-01-31 14:30:00+00:00,,,2024-01-31 14:30:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_APTUSD,2023-03-07 13:10:00+00:00,2024-03-21 00:00:00+00:00,2024-03-21 01:25:00+00:00,2023-03-07 13:10:00+00:00,2024-03-21 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ARBUSD,2023-03-23 14:50:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 01:00:00+00:00,2023-03-23 14:50:00+00:00,2024-01-01 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
