symbol,year,rows,eligible_rows,price_available,OI_available,liquidation_available,basis_level_available,basis_change_available,breadth_available
PF_1INCHUSD,2023,86244,84096,86232,86232,0,77760,0,86244
PF_1INCHUSD,2024,105408,105408,105408,105408,0,105408,0,105408
PF_1INCHUSD,2025,104833,56737,104833,104833,0,104833,0,104833
PF_AAVEUSD,2023,86248,84096,86236,86236,16128,77760,0,86248
PF_AAVEUSD,2024,105408,105408,105408,105408,82368,105408,0,105408
PF_AAVEUSD,2025,104833,104833,104833,104833,104833,100512,0,104833
PF_ADAUSD,2023,86260,84096,86248,86248,77760,77760,0,86260
PF_ADAUSD,2024,105408,105408,105408,105408,105408,91008,0,105408
PF_ADAUSD,2025,104833,104833,104833,104833,104833,104545,0,104833
PF_AGLDUSD,2023,35831,576,35819,35734,0,27360,1440,35831
PF_AGLDUSD,2024,105408,82368,105408,105408,0,105408,0,105408
PF_AGLDUSD,2025,104833,8640,104833,104833,0,104833,0,104833
PF_AIXBTUSD,2023,0,0,0,0,0,0,0,0
PF_AIXBTUSD,2024,0,0,0,0,0,0,0,0
PF_AIXBTUSD,2025,98886,62785,98874,98874,13824,90433,0,98886
PF_AKTUSD,2023,0,0,0,0,0,0,0,0
PF_AKTUSD,2024,12207,0,12195,12195,1440,3744,0,12207
PF_AKTUSD,2025,104833,288,104833,104833,0,104833,70273,104833
PF_ALCHUSD,2023,0,0,0,0,0,0,0,0
PF_ALCHUSD,2024,0,0,0,0,0,0,0,0
PF_ALCHUSD,2025,96903,34272,96891,96891,22752,88417,61632,96903
PF_ALGOUSD,2023,86259,84096,86247,86247,4896,77760,0,86259
PF_ALGOUSD,2024,105408,105408,105408,105408,57024,94464,0,105408
PF_ALGOUSD,2025,104833,104833,104833,104833,104545,104833,0,104833
PF_ALICEUSD,2023,86248,84096,86236,86236,0,77760,0,86248
PF_ALICEUSD,2024,105408,97344,105408,105408,9792,105408,0,105408
PF_ALICEUSD,2025,104833,0,104833,104833,0,104833,43201,104833
PF_ANKRUSD,2023,86257,84096,86245,86245,0,77760,0,86257
PF_ANKRUSD,2024,105408,103968,105408,105408,14976,105408,0,105408
PF_ANKRUSD,2025,104833,0,104833,104833,0,104833,0,104833
PF_APEUSD,2023,86260,84096,86248,86248,5760,77760,0,86260
PF_APEUSD,2024,105408,105408,105408,105408,72576,97920,0,105408
PF_APEUSD,2025,104833,104833,104833,104833,41472,104833,0,104833
PF_API3USD,2023,0,0,0,0,0,0,0,0
PF_API3USD,2024,96594,67392,96582,96582,0,88128,0,96594
PF_API3USD,2025,104833,8064,104833,104833,0,104833,61633,104833
PF_APTUSD,2023,86242,84096,86230,86230,5760,77760,0,86242
PF_APTUSD,2024,105408,105408,105408,105408,67968,104544,0,105408
PF_APTUSD,2025,104833,104833,104833,104833,63937,104833,0,104833
PF_ARBUSD,2023,81614,576,81602,81602,6624,73152,0,81614
PF_ARBUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_ARBUSD,2025,104833,104833,104833,104833,104833,85248,0,104833
PF_ARCUSD,2023,0,0,0,0,0,0,0,0
PF_ARCUSD,2024,0,0,0,0,0,0,0,0
PF_ARCUSD,2025,96865,25057,96853,96853,18144,88417,43489,96865
PF_ARKMUSD,2023,0,0,0,0,0,0,0,0
PF_ARKMUSD,2024,66295,0,66283,66254,0,57888,0,66295
PF_ARKMUSD,2025,104833,3456,104833,104833,0,104833,8065,104833
PF_ARUSD,2023,0,0,0,0,0,0,0,0
PF_ARUSD,2024,67873,1440,67861,67861,24480,59328,0,67873
PF_ARUSD,2025,104833,85249,104833,104833,2304,104833,0,104833
PF_ATHUSD,2023,0,0,0,0,0,0,0,0
PF_ATHUSD,2024,13530,0,13518,13518,0,4896,0,13530
PF_ATHUSD,2025,104833,5472,104833,104833,0,104833,35137,104833
PF_ATOMUSD,2023,86259,84096,86247,86247,77760,77760,0,86259
PF_ATOMUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_ATOMUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_AUCTIONUSD,2023,0,0,0,0,0,0,0,0
PF_AUCTIONUSD,2024,39575,0,39563,39563,0,31104,0,39575
PF_AUCTIONUSD,2025,104833,11808,104833,104833,3168,104833,13249,104833
PF_AVAXUSD,2023,86259,84096,86247,86247,75456,77760,0,86259
PF_AVAXUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_AVAXUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_AXSUSD,2023,86259,84096,86247,86247,3744,77760,0,86259
PF_AXSUSD,2024,105408,105408,105408,105408,8064,105408,0,105408
PF_AXSUSD,2025,104833,102241,104833,104833,0,104833,3457,104833
PF_BANANAUSD,2023,0,0,0,0,0,0,0,0
PF_BANANAUSD,2024,28021,0,28009,28009,0,19584,7200,28021
PF_BANANAUSD,2025,104833,2016,104833,104833,0,104833,21889,104833
PF_BANDUSD,2023,86257,84096,86245,86245,0,77760,0,86257
PF_BANDUSD,2024,105408,87264,105408,105408,0,105408,0,105408
PF_BANDUSD,2025,104833,3168,104833,104833,0,104833,0,104833
PF_BATUSD,2023,86220,84096,86208,86208,0,77760,0,86220
PF_BATUSD,2024,105408,99648,105408,105408,0,105408,0,105408
PF_BATUSD,2025,104833,24193,104833,104833,0,104833,0,104833
PF_BBUSD,2023,0,0,0,0,0,0,0,0
PF_BBUSD,2024,55723,0,55711,55580,0,47232,0,55723
PF_BBUSD,2025,104833,288,104833,104833,0,104833,0,104833
PF_BCHUSD,2023,86252,84096,86240,86240,55296,77760,0,86252
PF_BCHUSD,2024,105408,105408,105408,105408,78336,105408,0,105408
PF_BCHUSD,2025,104833,104833,104833,104833,55009,104833,0,104833
PF_BEAMUSD,2023,0,0,0,0,0,0,0,0
PF_BEAMUSD,2024,74127,68544,74115,74115,7776,65664,36000,74127
PF_BEAMUSD,2025,104833,8640,104833,104833,12384,104833,41760,104833
PF_BERAUSD,2023,0,0,0,0,0,0,0,0
PF_BERAUSD,2024,0,0,0,0,0,0,0,0
PF_BERAUSD,2025,92519,51552,92507,92507,0,84097,1728,92519
PF_BIGTIMEUSD,2023,0,0,0,0,0,0,0,0
PF_BIGTIMEUSD,2024,54518,0,54506,54506,14976,46080,0,54518
PF_BIGTIMEUSD,2025,104833,11808,104833,104833,0,104833,48960,104833
PF_BIOUSD,2023,0,0,0,0,0,0,0,0
PF_BIOUSD,2024,0,0,0,0,0,0,0,0
PF_BIOUSD,2025,96840,12384,96828,96828,21312,88417,38305,96840
PF_BLURUSD,2023,86256,84096,86244,86244,14976,77760,0,86256
PF_BLURUSD,2024,105408,105408,105408,105408,19872,105408,0,105408
PF_BLURUSD,2025,104833,21024,104833,104833,0,104833,9217,104833
PF_BNBUSD,2023,11361,576,11349,11349,0,2880,0,11361
PF_BNBUSD,2024,105408,105408,105408,105408,93312,105408,0,105408
PF_BNBUSD,2025,104833,104833,104833,104833,77761,104833,0,104833
PF_BOMEUSD,2023,0,0,0,0,0,0,0,0
PF_BOMEUSD,2024,72365,0,72353,72353,43488,63936,0,72365
PF_BOMEUSD,2025,104833,21312,104833,104833,0,104833,0,104833
PF_BONKUSD,2023,2952,0,2940,2940,0,0,0,2952
PF_BONKUSD,2024,105408,68832,105408,105408,99936,99936,2592,105408
PF_BONKUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_BRETTUSD,2023,0,0,0,0,0,0,0,0
PF_BRETTUSD,2024,56529,1440,56517,56517,37728,48096,13824,56529
PF_BRETTUSD,2025,104833,104833,104833,104833,41184,104833,0,104833
PF_CAKEUSD,2023,0,0,0,0,0,0,0,0
PF_CAKEUSD,2024,12155,0,12143,12143,0,3744,3168,12155
PF_CAKEUSD,2025,104833,37728,104833,104833,0,104833,0,104833
PF_CATUSD,2023,0,0,0,0,0,0,0,0
PF_CATUSD,2024,17644,1440,17632,17470,9216,9216,1152,17644
PF_CATUSD,2025,104833,49248,104833,104833,18720,104833,0,104833
PF_CFXUSD,2023,41134,576,41122,40713,0,32544,0,41134
PF_CFXUSD,2024,105408,104544,105408,105408,10944,105408,0,105408
PF_CFXUSD,2025,104833,16128,104833,104833,0,104833,11520,104833
