component_a,component_b,eligible_overlap_rows
trade_downside,trade_downside,10783293
trade_downside,mark_downside,9254917
trade_downside,structural_rejection,3636859
trade_downside,oi,5173893
trade_downside,liquidation,177317
trade_downside,basis_level,2897935
trade_downside,basis_change,123858
trade_downside,breadth,2061736
mark_downside,trade_downside,9254917
mark_downside,mark_downside,13267847
mark_downside,structural_rejection,3635498
mark_downside,oi,5227550
mark_downside,liquidation,176107
mark_downside,basis_level,3439569
mark_downside,basis_change,166131
mark_downside,breadth,2228724
structural_rejection,trade_downside,3636859
structural_rejection,mark_downside,3635498
structural_rejection,structural_rejection,5972675
structural_rejection,oi,3001489
structural_rejection,liquidation,105205
structural_rejection,basis_level,1705416
structural_rejection,basis_change,49896
structural_rejection,breadth,1127519
oi,trade_downside,5173893
oi,mark_downside,5227550
oi,structural_rejection,3001489
oi,oi,10128206
oi,liquidation,169851
oi,basis_level,2704143
oi,basis_change,105177
oi,breadth,1698892
liquidation,trade_downside,177317
liquidation,mark_downside,176107
liquidation,structural_rejection,105205
liquidation,oi,169851
liquidation,liquidation,246338
liquidation,basis_level,92598
liquidation,basis_change,3406
liquidation,breadth,153227
basis_level,trade_downside,2897935
basis_level,mark_downside,3439569
basis_level,structural_rejection,1705416
basis_level,oi,2704143
basis_level,liquidation,92598
basis_level,basis_level,6962935
basis_level,basis_change,83461
basis_level,breadth,1141992
basis_change,trade_downside,123858
basis_change,mark_downside,166131
basis_change,structural_rejection,49896
basis_change,oi,105177
basis_change,liquidation,3406
basis_change,basis_level,83461
basis_change,basis_change,294449
basis_change,breadth,47733
breadth,trade_downside,2061736
breadth,mark_downside,2228724
breadth,structural_rejection,1127519
breadth,oi,1698892
breadth,liquidation,153227
breadth,basis_level,1141992
breadth,basis_change,47733
breadth,breadth,3689810
