symbol,year,unique_economic_addresses,addresses_in_multiple_grammar_cells,total_grammar_memberships,maximum_grammar_memberships_per_address
PF_1INCHUSD,2023,1587,684,2569,4
PF_1INCHUSD,2024,5707,2483,9603,4
PF_1INCHUSD,2025,2913,1214,4853,4
PF_AAVEUSD,2023,4869,2102,8022,5
PF_AAVEUSD,2024,11935,6073,21130,5
PF_AAVEUSD,2025,17239,8794,31178,5
PF_ADAUSD,2023,9662,4870,16543,5
PF_ADAUSD,2024,16743,8493,28429,5
PF_ADAUSD,2025,17959,8976,32121,5
PF_AGLDUSD,2023,18,9,28,3
PF_AGLDUSD,2024,3585,1461,5923,4
PF_AGLDUSD,2025,283,131,464,4
PF_AIXBTUSD,2023,0,0,0,0
PF_AIXBTUSD,2024,0,0,0,0
PF_AIXBTUSD,2025,4379,1876,7086,5
PF_AKTUSD,2023,0,0,0,0
PF_AKTUSD,2024,0,0,0,0
PF_AKTUSD,2025,13,4,20,4
PF_ALCHUSD,2023,0,0,0,0
PF_ALCHUSD,2024,0,0,0,0
PF_ALCHUSD,2025,3012,1489,5958,7
PF_ALGOUSD,2023,2683,1199,4539,5
PF_ALGOUSD,2024,7723,3636,13827,5
PF_ALGOUSD,2025,10832,5503,20226,5
PF_ALICEUSD,2023,791,286,1190,4
PF_ALICEUSD,2024,2570,1096,4399,5
PF_ALICEUSD,2025,0,0,0,0
PF_ANKRUSD,2023,1628,623,2456,4
PF_ANKRUSD,2024,4320,1589,6882,5
PF_ANKRUSD,2025,0,0,0,0
PF_APEUSD,2023,5574,2803,9374,5
PF_APEUSD,2024,10581,5175,18577,5
PF_APEUSD,2025,10089,4556,17739,5
PF_API3USD,2023,0,0,0,0
PF_API3USD,2024,2363,885,3830,4
PF_API3USD,2025,357,161,683,5
PF_APTUSD,2023,2421,1029,3849,4
PF_APTUSD,2024,10557,5065,18287,5
PF_APTUSD,2025,10760,5313,19366,5
PF_ARBUSD,2023,65,25,98,4
PF_ARBUSD,2024,15432,8150,27245,5
PF_ARBUSD,2025,16773,8523,29913,5
PF_ARCUSD,2023,0,0,0,0
PF_ARCUSD,2024,0,0,0,0
PF_ARCUSD,2025,1624,575,2589,6
PF_ARKMUSD,2023,0,0,0,0
PF_ARKMUSD,2024,0,0,0,0
PF_ARKMUSD,2025,121,31,155,3
PF_ARUSD,2023,0,0,0,0
PF_ARUSD,2024,65,46,127,3
PF_ARUSD,2025,5678,2611,9713,4
PF_ATHUSD,2023,0,0,0,0
PF_ATHUSD,2024,0,0,0,0
PF_ATHUSD,2025,210,95,374,4
PF_ATOMUSD,2023,8185,3860,13872,5
PF_ATOMUSD,2024,15249,7791,26565,5
PF_ATOMUSD,2025,15337,7701,27556,5
PF_AUCTIONUSD,2023,0,0,0,0
PF_AUCTIONUSD,2024,0,0,0,0
PF_AUCTIONUSD,2025,868,364,1456,4
PF_AVAXUSD,2023,7838,3946,13521,5
PF_AVAXUSD,2024,16170,8497,28393,5
PF_AVAXUSD,2025,17401,9031,31794,5
PF_AXSUSD,2023,5479,2017,8278,5
PF_AXSUSD,2024,8207,3976,14084,5
PF_AXSUSD,2025,6496,2635,10770,5
PF_BANANAUSD,2023,0,0,0,0
PF_BANANAUSD,2024,0,0,0,0
PF_BANANAUSD,2025,50,11,66,3
PF_BANDUSD,2023,1209,524,2000,4
PF_BANDUSD,2024,2175,873,3632,4
PF_BANDUSD,2025,82,40,154,4
PF_BATUSD,2023,1072,433,1682,4
PF_BATUSD,2024,2381,888,3838,4
PF_BATUSD,2025,1627,782,2858,4
PF_BBUSD,2023,0,0,0,0
PF_BBUSD,2024,0,0,0,0
PF_BBUSD,2025,2,1,3,2
PF_BCHUSD,2023,10479,5260,17898,5
PF_BCHUSD,2024,14446,7631,25294,5
PF_BCHUSD,2025,13262,6966,23863,5
PF_BEAMUSD,2023,0,0,0,0
PF_BEAMUSD,2024,4773,2053,8446,7
PF_BEAMUSD,2025,316,145,660,7
PF_BERAUSD,2023,0,0,0,0
PF_BERAUSD,2024,0,0,0,0
PF_BERAUSD,2025,2623,1022,4114,4
PF_BIGTIMEUSD,2023,0,0,0,0
PF_BIGTIMEUSD,2024,0,0,0,0
PF_BIGTIMEUSD,2025,690,223,1036,4
PF_BIOUSD,2023,0,0,0,0
PF_BIOUSD,2024,0,0,0,0
PF_BIOUSD,2025,778,356,1383,7
PF_BLURUSD,2023,2822,1136,4467,5
PF_BLURUSD,2024,5913,2541,9712,5
PF_BLURUSD,2025,967,350,1595,4
PF_BNBUSD,2023,20,10,41,4
PF_BNBUSD,2024,11126,6023,19957,5
PF_BNBUSD,2025,15309,7931,28293,5
PF_BOMEUSD,2023,0,0,0,0
PF_BOMEUSD,2024,0,0,0,0
PF_BOMEUSD,2025,1368,571,2195,4
PF_BONKUSD,2023,0,0,0,0
PF_BONKUSD,2024,10841,5460,18499,5
PF_BONKUSD,2025,15324,7814,27380,5
PF_BRETTUSD,2023,0,0,0,0
PF_BRETTUSD,2024,105,52,169,3
PF_BRETTUSD,2025,8513,4262,15202,5
PF_CAKEUSD,2023,0,0,0,0
PF_CAKEUSD,2024,0,0,0,0
PF_CAKEUSD,2025,2259,823,3485,4
PF_CATUSD,2023,0,0,0,0
PF_CATUSD,2024,195,74,285,4
PF_CATUSD,2025,3573,1665,6140,5
PF_CFXUSD,2023,5,1,6,2
PF_CFXUSD,2024,6057,2769,10256,5
PF_CFXUSD,2025,1108,518,1919,4
PF_CHILLGUYUSD,2023,0,0,0,0
PF_CHILLGUYUSD,2024,0,0,0,0
PF_CHILLGUYUSD,2025,608,222,943,5
PF_CHZUSD,2023,1391,541,2208,4
PF_CHZUSD,2024,7909,3747,13492,5
PF_CHZUSD,2025,2071,1014,3677,4
PF_COMPUSD,2023,1634,664,2676,4
PF_COMPUSD,2024,5773,2629,10068,4
PF_COMPUSD,2025,3595,1516,6066,4
PF_COOKIEUSD,2023,0,0,0,0
PF_COOKIEUSD,2024,0,0,0,0
PF_COOKIEUSD,2025,136,64,227,4
PF_COTIUSD,2023,0,0,0,0
PF_COTIUSD,2024,0,0,0,0
PF_COTIUSD,2025,24,4,30,3
PF_COWUSD,2023,0,0,0,0
PF_COWUSD,2024,81,40,161,7
PF_COWUSD,2025,139,62,263,7
PF_CROUSD,2023,0,0,0,0
PF_CROUSD,2024,0,0,0,0
PF_CROUSD,2025,2180,1126,3948,5
PF_CRVUSD,2023,9188,4515,15563,5
PF_CRVUSD,2024,14109,7280,25608,5
PF_CRVUSD,2025,18025,9198,33541,5
PF_CTSIUSD,2023,0,0,0,0
PF_CTSIUSD,2024,0,0,0,0
PF_CTSIUSD,2025,175,47,254,4
PF_CVXUSD,2023,10,4,14,2
PF_CVXUSD,2024,4342,1835,7555,7
PF_CVXUSD,2025,1988,912,3688,5
PF_DASHUSD,2023,1263,489,1962,4
PF_DASHUSD,2024,9464,4603,16385,5
PF_DASHUSD,2025,6492,3201,11998,5
PF_DEEPUSD,2023,0,0,0,0
PF_DEEPUSD,2024,0,0,0,0
PF_DEEPUSD,2025,1010,263,1526,5
PF_DEGENUSD,2023,0,0,0,0
PF_DEGENUSD,2024,0,0,0,0
PF_DEGENUSD,2025,746,303,1172,4
PF_DOGEUSD,2023,10697,5643,18684,5
PF_DOGEUSD,2024,17064,8880,29727,5
PF_DOGEUSD,2025,17698,8675,30418,5
PF_DOGUSD,2023,0,0,0,0
PF_DOGUSD,2024,67,15,88,3
PF_DOGUSD,2025,4069,2098,8251,7
PF_DOTUSD,2023,6974,3526,12180,5
PF_DOTUSD,2024,16106,8580,28242,5
PF_DOTUSD,2025,16521,8309,30025,5
PF_DYDXUSD,2023,2745,1106,4360,5
PF_DYDXUSD,2024,5306,2430,9359,5
PF_DYDXUSD,2025,9656,4536,16607,5
PF_DYMUSD,2023,0,0,0,0
PF_DYMUSD,2024,4493,2083,7705,5
PF_DYMUSD,2025,145,47,232,4
PF_EGLDUSD,2023,1901,907,3158,4
PF_EGLDUSD,2024,4187,1881,7252,4
PF_EGLDUSD,2025,798,330,1424,5
PF_EIGENUSD,2023,0,0,0,0
PF_EIGENUSD,2024,51,13,67,3
PF_EIGENUSD,2025,3029,1286,5207,5
PF_ENAUSD,2023,0,0,0,0
PF_ENAUSD,2024,153,93,270,4
PF_ENAUSD,2025,14578,7283,25449,5
PF_ENSUSD,2023,2316,749,3471,4
PF_ENSUSD,2024,12779,6371,21959,5
PF_ENSUSD,2025,6976,3109,12044,5
PF_ETCUSD,2023,1632,612,2527,4
PF_ETCUSD,2024,5689,2615,9760,4
PF_ETCUSD,2025,4348,1865,7586,4
PF_ETHFIUSD,2023,0,0,0,0
PF_ETHFIUSD,2024,110,51,170,3
PF_ETHFIUSD,2025,4473,2028,7693,4
PF_ETHUSD,2023,14042,7328,23489,5
PF_ETHUSD,2024,17359,8654,29513,5
PF_ETHUSD,2025,17242,8397,28661,5
PF_ETHWUSD,2023,834,286,1290,5
PF_ETHWUSD,2024,1827,606,2941,5
PF_ETHWUSD,2025,0,0,0,0
PF_FARTCOINUSD,2023,0,0,0,0
PF_FARTCOINUSD,2024,0,0,0,0
PF_FARTCOINUSD,2025,15108,7500,26129,5
PF_FETUSD,2023,45,10,57,3
PF_FETUSD,2024,7537,3771,12982,5
PF_FETUSD,2025,9858,5127,18118,7
PF_FILUSD,2023,4583,2239,7849,5
PF_FILUSD,2024,13928,7186,24621,5
PF_FILUSD,2025,15448,7550,27963,5
PF_FLOKIUSD,2023,0,0,0,0
PF_FLOKIUSD,2024,77,27,111,3
PF_FLOKIUSD,2025,9781,4794,17575,5
PF_FLOWUSD,2023,1102,463,1750,4
PF_FLOWUSD,2024,2502,1054,4164,4
PF_FLOWUSD,2025,0,0,0,0
PF_FLRUSD,2023,1556,532,2254,4
PF_FLRUSD,2024,2617,962,4457,7
PF_FLRUSD,2025,9,1,12,4
PF_GALAUSD,2023,3488,1563,5753,5
PF_GALAUSD,2024,9512,4676,17029,5
PF_GALAUSD,2025,11530,5699,20600,5
PF_GIGAUSD,2023,0,0,0,0
PF_GIGAUSD,2024,0,0,0,0
PF_GIGAUSD,2025,139,42,232,5
PF_GMTUSD,2023,2021,848,3178,5
PF_GMTUSD,2024,4484,1961,7937,5
PF_GMTUSD,2025,2601,1143,4273,4
PF_GMXUSD,2023,25,7,34,3
PF_GMXUSD,2024,5415,2404,9081,5
PF_GMXUSD,2025,456,158,715,4
PF_GOATUSD,2023,0,0,0,0
PF_GOATUSD,2024,263,131,415,3
PF_GOATUSD,2025,14340,7283,25861,5
PF_GRASSUSD,2023,0,0,0,0
PF_GRASSUSD,2024,0,0,0,0
PF_GRASSUSD,2025,6409,2678,10370,5
PF_GRIFFAINUSD,2023,0,0,0,0
PF_GRIFFAINUSD,2024,0,0,0,0
PF_GRIFFAINUSD,2025,4707,2348,8530,7
