grammar_cell,year,episodes,duration_minutes_median,duration_minutes_p95
trade_downside+mark_downside+structural_rejection,2023,261465,5.0,10.0
trade_downside+mark_downside+structural_rejection,2024,837634,5.0,15.0
trade_downside+mark_downside+structural_rejection,2025,1077399,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi,2023,131620,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi,2024,457853,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi,2025,591959,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi+basis_change,2023,168,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi+basis_change,2024,2873,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi+basis_change,2025,9530,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi+basis_level,2023,41572,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi+basis_level,2024,130266,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi+basis_level,2025,197346,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi+breadth,2023,17989,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi+breadth,2024,122886,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi+breadth,2025,188020,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi+liquidation,2023,3410,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi+liquidation,2024,14145,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi+liquidation,2025,19011,5.0,15.0
trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,2023,10,5.0,13.249999999999996
trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,2024,60,5.0,10.0
trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,2025,459,5.0,10.499999999999972
