symbol,year,grammar_cell,state_rows,onsets,episodes,duration_minutes_median,duration_minutes_p95
PF_1INCHUSD,2023,trade_downside+mark_downside+structural_rejection,1868,1561,1561,5.0,10.0
PF_1INCHUSD,2024,trade_downside+mark_downside+structural_rejection,7279,5390,5390,5.0,15.0
PF_1INCHUSD,2025,trade_downside+mark_downside+structural_rejection,3628,2794,2794,5.0,15.0
PF_1INCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi,820,693,693,5.0,10.0
PF_1INCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi,3309,2528,2528,5.0,15.0
PF_1INCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi,1579,1226,1226,5.0,15.0
PF_1INCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_1INCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_1INCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_1INCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,232,215,215,5.0,10.0
PF_1INCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,1186,1028,1028,5.0,10.0
PF_1INCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,403,344,344,5.0,10.0
PF_1INCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_1INCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_1INCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_1INCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,109,100,100,5.0,10.0
PF_1INCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,811,657,657,5.0,10.0
PF_1INCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,626,489,489,5.0,15.0
PF_1INCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_1INCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_1INCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AAVEUSD,2023,trade_downside+mark_downside+structural_rejection,5911,4686,4686,5.0,15.0
PF_AAVEUSD,2024,trade_downside+mark_downside+structural_rejection,17239,11049,11049,5.0,20.0
PF_AAVEUSD,2025,trade_downside+mark_downside+structural_rejection,27185,15201,15201,5.0,20.0
PF_AAVEUSD,2023,trade_downside+mark_downside+structural_rejection+oi,2688,2128,2128,5.0,15.0
PF_AAVEUSD,2024,trade_downside+mark_downside+structural_rejection+oi,9347,6257,6257,5.0,15.0
PF_AAVEUSD,2025,trade_downside+mark_downside+structural_rejection+oi,15033,9140,9140,5.0,20.0
PF_AAVEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,89,63,63,5.0,15.0
PF_AAVEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,424,267,267,5.0,15.0
PF_AAVEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,481,282,282,5.0,20.0
PF_AAVEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,974,796,796,5.0,10.0
PF_AAVEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,2607,1939,1939,5.0,15.0
PF_AAVEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,5017,3714,3714,5.0,15.0
PF_AAVEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AAVEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AAVEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AAVEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,449,349,349,5.0,15.0
PF_AAVEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,2336,1618,1618,5.0,15.0
PF_AAVEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,4226,2841,2841,5.0,15.0
PF_AAVEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AAVEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AAVEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
