symbol,grammar_cell,parent_family,exact_decision_timestamp_overlaps
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection,KDA01,8
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection,KDA02,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection,KDA03,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,1
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,1
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_1INCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection,KDA01,299
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection,KDA02,13
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection,KDA03,282
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,165
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,13
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,134
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,4
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,8
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,7
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,94
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,10
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,95
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,61
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,9
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,44
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_AAVEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ADAUSD,trade_downside+mark_downside+structural_rejection,KDA01,331
PF_ADAUSD,trade_downside+mark_downside+structural_rejection,KDA02,14
PF_ADAUSD,trade_downside+mark_downside+structural_rejection,KDA03,330
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,149
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,15
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,145
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,6
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,14
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,4
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,64
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,14
PF_ADAUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,87
