year,symbol,major_vs_alt,direction,family_id,definition_id,state,event_count
2023,PF_1INCHUSD,alt,negative,KDA01,kda01_primary_deteriorating,crowding_with_deteriorating_price_progress,347
2023,PF_1INCHUSD,alt,negative,KDA01,kda01_primary_efficient,crowding_with_efficient_price_progress,423
2023,PF_1INCHUSD,alt,negative,KDA01,kda01_primary_failure,completed_failure_after_crowding_deterioration,36
2023,PF_1INCHUSD,alt,negative,KDA01,kda01_robust_deteriorating,crowding_with_deteriorating_price_progress,399
2023,PF_1INCHUSD,alt,negative,KDA01,kda01_robust_efficient,crowding_with_efficient_price_progress,461
2023,PF_1INCHUSD,alt,negative,KDA01,kda01_robust_failure,completed_failure_after_crowding_deterioration,32
2023,PF_1INCHUSD,alt,positive,KDA01,kda01_primary_deteriorating,crowding_with_deteriorating_price_progress,443
2023,PF_1INCHUSD,alt,positive,KDA01,kda01_primary_efficient,crowding_with_efficient_price_progress,443
2023,PF_1INCHUSD,alt,positive,KDA01,kda01_primary_failure,completed_failure_after_crowding_deterioration,28
2023,PF_1INCHUSD,alt,positive,KDA01,kda01_robust_deteriorating,crowding_with_deteriorating_price_progress,438
2023,PF_1INCHUSD,alt,positive,KDA01,kda01_robust_efficient,crowding_with_efficient_price_progress,454
2023,PF_1INCHUSD,alt,positive,KDA01,kda01_robust_failure,completed_failure_after_crowding_deterioration,32
2023,PF_AAVEUSD,alt,negative,KDA01,kda01_primary_deteriorating,crowding_with_deteriorating_price_progress,1153
2023,PF_AAVEUSD,alt,negative,KDA01,kda01_primary_efficient,crowding_with_efficient_price_progress,963
2023,PF_AAVEUSD,alt,negative,KDA01,kda01_primary_failure,completed_failure_after_crowding_deterioration,164
2023,PF_AAVEUSD,alt,negative,KDA01,kda01_robust_deteriorating,crowding_with_deteriorating_price_progress,1393
2023,PF_AAVEUSD,alt,negative,KDA01,kda01_robust_efficient,crowding_with_efficient_price_progress,1024
2023,PF_AAVEUSD,alt,negative,KDA01,kda01_robust_failure,completed_failure_after_crowding_deterioration,158
2023,PF_AAVEUSD,alt,positive,KDA01,kda01_primary_deteriorating,crowding_with_deteriorating_price_progress,922
2023,PF_AAVEUSD,alt,positive,KDA01,kda01_primary_efficient,crowding_with_efficient_price_progress,841
2023,PF_AAVEUSD,alt,positive,KDA01,kda01_primary_failure,completed_failure_after_crowding_deterioration,152
2023,PF_AAVEUSD,alt,positive,KDA01,kda01_robust_deteriorating,crowding_with_deteriorating_price_progress,832
2023,PF_AAVEUSD,alt,positive,KDA01,kda01_robust_efficient,crowding_with_efficient_price_progress,923
