definition_id,family_id,state,symbol,feasible_row_count
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_1INCHUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_1INCHUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_1INCHUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_AAVEUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_AAVEUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_AAVEUSD,1046
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ADAUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ADAUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ADAUSD,1282
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_AGLDUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_AGLDUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_AGLDUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_AIXBTUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_AIXBTUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_AIXBTUSD,22
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_AKTUSD,72
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_AKTUSD,136
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_AKTUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ALCHUSD,10820
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ALCHUSD,10344
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ALCHUSD,131
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ALGOUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ALGOUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ALGOUSD,1310
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ALICEUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ALICEUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ALICEUSD,14
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ANKRUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ANKRUSD,0
