year,symbol,exact_aligned_rows,trade_coverage_rows,mark_coverage_rows,analytics_coverage_rows,eligible_rows,first_usable_ts,last_usable_ts
2023,PF_1INCHUSD,86244,86244,86244,86244,84096,2023-03-07 13:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_1INCHUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_1INCHUSD,104833,104833,104833,104833,56737,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_AAVEUSD,86248,86248,86248,86248,84096,2023-03-07 12:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_AAVEUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_AAVEUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ADAUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ADAUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ADAUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_AGLDUSD,35831,35831,35831,35831,576,2023-08-29 14:05:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_AGLDUSD,105408,105408,105408,105408,82368,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_AGLDUSD,104833,104833,104833,104833,8640,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_AIXBTUSD,98886,98886,98886,98886,62785,2025-01-21 15:35:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_AKTUSD,12207,12207,12207,12207,0,2024-11-19 14:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_AKTUSD,104833,104833,104833,104833,288,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_ALCHUSD,96903,96903,96903,96903,34272,2025-01-28 12:50:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ALGOUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ALGOUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ALGOUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ALICEUSD,86248,86248,86248,86248,84096,2023-03-07 12:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ALICEUSD,105408,105408,105408,105408,97344,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ALICEUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ANKRUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ANKRUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ANKRUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_APEUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_APEUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_APEUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_API3USD,96594,96594,96594,96594,67392,2024-01-31 14:30:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_API3USD,104833,104833,104833,104833,8064,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_APTUSD,86242,86242,86242,86242,84096,2023-03-07 13:10:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_APTUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_APTUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ARBUSD,81614,81614,81614,81614,576,2023-03-23 14:50:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ARBUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ARBUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_ARCUSD,96865,96865,96865,96865,25057,2025-01-28 16:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ARKMUSD,66295,66295,66295,66295,0,2024-05-15 19:25:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ARKMUSD,104833,104833,104833,104833,3456,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ARUSD,67873,67873,67873,67873,1440,2024-05-10 07:55:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ARUSD,104833,104833,104833,104833,85249,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ATHUSD,13530,13530,13530,13530,0,2024-11-15 00:30:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ATHUSD,104833,104833,104833,104833,5472,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ATOMUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ATOMUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ATOMUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_AUCTIONUSD,39575,39575,39575,39575,0,2024-08-16 14:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_AUCTIONUSD,104833,104833,104833,104833,11808,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_AVAXUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_AVAXUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_AVAXUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_AXSUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_AXSUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_AXSUSD,104833,104833,104833,104833,102241,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_BANANAUSD,28021,28021,28021,28021,0,2024-09-25 16:55:00+00:00,2024-12-31 23:55:00+00:00
