symbol,reason,row_count
PF_1INCHUSD,cohort_or_known_lifecycle_ineligible,50244
PF_AAVEUSD,cohort_or_known_lifecycle_ineligible,2152
PF_ADAUSD,cohort_or_known_lifecycle_ineligible,2164
PF_AGLDUSD,cohort_or_known_lifecycle_ineligible,154488
PF_AIXBTUSD,cohort_or_known_lifecycle_ineligible,36101
PF_AKTUSD,cohort_or_known_lifecycle_ineligible,116752
PF_ALCHUSD,cohort_or_known_lifecycle_ineligible,62631
PF_ALGOUSD,cohort_or_known_lifecycle_ineligible,2163
PF_ALICEUSD,cohort_or_known_lifecycle_ineligible,115049
PF_ANKRUSD,cohort_or_known_lifecycle_ineligible,108434
PF_APEUSD,cohort_or_known_lifecycle_ineligible,2164
PF_API3USD,cohort_or_known_lifecycle_ineligible,125971
PF_APTUSD,cohort_or_known_lifecycle_ineligible,2146
PF_ARBUSD,cohort_or_known_lifecycle_ineligible,81038
PF_ARCUSD,cohort_or_known_lifecycle_ineligible,71808
PF_ARKMUSD,cohort_or_known_lifecycle_ineligible,167672
PF_ARUSD,cohort_or_known_lifecycle_ineligible,86017
PF_ATHUSD,cohort_or_known_lifecycle_ineligible,112891
PF_ATOMUSD,cohort_or_known_lifecycle_ineligible,2163
PF_AUCTIONUSD,cohort_or_known_lifecycle_ineligible,132600
PF_AVAXUSD,cohort_or_known_lifecycle_ineligible,2163
PF_AXSUSD,cohort_or_known_lifecycle_ineligible,4755
PF_BANANAUSD,cohort_or_known_lifecycle_ineligible,130838
PF_BANDUSD,cohort_or_known_lifecycle_ineligible,121970
PF_BATUSD,cohort_or_known_lifecycle_ineligible,88524
PF_BBUSD,cohort_or_known_lifecycle_ineligible,160268
PF_BCHUSD,cohort_or_known_lifecycle_ineligible,2156
PF_BEAMUSD,cohort_or_known_lifecycle_ineligible,101776
PF_BERAUSD,cohort_or_known_lifecycle_ineligible,40967
PF_BIGTIMEUSD,cohort_or_known_lifecycle_ineligible,147543
PF_BIOUSD,cohort_or_known_lifecycle_ineligible,84456
PF_BLURUSD,cohort_or_known_lifecycle_ineligible,85969
PF_BNBUSD,cohort_or_known_lifecycle_ineligible,10785
PF_BOMEUSD,cohort_or_known_lifecycle_ineligible,155886
PF_BONKUSD,cohort_or_known_lifecycle_ineligible,39528
PF_BRETTUSD,cohort_or_known_lifecycle_ineligible,55089
PF_CAKEUSD,cohort_or_known_lifecycle_ineligible,79260
PF_CATUSD,cohort_or_known_lifecycle_ineligible,71789
PF_CFXUSD,cohort_or_known_lifecycle_ineligible,130127
PF_CHILLGUYUSD,cohort_or_known_lifecycle_ineligible,87640
PF_CHZUSD,cohort_or_known_lifecycle_ineligible,70956
PF_COMPUSD,cohort_or_known_lifecycle_ineligible,43884
PF_COOKIEUSD,cohort_or_known_lifecycle_ineligible,89893
PF_COTIUSD,cohort_or_known_lifecycle_ineligible,174892
PF_COWUSD,cohort_or_known_lifecycle_ineligible,108082
PF_CROUSD,cohort_or_known_lifecycle_ineligible,76678
PF_CRVUSD,cohort_or_known_lifecycle_ineligible,2162
PF_CTSIUSD,cohort_or_known_lifecycle_ineligible,163131
PF_CVXUSD,cohort_or_known_lifecycle_ineligible,147270
PF_DASHUSD,cohort_or_known_lifecycle_ineligible,38448
PF_DEEPUSD,cohort_or_known_lifecycle_ineligible,95229
PF_DEGENUSD,cohort_or_known_lifecycle_ineligible,99698
PF_DOGEUSD,cohort_or_known_lifecycle_ineligible,2161
PF_DOGUSD,cohort_or_known_lifecycle_ineligible,68032
PF_DOTUSD,cohort_or_known_lifecycle_ineligible,2163
PF_DYDXUSD,cohort_or_known_lifecycle_ineligible,2164
PF_DYMUSD,cohort_or_known_lifecycle_ineligible,125094
PF_EGLDUSD,cohort_or_known_lifecycle_ineligible,91443
PF_EIGENUSD,cohort_or_known_lifecycle_ineligible,73838
PF_ENAUSD,cohort_or_known_lifecycle_ineligible,70942
PF_ENSUSD,cohort_or_known_lifecycle_ineligible,6769
PF_ETCUSD,cohort_or_known_lifecycle_ineligible,28657
PF_ETHFIUSD,cohort_or_known_lifecycle_ineligible,90549
PF_ETHUSD,cohort_or_known_lifecycle_ineligible,0
PF_ETHWUSD,cohort_or_known_lifecycle_ineligible,116185
PF_FARTCOINUSD,cohort_or_known_lifecycle_ineligible,10988
PF_FETUSD,cohort_or_known_lifecycle_ineligible,135472
PF_FILUSD,cohort_or_known_lifecycle_ineligible,2164
PF_FLOKIUSD,cohort_or_known_lifecycle_ineligible,64883
PF_FLOWUSD,cohort_or_known_lifecycle_ineligible,108410
PF_FLRUSD,cohort_or_known_lifecycle_ineligible,108437
PF_GALAUSD,cohort_or_known_lifecycle_ineligible,2161
PF_GIGAUSD,cohort_or_known_lifecycle_ineligible,105484
PF_GMTUSD,cohort_or_known_lifecycle_ineligible,61779
PF_GMXUSD,cohort_or_known_lifecycle_ineligible,178288
PF_GOATUSD,cohort_or_known_lifecycle_ineligible,18182
PF_GRASSUSD,cohort_or_known_lifecycle_ineligible,33142
PF_GRIFFAINUSD,cohort_or_known_lifecycle_ineligible,30333
PF_GRTUSD,cohort_or_known_lifecycle_ineligible,50260
PF_HBARUSD,cohort_or_known_lifecycle_ineligible,53078
PF_HFTUSD,cohort_or_known_lifecycle_ineligible,169708
PF_HYPEUSD,cohort_or_known_lifecycle_ineligible,9821
PF_ICPUSD,cohort_or_known_lifecycle_ineligible,2136
PF_ICXUSD,cohort_or_known_lifecycle_ineligible,108396
PF_IMXUSD,cohort_or_known_lifecycle_ineligible,67248
PF_INJUSD,cohort_or_known_lifecycle_ineligible,77304
PF_IOTAUSD,cohort_or_known_lifecycle_ineligible,108972
PF_IOUSD,cohort_or_known_lifecycle_ineligible,95392
PF_IPUSD,cohort_or_known_lifecycle_ineligible,47955
PF_JASMYUSD,cohort_or_known_lifecycle_ineligible,77303
PF_JTOUSD,cohort_or_known_lifecycle_ineligible,54790
PF_JUPUSD,cohort_or_known_lifecycle_ineligible,27479
PF_KAIAUSD,cohort_or_known_lifecycle_ineligible,112373
PF_KAITOUSD,cohort_or_known_lifecycle_ineligible,48751
PF_KASUSD,cohort_or_known_lifecycle_ineligible,33514
PF_KAVAUSD,cohort_or_known_lifecycle_ineligible,69529
PF_KSMUSD,cohort_or_known_lifecycle_ineligible,39026
PF_LDOUSD,cohort_or_known_lifecycle_ineligible,85374
PF_LINKUSD,cohort_or_known_lifecycle_ineligible,2162
PF_LPTUSD,cohort_or_known_lifecycle_ineligible,18003
PF_LRCUSD,cohort_or_known_lifecycle_ineligible,108425
PF_LSKUSD,cohort_or_known_lifecycle_ineligible,134611
PF_LTCUSD,cohort_or_known_lifecycle_ineligible,2164
PF_LUNA2USD,cohort_or_known_lifecycle_ineligible,99794
PF_MANAUSD,cohort_or_known_lifecycle_ineligible,2161
PF_MELANIAUSD,cohort_or_known_lifecycle_ineligible,20302
PF_MEWUSD,cohort_or_known_lifecycle_ineligible,75845
PF_MINAUSD,cohort_or_known_lifecycle_ineligible,101785
PF_MNTUSD,cohort_or_known_lifecycle_ineligible,139526
PF_MOGUSD,cohort_or_known_lifecycle_ineligible,115320
PF_MOODENGUSD,cohort_or_known_lifecycle_ineligible,16199
PF_MORPHOUSD,cohort_or_known_lifecycle_ineligible,71512
PF_MOVEUSD,cohort_or_known_lifecycle_ineligible,72349
PF_MOVRUSD,cohort_or_known_lifecycle_ineligible,169683
PF_NEARUSD,cohort_or_known_lifecycle_ineligible,2163
PF_NEIROUSD,cohort_or_known_lifecycle_ineligible,29199
PF_NEOUSD,cohort_or_known_lifecycle_ineligible,176611
PF_NMRUSD,cohort_or_known_lifecycle_ineligible,133411
PF_NOTUSD,cohort_or_known_lifecycle_ineligible,125378
PF_OGNUSD,cohort_or_known_lifecycle_ineligible,139538
PF_ONDOUSD,cohort_or_known_lifecycle_ineligible,7284
PF_OPUSD,cohort_or_known_lifecycle_ineligible,2162
PF_ORDIUSD,cohort_or_known_lifecycle_ineligible,29791
PF_PENDLEUSD,cohort_or_known_lifecycle_ineligible,70971
PF_PENGUUSD,cohort_or_known_lifecycle_ineligible,19953
PF_PEOPLEUSD,cohort_or_known_lifecycle_ineligible,154193
PF_PEPEUSD,cohort_or_known_lifecycle_ineligible,62925
PF_PNUTUSD,cohort_or_known_lifecycle_ineligible,15069
PF_POLUSD,cohort_or_known_lifecycle_ineligible,28066
PF_POPCATUSD,cohort_or_known_lifecycle_ineligible,55089
PF_PUMPUSD,cohort_or_known_lifecycle_ineligible,14749
PF_PYTHUSD,cohort_or_known_lifecycle_ineligible,32029
PF_QNTUSD,cohort_or_known_lifecycle_ineligible,66090
PF_QTUMUSD,cohort_or_known_lifecycle_ineligible,102100
PF_RAYUSD,cohort_or_known_lifecycle_ineligible,37768
PF_RENDERUSD,cohort_or_known_lifecycle_ineligible,43007
PF_RLCUSD,cohort_or_known_lifecycle_ineligible,228121
PF_RSRUSD,cohort_or_known_lifecycle_ineligible,112118
PF_RUNEUSD,cohort_or_known_lifecycle_ineligible,2162
PF_SAGAUSD,cohort_or_known_lifecycle_ineligible,112891
PF_SEIUSD,cohort_or_known_lifecycle_ineligible,15682
PF_SHIBUSD,cohort_or_known_lifecycle_ineligible,61287
PF_SKLUSD,cohort_or_known_lifecycle_ineligible,90491
PF_SNXUSD,cohort_or_known_lifecycle_ineligible,49972
PF_SOLUSD,cohort_or_known_lifecycle_ineligible,2163
PF_SPELLUSD,cohort_or_known_lifecycle_ineligible,121920
PF_SPKUSD,cohort_or_known_lifecycle_ineligible,48669
PF_SPXUSD,cohort_or_known_lifecycle_ineligible,19950
PF_STGUSD,cohort_or_known_lifecycle_ineligible,186125
PF_STORJUSD,cohort_or_known_lifecycle_ineligible,90292
PF_STRKUSD,cohort_or_known_lifecycle_ineligible,43049
PF_STXUSD,cohort_or_known_lifecycle_ineligible,79007
PF_SUIUSD,cohort_or_known_lifecycle_ineligible,69248
PF_SUSD,cohort_or_known_lifecycle_ineligible,38699
PF_SUSHIUSD,cohort_or_known_lifecycle_ineligible,2161
PF_TAOUSD,cohort_or_known_lifecycle_ineligible,52232
PF_THETAUSD,cohort_or_known_lifecycle_ineligible,2136
PF_TIAUSD,cohort_or_known_lifecycle_ineligible,8701
PF_TRBUSD,cohort_or_known_lifecycle_ineligible,146157
PF_TRUMPUSD,cohort_or_known_lifecycle_ineligible,11633
PF_TRUUSD,cohort_or_known_lifecycle_ineligible,112225
PF_TRXUSD,cohort_or_known_lifecycle_ineligible,2141
PF_TURBOUSD,cohort_or_known_lifecycle_ineligible,60890
PF_UMAUSD,cohort_or_known_lifecycle_ineligible,136960
PF_UNIUSD,cohort_or_known_lifecycle_ineligible,2162
PF_USUALUSD,cohort_or_known_lifecycle_ineligible,96606
PF_VETUSD,cohort_or_known_lifecycle_ineligible,57944
PF_VINEUSD,cohort_or_known_lifecycle_ineligible,74062
PF_VIRTUALUSD,cohort_or_known_lifecycle_ineligible,23372
PF_WIFUSD,cohort_or_known_lifecycle_ineligible,30359
PF_WLDUSD,cohort_or_known_lifecycle_ineligible,43027
PF_WOOUSD,cohort_or_known_lifecycle_ineligible,183575
PF_WUSD,cohort_or_known_lifecycle_ineligible,28340
PF_XBTUSD,cohort_or_known_lifecycle_ineligible,0
PF_XLMUSD,cohort_or_known_lifecycle_ineligible,2137
PF_XMRUSD,cohort_or_known_lifecycle_ineligible,2159
PF_XRPUSD,cohort_or_known_lifecycle_ineligible,2164
PF_XTZUSD,cohort_or_known_lifecycle_ineligible,24046
PF_YFIUSD,cohort_or_known_lifecycle_ineligible,65524
PF_YGGUSD,cohort_or_known_lifecycle_ineligible,113841
PF_ZECUSD,cohort_or_known_lifecycle_ineligible,2160
PF_ZENUSD,cohort_or_known_lifecycle_ineligible,90539
PF_ZEREBROUSD,cohort_or_known_lifecycle_ineligible,94500
PF_ZETAUSD,cohort_or_known_lifecycle_ineligible,168542
PF_ZKUSD,cohort_or_known_lifecycle_ineligible,73747
PF_ZROUSD,cohort_or_known_lifecycle_ineligible,121964
PF_ZRXUSD,cohort_or_known_lifecycle_ineligible,177200
