cluster_type,attempt,year,cluster_count,total_events,largest_cluster_event_share,events_per_cluster_min,events_per_cluster_median,events_per_cluster_p90,events_per_cluster_p99,events_per_cluster_max,symbols_per_cluster_min,symbols_per_cluster_median,symbols_per_cluster_p90,symbols_per_cluster_p99,symbols_per_cluster_max
market_day_primary,primary,2023,240,4905,0.009174311926605505,4,20.0,31.0,35.0,45,2,9.0,11.0,13.0,13
market_day_primary,primary,2024,356,14179,0.010508498483673037,1,27.5,90.5,125.79999999999995,149,1,13.5,34.0,39.44999999999999,41
market_day_primary,primary,2025,364,33147,0.006214740398829456,7,92.0,132.7,173.85000000000002,206,5,41.0,50.0,57.0,63
market_day_primary,robustness,2023,240,4618,0.009527934170636639,3,18.0,30.0,37.0,44,2,8.0,11.0,12.609999999999985,13
market_day_primary,robustness,2024,364,14268,0.010232688533781889,1,31.0,87.69999999999999,126.74000000000001,146,1,15.5,34.0,39.370000000000005,40
market_day_primary,robustness,2025,364,31019,0.00673780586092395,9,86.0,123.69999999999999,163.37,209,7,40.0,49.0,57.0,62
market_6h_sensitivity,primary,2023,940,4905,0.0032619775739041795,1,5.0,9.0,13.0,16,1,4.0,7.0,9.0,10
market_6h_sensitivity,primary,2024,1307,14179,0.0033852881021228577,1,8.0,24.0,41.0,48,1,7.0,18.0,29.0,35
market_6h_sensitivity,primary,2025,1452,33147,0.0019911304190424473,1,22.0,36.0,51.49000000000001,66,1,18.0,28.0,37.0,45
market_6h_sensitivity,robustness,2023,940,4618,0.0034647033347769596,1,4.0,9.0,13.0,16,1,4.0,7.0,9.0,10
market_6h_sensitivity,robustness,2024,1347,14268,0.0034342584805158397,1,8.0,23.0,39.0,49,1,7.0,18.0,28.539999999999964,35
market_6h_sensitivity,robustness,2025,1454,31019,0.002192204777716883,1,21.0,34.0,50.0,68,1,17.0,26.0,35.0,45
