definition_id,clusters,resamples,seed,lower_bps,upper_bps
kda01_v2_primary_negative_completed_failure_timeout_1h,867,10000,20260719,-14.548791968188171,-6.382288930363773
kda01_v2_primary_negative_completed_failure_timeout_6h,865,10000,20260719,-14.183537415841089,7.266736347561456
kda01_v2_primary_negative_efficient_continuation_timeout_1h,813,10000,20260719,-39.54179687904389,-25.489025857425396
kda01_v2_primary_negative_efficient_continuation_timeout_6h,812,10000,20260719,-69.43857993650825,-43.671625067372375
kda01_v2_primary_positive_completed_failure_timeout_1h,877,10000,20260719,-15.781374893249636,-9.207452446647904
kda01_v2_primary_positive_completed_failure_timeout_6h,877,10000,20260719,-19.391983918599927,-0.3673617238848819
kda01_v2_primary_positive_efficient_continuation_timeout_1h,831,10000,20260719,-24.103226018697725,-15.613314634129921
kda01_v2_primary_positive_efficient_continuation_timeout_6h,831,10000,20260719,-48.79945027969375,-27.217900639328292
kda01_v2_robustness_negative_completed_failure_timeout_1h,884,10000,20260719,-16.353221382222973,-8.183501535774967
kda01_v2_robustness_negative_completed_failure_timeout_6h,881,10000,20260719,-17.01015344601617,5.366545617638313
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,825,10000,20260719,-35.86076201716012,-25.711775877745747
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,824,10000,20260719,-72.30113334154693,-47.629057353126754
kda01_v2_robustness_positive_completed_failure_timeout_1h,858,10000,20260719,-16.98789299586942,-9.852513124576296
kda01_v2_robustness_positive_completed_failure_timeout_6h,858,10000,20260719,-21.8636960374421,-2.053219932347097
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,807,10000,20260719,-24.235154551230544,-15.467372075349765
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,807,10000,20260719,-46.45761896276806,-24.776145476663267
