definition_id,cluster,clusters,base_mean_bps,base_median_bps,bootstrap_lower_bps,bootstrap_upper_bps
kda01_v2_primary_negative_completed_failure_timeout_1h,market_6h_cluster_id,2726,-13.48307537337468,-18.09414560307284,-16.922157551106437,-9.977071606628297
kda01_v2_primary_negative_completed_failure_timeout_1h,parent_episode_id,13990,-11.279664992533103,-18.397991743460558,-13.421432681166383,-9.099841045100973
kda01_v2_primary_negative_completed_failure_timeout_6h,market_6h_cluster_id,2657,-23.561328658494016,-23.144447153256092,-32.20428430476371,-14.687078677866358
kda01_v2_primary_negative_completed_failure_timeout_6h,parent_episode_id,11847,-3.844812249622819,-16.05023065094845,-9.105665178417759,1.4803085188328333
kda01_v2_primary_negative_efficient_continuation_timeout_1h,market_6h_cluster_id,2202,-32.270763240083724,-26.02141816110766,-36.55743917641844,-27.925360005433742
kda01_v2_primary_negative_efficient_continuation_timeout_1h,parent_episode_id,7455,-20.58303757232642,-21.09219858156196,-24.045701770585193,-17.08830684837256
kda01_v2_primary_negative_efficient_continuation_timeout_6h,market_6h_cluster_id,2163,-54.84093477938374,-40.83763232443681,-64.9698920950355,-44.813466660346755
kda01_v2_primary_negative_efficient_continuation_timeout_6h,parent_episode_id,6762,-21.444852099415108,-22.778222457146434,-28.865068451515096,-14.208834992610042
kda01_v2_primary_positive_completed_failure_timeout_1h,market_6h_cluster_id,3047,-17.505115793654102,-19.505504259786242,-20.30856010161271,-14.632658920379006
kda01_v2_primary_positive_completed_failure_timeout_1h,parent_episode_id,20537,-13.904824989889772,-16.7178133250505,-15.706898729452494,-12.11561753349913
kda01_v2_primary_positive_completed_failure_timeout_6h,market_6h_cluster_id,2987,-31.600972395705668,-28.965247681949513,-39.879683689366,-23.45859361126186
kda01_v2_primary_positive_completed_failure_timeout_6h,parent_episode_id,16650,-16.08860939601939,-14.0,-20.597210542135418,-11.651508648783787
kda01_v2_primary_positive_efficient_continuation_timeout_1h,market_6h_cluster_id,2496,-25.276871723332235,-23.031384691337298,-28.98663863288857,-21.35141317918694
kda01_v2_primary_positive_efficient_continuation_timeout_1h,parent_episode_id,8729,-13.577480532764389,-19.46114783398277,-16.651267337379803,-10.506066540293586
kda01_v2_primary_positive_efficient_continuation_timeout_6h,market_6h_cluster_id,2451,-39.53241037582958,-35.99281867145464,-49.205247276625805,-30.095178308941797
kda01_v2_primary_positive_efficient_continuation_timeout_6h,parent_episode_id,7810,-12.189270894286931,-22.553948832036305,-18.929747513848216,-5.35624409275746
kda01_v2_robustness_negative_completed_failure_timeout_1h,market_6h_cluster_id,2808,-15.039751554211229,-18.310795874167297,-18.380605705469346,-11.665978065123095
kda01_v2_robustness_negative_completed_failure_timeout_1h,parent_episode_id,13575,-10.61670735348405,-17.77738604885325,-12.81210260382243,-8.41455053385328
kda01_v2_robustness_negative_completed_failure_timeout_6h,market_6h_cluster_id,2730,-26.890449905720832,-24.58056903604304,-35.57402000959883,-18.10984244285453
kda01_v2_robustness_negative_completed_failure_timeout_6h,parent_episode_id,11533,-4.459381936451737,-16.976190476190467,-9.774908987120195,1.0136539527769513
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,market_6h_cluster_id,2207,-32.46278898966673,-26.882871111978833,-36.60776135141029,-28.321163109482086
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,parent_episode_id,6839,-22.176287827570995,-21.37136960047069,-25.971676479914013,-18.418832541688356
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,market_6h_cluster_id,2173,-53.49598872560784,-37.13664596273246,-63.85460464525788,-43.02620043124587
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,parent_episode_id,6271,-21.916051476705714,-26.963589223311534,-29.931450621458275,-14.055369537286026
kda01_v2_robustness_positive_completed_failure_timeout_1h,market_6h_cluster_id,2932,-17.534059324229535,-19.70562984052589,-20.605193706515465,-14.360861079800836
kda01_v2_robustness_positive_completed_failure_timeout_1h,parent_episode_id,19831,-13.64330628452507,-17.07692307692342,-15.458591594397927,-11.825233190189744
kda01_v2_robustness_positive_completed_failure_timeout_6h,market_6h_cluster_id,2870,-31.704098472386168,-27.956624242637737,-39.90145031238868,-23.511038936816103
kda01_v2_robustness_positive_completed_failure_timeout_6h,parent_episode_id,16134,-18.138664219607072,-15.036643691494366,-22.69767316319379,-13.640964665615178
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,market_6h_cluster_id,2379,-25.00786190769538,-21.17658168083002,-28.62692399779685,-21.367469045524917
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,parent_episode_id,8304,-10.126301473855275,-17.90339152633978,-13.303106710202067,-6.898315351568855
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,market_6h_cluster_id,2342,-36.82517096964695,-34.576599942511706,-46.251299010527646,-27.6087485507279
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,parent_episode_id,7477,-6.4229183658314755,-21.502537623019776,-13.473601787078739,0.6132133021321697
