definition_id,market_day_positive_share,symbol_positive_share,year_positive_share
kda01_v2_primary_negative_completed_failure_timeout_1h,0.06579050792900158,0.2877812781935486,
kda01_v2_primary_negative_completed_failure_timeout_6h,0.03507606939331123,0.12483768640163438,1.0
kda01_v2_primary_negative_efficient_continuation_timeout_1h,0.11459353304547128,0.37162162695960976,
kda01_v2_primary_negative_efficient_continuation_timeout_6h,0.08626697063931692,0.1970053034385413,
kda01_v2_primary_positive_completed_failure_timeout_1h,0.04406040517471906,0.2400777696647629,
kda01_v2_primary_positive_completed_failure_timeout_6h,0.030202318750226612,0.11405705976592331,
kda01_v2_primary_positive_efficient_continuation_timeout_1h,0.05427427435628878,0.2197231786927512,
kda01_v2_primary_positive_efficient_continuation_timeout_6h,0.03472221676141002,0.10403525853453369,1.0
kda01_v2_robustness_negative_completed_failure_timeout_1h,0.07077795081158214,0.24816541548075424,
kda01_v2_robustness_negative_completed_failure_timeout_6h,0.03741027665300568,0.0941254007725397,1.0
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,0.11554208770032334,0.2860684364970571,
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,0.10660909119624871,0.1016441610036389,
kda01_v2_robustness_positive_completed_failure_timeout_1h,0.053011351312196725,0.19079977392135075,
kda01_v2_robustness_positive_completed_failure_timeout_6h,0.033444958009208485,0.09590626007089462,
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,0.05397499833353487,0.1595616906397327,
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,0.03344292207513431,0.1367673794511298,1.0
