definition_id,metrics_checked,maximum_absolute_difference,pass,gate_mismatches
kda01_v2_primary_negative_completed_failure_timeout_1h,10,3.552713678800501e-15,True,0
kda01_v2_primary_negative_completed_failure_timeout_6h,10,3.552713678800501e-15,True,0
kda01_v2_primary_negative_efficient_continuation_timeout_1h,10,7.105427357601002e-15,True,0
kda01_v2_primary_negative_efficient_continuation_timeout_6h,10,3.552713678800501e-15,True,0
kda01_v2_primary_positive_completed_failure_timeout_1h,10,1.3877787807814457e-17,True,0
kda01_v2_primary_positive_completed_failure_timeout_6h,10,3.552713678800501e-15,True,0
kda01_v2_primary_positive_efficient_continuation_timeout_1h,10,3.552713678800501e-15,True,0
kda01_v2_primary_positive_efficient_continuation_timeout_6h,10,3.552713678800501e-15,True,0
kda01_v2_robustness_negative_completed_failure_timeout_1h,10,1.7763568394002505e-15,True,0
kda01_v2_robustness_negative_completed_failure_timeout_6h,10,2.220446049250313e-16,True,0
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,10,0.0,True,0
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,10,0.0,True,0
kda01_v2_robustness_positive_completed_failure_timeout_1h,10,3.552713678800501e-15,True,0
kda01_v2_robustness_positive_completed_failure_timeout_6h,10,0.0,True,0
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,10,4.440892098500626e-16,True,0
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,10,3.552713678800501e-15,True,0
