dimension,value,paired_trades,entry_shift_mean_minutes,exit_shift_mean_minutes,gross_delta_mean_bps,gross_delta_median_bps,gross_delta_q01_bps,gross_delta_q99_bps
branch,primary_negative_completed_failure,25837,-5.0,-5.0,1.3952561754078407,0.0,-151.3562481080833,160.47489667348674
branch,primary_negative_efficient_continuation,14217,-5.0,-5.0,-1.5056495104063943,0.0,-188.1520839562588,188.62675605276024
branch,primary_positive_completed_failure,37187,-5.0,-5.0,1.581434451272442,0.0,-156.29038421873383,170.22214747468036
branch,primary_positive_efficient_continuation,16539,-5.0,-5.0,0.9892780860606809,0.0,-160.7788987231203,170.96911242776815
branch,robustness_negative_completed_failure,25108,-5.0,-5.0,1.608097879848221,0.0,-155.01481792526832,161.75386261035425
branch,robustness_negative_efficient_continuation,13110,-5.0,-5.0,-0.9999054608479679,0.0,-193.59642843762495,197.12005346743447
branch,robustness_positive_completed_failure,35965,-5.0,-5.0,1.7600479725546072,0.0,-154.91327983742096,173.32940373504888
branch,robustness_positive_efficient_continuation,15781,-5.0,-5.0,2.255081855442887,0.0,-152.26316339300072,171.44744019247224
timeout,1,99260,-5.0,-5.0,1.0517917638834182,0.0,-160.79413390112094,170.59384190319508
timeout,6,84484,-5.0,-5.0,1.3205810627515908,0.0,-159.50069348127698,172.37110824087068
year,2023,16955,-5.0,-5.0,-0.4687353329503447,0.0,-120.80436701170383,126.31146963261943
year,2024,50560,-5.0,-5.0,1.6520107706951104,0.0,-171.32001367655283,183.54328484111005
year,2025,116229,-5.0,-5.0,1.2078789630161302,0.0,-160.3965935239021,170.13463931945938
symbol,PF_1INCHUSD,90,-5.0,-5.0,6.440899682858511,0.0,-108.24074007957933,161.74800426303557
symbol,PF_AAVEUSD,3916,-5.0,-5.0,0.3295025532053015,0.0,-132.92141763649394,161.63485261654455
symbol,PF_ADAUSD,4525,-5.0,-5.0,-2.205865396584324,0.0,-150.62208119751898,123.67367629126824
symbol,PF_AIXBTUSD,30,-5.0,-5.0,16.884709618396755,0.0,-255.9777827487402,214.38357041342783
symbol,PF_ALCHUSD,214,-5.0,-5.0,17.191864719823982,0.0,-177.6336297923087,382.9933221117442
symbol,PF_ALGOUSD,2599,-5.0,-5.0,3.1528615249394165,0.0,-113.31080709302776,136.16773237157224
symbol,PF_APEUSD,1126,-5.0,-5.0,-3.992582305184844,0.0,-135.52963979317155,143.3236391505588
symbol,PF_APTUSD,2469,-5.0,-5.0,1.374227286570532,0.0,-157.70987005963923,147.7536349327935
symbol,PF_ARBUSD,3340,-5.0,-5.0,-0.13828878284778465,-0.07481600639901842,-148.25074837696573,159.53894881077625
symbol,PF_ATOMUSD,4546,-5.0,-5.0,0.8089673868966408,0.0,-114.86348707726876,124.78625187153071
symbol,PF_AVAXUSD,4477,-5.0,-5.0,1.0788573868603057,0.0,-127.718252624293,132.39531354712744
symbol,PF_AXSUSD,83,-5.0,-5.0,4.926713064969439,0.0,-147.51952446444005,105.28619060543764
symbol,PF_BCHUSD,4471,-5.0,-5.0,4.482677222095641,0.0,-143.07535886935017,203.86395074499575
