definition_id,metrics_checked,maximum_absolute_difference,pass
kda01_v2_primary_negative_completed_failure_timeout_1h,10,2.220446049250313e-16,True
kda01_v2_primary_negative_completed_failure_timeout_6h,10,1.7763568394002505e-15,True
kda01_v2_primary_negative_efficient_continuation_timeout_1h,10,1.7763568394002505e-15,True
kda01_v2_primary_negative_efficient_continuation_timeout_6h,10,3.552713678800501e-15,True
kda01_v2_primary_positive_completed_failure_timeout_1h,10,3.552713678800501e-15,True
kda01_v2_primary_positive_completed_failure_timeout_6h,10,1.7763568394002505e-15,True
kda01_v2_primary_positive_efficient_continuation_timeout_1h,10,7.105427357601002e-15,True
kda01_v2_primary_positive_efficient_continuation_timeout_6h,10,0.0,True
kda01_v2_robustness_negative_completed_failure_timeout_1h,10,1.7763568394002505e-15,True
kda01_v2_robustness_negative_completed_failure_timeout_6h,10,0.0,True
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,10,7.105427357601002e-15,True
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,10,0.0,True
kda01_v2_robustness_positive_completed_failure_timeout_1h,10,0.0,True
kda01_v2_robustness_positive_completed_failure_timeout_6h,10,3.552713678800501e-15,True
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,10,3.552713678800501e-15,True
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,10,3.552713678800501e-15,True
