definition_id,trade_gross_mean_bps,trade_gross_median_bps,equal_day_gross_mean_bps,equal_day_gross_median_bps,equal_day_base_mean_bps,equal_day_base_median_bps,equal_day_stress_mean_bps,equal_day_stress_median_bps,bootstrap_lower_bps,bootstrap_upper_bps,trade_count,market_day_count,six_hour_base_mean_bps,six_hour_base_median_bps,parent_episode_base_mean_bps,parent_episode_base_median_bps,branch_id,timeout_hours,attempt,branch_side
kda01_v2_primary_negative_completed_failure_timeout_1h,1.5251072165854251,-5.084544200698038,1.9926623780192785,-2.4775237329813207,-12.00733762198072,-16.47752373298132,-30.00733762198072,-34.477523732981325,-15.876599654572106,-8.192520554837339,13990,867,-15.05543432997341,-18.547895683419583,-12.474892783414576,-19.08454420069804,primary_negative_completed_failure,1,primary,1
kda01_v2_primary_negative_completed_failure_timeout_6h,8.523720120632891,-3.04321363359672,9.452414652326675,2.480504177153383,-4.547585347673324,-11.519495822846622,-22.547585347673323,-29.51949582284662,-15.293961283515928,6.380928873048048,11847,865,-24.846536806019163,-24.54312152801745,-5.476279879367108,-17.04321363359672,primary_negative_completed_failure,6,primary,1
kda01_v2_primary_negative_efficient_continuation_timeout_1h,-5.034730470012288,-6.493506493505663,-14.701266029814038,-12.0243103020821,-28.70126602981404,-26.0243103020821,-46.70126602981403,-44.02431030208211,-34.8937660872227,-22.89748936404485,7455,813,-29.6746719228422,-26.441330609065105,-19.03473047001229,-20.493506493505663,primary_negative_efficient_continuation,1,primary,-1
kda01_v2_primary_negative_efficient_continuation_timeout_6h,-5.986231921702028,-9.009555794926571,-38.67544153416888,-25.53558263955157,-52.67544153416889,-39.53558263955158,-70.67544153416887,-57.53558263955158,-64.89100508958923,-40.67674854495346,6762,812,-52.13286663757037,-38.31019812811464,-19.98623192170203,-23.00955579492657,primary_negative_efficient_continuation,6,primary,-1
kda01_v2_primary_positive_completed_failure_timeout_1h,-1.2862937010252704,-3.216468317785992,0.0168644749154474,-2.5394579091063867,-13.98313552508455,-16.53945790910639,-31.983135525084556,-34.53945790910639,-17.134795457332878,-10.881552041363864,20537,877,-18.3302897504039,-20.189332978787235,-15.286293701025269,-17.216468317785992,primary_positive_completed_failure,1,primary,-1
kda01_v2_primary_positive_completed_failure_timeout_6h,-3.916692280036124,-2.4127226127157453,2.6509038366810413,-4.273981283268725,-11.34909616331896,-18.273981283268725,-29.349096163318965,-36.273981283268725,-20.775491570397325,-1.8605170689989872,16650,877,-32.52973028261089,-28.36627646871136,-17.916692280036127,-16.412722612715747,primary_positive_completed_failure,6,primary,-1
kda01_v2_primary_positive_efficient_continuation_timeout_1h,-0.7200877377039702,-6.087947425110762,-6.218650282121371,-8.127316627805824,-20.218650282121374,-22.127316627805826,-38.218650282121374,-40.12731662780583,-24.06588324671064,-16.325791451627353,8729,831,-25.218478075926644,-23.048298402783985,-14.72008773770397,-20.08794742511076,primary_positive_efficient_continuation,1,primary,1
kda01_v2_primary_positive_efficient_continuation_timeout_6h,0.9928223229422626,-8.251510450596466,-23.92844612907092,-18.54234624619866,-37.92844612907092,-32.54234624619866,-55.92844612907092,-50.54234624619866,-48.549015144823386,-27.208311927812527,7810,831,-38.08002233636988,-33.46883311022995,-13.007177677057738,-22.251510450596463,primary_positive_efficient_continuation,6,primary,1
kda01_v2_robustness_negative_completed_failure_timeout_1h,1.721363824062439,-4.196391103650221,-0.1875050458878943,-1.598690073021011,-14.187505045887894,-15.598690073021013,-32.187505045887896,-33.598690073021004,-18.17511903218588,-10.239940424229712,13575,884,-16.582417016478967,-17.786261039419777,-12.278636175937562,-18.19639110365022,robustness_negative_completed_failure,1,robustness,1
kda01_v2_robustness_negative_completed_failure_timeout_6h,7.9958822790669695,-3.820585313669689,7.227015577883053,-1.1417217862985651,-6.772984422116946,-15.141721786298564,-24.772984422116945,-33.14172178629856,-17.80837951500367,4.550993493694171,11533,881,-27.90562838029297,-27.68342793562457,-6.004117720933031,-17.82058531366969,robustness_negative_completed_failure,6,robustness,1
