definition_id,clusters,resamples,seed,lower_bps,upper_bps
kda01_v2_primary_negative_completed_failure_timeout_1h,867,10000,20260719,-15.876599654572106,-8.192520554837339
kda01_v2_primary_negative_completed_failure_timeout_6h,865,10000,20260719,-15.293961283515927,6.380928873048048
kda01_v2_primary_negative_efficient_continuation_timeout_1h,813,10000,20260719,-34.8937660872227,-22.89748936404485
kda01_v2_primary_negative_efficient_continuation_timeout_6h,812,10000,20260719,-64.89100508958923,-40.67674854495346
kda01_v2_primary_positive_completed_failure_timeout_1h,877,10000,20260719,-17.134795457332878,-10.881552041363863
kda01_v2_primary_positive_completed_failure_timeout_6h,877,10000,20260719,-20.775491570397325,-1.8605170689989872
kda01_v2_primary_positive_efficient_continuation_timeout_1h,831,10000,20260719,-24.065883246710637,-16.325791451627353
kda01_v2_primary_positive_efficient_continuation_timeout_6h,831,10000,20260719,-48.549015144823386,-27.208311927812527
kda01_v2_robustness_negative_completed_failure_timeout_1h,884,10000,20260719,-18.17511903218588,-10.239940424229712
kda01_v2_robustness_negative_completed_failure_timeout_6h,881,10000,20260719,-17.80837951500367,4.550993493694171
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,825,10000,20260719,-32.923368216093195,-23.15862883245502
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,824,10000,20260719,-69.7818059553363,-45.51466008487341
kda01_v2_robustness_positive_completed_failure_timeout_1h,858,10000,20260719,-18.269266067018297,-11.329013824224926
kda01_v2_robustness_positive_completed_failure_timeout_6h,858,10000,20260719,-23.802919865704233,-4.282400460631298
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,807,10000,20260719,-24.911486279665112,-16.78430631407686
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,807,10000,20260719,-47.4347527395803,-25.888730233600043
