definition_id,cluster,clusters,base_mean_bps,base_median_bps,bootstrap_lower_bps,bootstrap_upper_bps
kda01_v2_primary_negative_completed_failure_timeout_1h,market_6h_cluster_id,2726,-15.05543432997341,-18.547895683419586,-18.225763601013746,-11.810046977656407
kda01_v2_primary_negative_completed_failure_timeout_1h,parent_episode_id,13990,-12.474892783414576,-19.084544200698037,-14.624909599613016,-10.365709540893443
kda01_v2_primary_negative_completed_failure_timeout_6h,market_6h_cluster_id,2657,-24.846536806019163,-24.54312152801745,-33.50855041037183,-15.888953437745462
kda01_v2_primary_negative_completed_failure_timeout_6h,parent_episode_id,11847,-5.476279879367108,-17.04321363359672,-10.71063326694198,-0.18081938274752313
kda01_v2_primary_negative_efficient_continuation_timeout_1h,market_6h_cluster_id,2202,-29.674671922842197,-26.441330609065105,-33.57000421474101,-25.666557123132193
kda01_v2_primary_negative_efficient_continuation_timeout_1h,parent_episode_id,7455,-19.03473047001229,-20.493506493505663,-22.352411162180932,-15.778955832940978
kda01_v2_primary_negative_efficient_continuation_timeout_6h,market_6h_cluster_id,2163,-52.13286663757037,-38.310198128114635,-62.0391859895495,-42.25204751935966
kda01_v2_primary_negative_efficient_continuation_timeout_6h,parent_episode_id,6762,-19.98623192170203,-23.00955579492657,-27.340685713904154,-12.856656931360618
kda01_v2_primary_positive_completed_failure_timeout_1h,market_6h_cluster_id,3047,-18.3302897504039,-20.189332978787235,-21.027482343954862,-15.472051734526527
kda01_v2_primary_positive_completed_failure_timeout_1h,parent_episode_id,20537,-15.286293701025267,-17.216468317785992,-17.030514568579694,-13.523987143132844
kda01_v2_primary_positive_completed_failure_timeout_6h,market_6h_cluster_id,2987,-32.52973028261089,-28.36627646871136,-40.424627494109956,-24.63631793797067
kda01_v2_primary_positive_completed_failure_timeout_6h,parent_episode_id,16650,-17.916692280036127,-16.412722612715747,-22.38837546924224,-13.459422504392911
kda01_v2_primary_positive_efficient_continuation_timeout_1h,market_6h_cluster_id,2496,-25.218478075926644,-23.048298402783985,-28.832066513893256,-21.393590901877946
kda01_v2_primary_positive_efficient_continuation_timeout_1h,parent_episode_id,8729,-14.72008773770397,-20.087947425110762,-17.67748853930512,-11.809798871169315
kda01_v2_primary_positive_efficient_continuation_timeout_6h,market_6h_cluster_id,2451,-38.08002233636988,-33.46883311022995,-47.6429209989716,-28.658277183294405
kda01_v2_primary_positive_efficient_continuation_timeout_6h,parent_episode_id,7810,-13.007177677057738,-22.251510450596466,-19.664107525861272,-6.331871352608807
kda01_v2_robustness_negative_completed_failure_timeout_1h,market_6h_cluster_id,2808,-16.582417016478967,-17.786261039419777,-19.82672347647704,-13.357049080695699
kda01_v2_robustness_negative_completed_failure_timeout_1h,parent_episode_id,13575,-12.278636175937562,-18.19639110365022,-14.463865391497926,-10.129038364776996
kda01_v2_robustness_negative_completed_failure_timeout_6h,market_6h_cluster_id,2730,-27.905628380292974,-27.68342793562457,-36.744101336240824,-19.176544046254808
kda01_v2_robustness_negative_completed_failure_timeout_6h,parent_episode_id,11533,-6.0041177209330305,-17.82058531366969,-11.366408643422654,-0.4925744124699254
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,market_6h_cluster_id,2207,-29.6082284118669,-27.6612021857907,-33.57569027892486,-25.54603481625001
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,parent_episode_id,6839,-20.93275636774963,-23.105206522639353,-24.604584061253906,-17.261348254494848
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,market_6h_cluster_id,2173,-51.359481537880626,-36.366193821696434,-61.729684115428576,-41.00256462271204
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,parent_episode_id,6271,-21.181838601885342,-25.057869517139274,-28.993760010286014,-13.432756452215369
kda01_v2_robustness_positive_completed_failure_timeout_1h,market_6h_cluster_id,2932,-18.25059270393224,-20.305164501004768,-21.413962800849173,-14.973977676651318
kda01_v2_robustness_positive_completed_failure_timeout_1h,parent_episode_id,19831,-15.158951090724097,-17.13610704578693,-16.90722224349016,-13.376947007853888
kda01_v2_robustness_positive_completed_failure_timeout_6h,market_6h_cluster_id,2870,-33.24646346031221,-29.574374316414477,-41.18868340338503,-25.319655385998892
kda01_v2_robustness_positive_completed_failure_timeout_6h,parent_episode_id,16134,-20.199118736849762,-17.434535663437988,-24.746690661502754,-15.714926546067556
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,market_6h_cluster_id,2379,-25.661525499708162,-20.798717430238632,-29.19449944036992,-22.08823159882726
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,parent_episode_id,8304,-12.145121038048426,-18.713515667444934,-15.236688948710475,-9.001984407268358
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,market_6h_cluster_id,2342,-37.0490103646245,-34.3619160402077,-46.47577138157216,-27.761964168649346
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,parent_episode_id,7477,-8.940394505952415,-21.218045112782345,-15.796612309638439,-2.0225689807738374
