definition_id,market_day_positive_share,symbol_positive_share,year_positive_share
kda01_v2_primary_negative_completed_failure_timeout_1h,0.06655679170850295,0.31879771243104515,
kda01_v2_primary_negative_completed_failure_timeout_6h,0.03513063462131856,0.15153953638713447,1.0
kda01_v2_primary_negative_efficient_continuation_timeout_1h,0.09628978122915094,0.27705707892633746,
kda01_v2_primary_negative_efficient_continuation_timeout_6h,0.07949465539904631,0.19361219165939905,
kda01_v2_primary_positive_completed_failure_timeout_1h,0.05162733930915506,0.3185739859982833,
kda01_v2_primary_positive_completed_failure_timeout_6h,0.03097695841104866,0.16525817458811398,
kda01_v2_primary_positive_efficient_continuation_timeout_1h,0.050721870547768694,0.2801053052085102,
kda01_v2_primary_positive_efficient_continuation_timeout_6h,0.037855953299133806,0.09501249097022506,1.0
kda01_v2_robustness_negative_completed_failure_timeout_1h,0.0771049570689805,0.301596228041712,
kda01_v2_robustness_negative_completed_failure_timeout_6h,0.037441860274928795,0.10913964578712643,1.0
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,0.0919717375691212,0.32879808961251805,
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,0.09777478069349999,0.11324730085510176,
kda01_v2_robustness_positive_completed_failure_timeout_1h,0.04908709424503183,0.32348457106360684,
kda01_v2_robustness_positive_completed_failure_timeout_6h,0.033860159358186516,0.10479776365001028,
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,0.05184348621532596,0.20053207358521513,
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,0.03808980575891667,0.15317062050773275,1.0
