definition_id,attempt,all_gates_pass,decision
kda01_v2_primary_negative_completed_failure_timeout_1h,primary,False,no_primary_pass
kda01_v2_primary_negative_completed_failure_timeout_6h,primary,False,no_primary_pass
kda01_v2_primary_negative_efficient_continuation_timeout_1h,primary,False,no_primary_pass
kda01_v2_primary_negative_efficient_continuation_timeout_6h,primary,False,no_primary_pass
kda01_v2_primary_positive_completed_failure_timeout_1h,primary,False,no_primary_pass
kda01_v2_primary_positive_completed_failure_timeout_6h,primary,False,no_primary_pass
kda01_v2_primary_positive_efficient_continuation_timeout_1h,primary,False,no_primary_pass
kda01_v2_primary_positive_efficient_continuation_timeout_6h,primary,False,no_primary_pass
kda01_v2_robustness_negative_completed_failure_timeout_1h,robustness,False,robustness_diagnostic_only
kda01_v2_robustness_negative_completed_failure_timeout_6h,robustness,False,robustness_diagnostic_only
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,robustness,False,robustness_diagnostic_only
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,robustness,False,robustness_diagnostic_only
kda01_v2_robustness_positive_completed_failure_timeout_1h,robustness,False,robustness_diagnostic_only
kda01_v2_robustness_positive_completed_failure_timeout_6h,robustness,False,robustness_diagnostic_only
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,robustness,False,robustness_diagnostic_only
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,robustness,False,robustness_diagnostic_only
