definition_id,funding_partition,trades,exact_boundaries,imputed_boundaries,central_cashflow_bps,conservative_cashflow_bps,severe_cashflow_bps
kda01_v2_primary_negative_completed_failure_timeout_1h,fully_exact,737,737,0,0.2982917996736595,0.2982917996736595,0.2982917996736595
kda01_v2_primary_negative_completed_failure_timeout_1h,fully_imputed,13253,0,13253,-0.003908373287648881,-0.3994140995778949,-1.7028829066078834
kda01_v2_primary_negative_completed_failure_timeout_6h,fully_exact,583,3498,0,1.3740091466734297,1.3740091466734297,1.3740091466734297
kda01_v2_primary_negative_completed_failure_timeout_6h,fully_imputed,11200,0,67200,-0.023864870707035035,-2.395506668608098,-10.214852762098586
kda01_v2_primary_negative_completed_failure_timeout_6h,mixed,64,189,195,0.30167571840706864,-0.9139062966754796,-4.636823093192257
kda01_v2_primary_negative_efficient_continuation_timeout_1h,fully_exact,290,290,0,-0.2349282032414211,-0.2349282032414211,-0.2349282032414211
kda01_v2_primary_negative_efficient_continuation_timeout_1h,fully_imputed,7165,0,7165,-0.0018147497646437256,-0.3920126350076694,-1.6874070156020011
kda01_v2_primary_negative_efficient_continuation_timeout_6h,fully_exact,257,1542,0,-0.8910140833812848,-0.8910140833812848,-0.8910140833812848
kda01_v2_primary_negative_efficient_continuation_timeout_6h,fully_imputed,6478,0,38868,-0.0033661353411757796,-2.3474188655204746,-10.128766085184804
kda01_v2_primary_negative_efficient_continuation_timeout_6h,mixed,27,76,86,-0.13318603380342567,-1.3842066327089304,-5.467429136998977
kda01_v2_primary_positive_completed_failure_timeout_1h,fully_exact,2030,2030,0,0.2503553843865034,0.2503553843865034,0.2503553843865034
kda01_v2_primary_positive_completed_failure_timeout_1h,fully_imputed,18507,0,18507,0.020370450803593388,-0.3765795749378733,-1.6952350209181322
kda01_v2_primary_positive_completed_failure_timeout_6h,fully_exact,1500,9000,0,1.246302125351565,1.246302125351565,1.246302125351565
kda01_v2_primary_positive_completed_failure_timeout_6h,fully_imputed,15004,0,90024,0.12249953752329429,-2.257900763400297,-10.165192725283468
kda01_v2_primary_positive_completed_failure_timeout_6h,mixed,146,416,460,0.546031222816469,-0.6821477179826688,-4.757267904894771
kda01_v2_primary_positive_efficient_continuation_timeout_1h,fully_exact,605,605,0,-0.1965512138922713,-0.1965512138922713,-0.1965512138922713
kda01_v2_primary_positive_efficient_continuation_timeout_1h,fully_imputed,8124,0,8124,-0.012849878956167168,-0.4081173620876284,-1.7154696944415957
kda01_v2_primary_positive_efficient_continuation_timeout_6h,fully_exact,519,3114,0,-1.1688555061234325,-1.1688555061234325,-1.1688555061234325
kda01_v2_primary_positive_efficient_continuation_timeout_6h,fully_imputed,7246,0,43476,-0.08121334896945705,-2.4531720736620772,-10.298913702344127
kda01_v2_primary_positive_efficient_continuation_timeout_6h,mixed,45,141,129,-0.5535298565492747,-1.6976571387063437,-5.505152379926405
kda01_v2_robustness_negative_completed_failure_timeout_1h,fully_exact,699,699,0,0.2920620314192928,0.2920620314192928,0.2920620314192928
kda01_v2_robustness_negative_completed_failure_timeout_1h,fully_imputed,12876,0,12876,-0.006848983554224301,-0.4023418126906799,-1.708354582391865
kda01_v2_robustness_negative_completed_failure_timeout_6h,fully_exact,560,3360,0,1.342252147831361,1.342252147831361,1.342252147831361
kda01_v2_robustness_negative_completed_failure_timeout_6h,fully_imputed,10908,0,65448,-0.038104249241148254,-2.410364372263752,-10.245219629394034
kda01_v2_robustness_negative_completed_failure_timeout_6h,mixed,65,184,206,0.24630912645479922,-1.0185393423673998,-5.007258227379566
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,fully_exact,288,288,0,-0.24509371294121918,-0.24509371294121918,-0.24509371294121918
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,fully_imputed,6551,0,6551,0.0034737864043923243,-0.38816785486409794,-1.686890003915883
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,fully_exact,249,1494,0,-1.0087796481867704,-1.0087796481867704,-1.0087796481867704
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,fully_imputed,5991,0,35946,0.025537245761063358,-2.3278107236068495,-10.133038360597459
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,mixed,31,92,94,-0.04848507156603833,-1.2409008832301236,-5.140037180564225
kda01_v2_robustness_positive_completed_failure_timeout_1h,fully_exact,1865,1865,0,0.26340166475253585,0.26340166475253585,0.26340166475253585
kda01_v2_robustness_positive_completed_failure_timeout_1h,fully_imputed,17966,0,17966,0.020687503029603035,-0.3763701705251241,-1.695179637889119
kda01_v2_robustness_positive_completed_failure_timeout_6h,fully_exact,1395,8370,0,1.3374116725401337,1.3374116725401337,1.3374116725401337
kda01_v2_robustness_positive_completed_failure_timeout_6h,fully_imputed,14629,0,87774,0.12166064276391228,-2.2590010663809803,-10.165854713254129
