definition_id,calendar_year,calendar_month,symbol,trades,gross_bps,base_net_bps,stress_net_bps
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_ADAUSD,1,19.910403185663395,5.9104031856633945,-12.089596814336605
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_ATOMUSD,26,3.2989484635763513,-10.70105153642365,-28.701051536423652
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_BCHUSD,7,8.408002299036264,-5.591997700963735,-23.591997700963734
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_CRVUSD,38,-18.26316052952362,-32.26316052952362,-50.26316052952362
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_DOGEUSD,3,18.477277122119034,4.477277122119034,-13.522722877880966
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_ETHUSD,3,-6.5414453451421535,-20.541445345142154,-38.54144534514216
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_LTCUSD,10,12.624091716847198,-1.3759082831528027,-19.375908283152803
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_SOLUSD,10,-21.140322948091985,-35.140322948091985,-53.14032294809198
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_XBTUSD,3,-51.95749386245563,-65.95749386245562,-83.95749386245562
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-05,PF_XRPUSD,6,3.131900010058993,-10.868099989941006,-28.868099989941005
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_ATOMUSD,28,11.493795790435332,-2.506204209564667,-20.506204209564665
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_AVAXUSD,2,43.828524246279365,29.828524246279365,11.828524246279365
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_BCHUSD,38,84.56939501279719,70.56939501279719,52.569395012797195
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_CRVUSD,54,17.584572910165335,3.584572910165332,-14.415427089834667
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_DOGEUSD,11,3.683429919605251,-10.316570080394749,-28.31657008039475
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_LTCUSD,12,10.043796174259063,-3.9562038257409387,-21.95620382574094
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_SOLUSD,25,27.466911829501004,13.466911829501004,-4.533088170498994
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_XBTUSD,1,104.29364756873838,90.29364756873838,72.29364756873838
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-06,PF_XRPUSD,16,8.184204611674447,-5.815795388325553,-23.815795388325554
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_ADAUSD,19,-33.72995652981027,-47.72995652981027,-65.72995652981028
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_ATOMUSD,17,-9.340480456059286,-23.340480456059282,-41.34048045605929
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_AVAXUSD,7,0.5460619623810982,-13.4539380376189,-31.453938037618904
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_BCHUSD,19,-21.955546777798816,-35.955546777798816,-53.955546777798816
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_CRVUSD,16,-44.02020985650491,-58.02020985650491,-76.0202098565049
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_DOGEUSD,10,5.823421358850501,-8.1765786411495,-26.1765786411495
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_ETHUSD,10,-3.399580649240286,-17.399580649240285,-35.399580649240285
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_LINKUSD,14,-14.347769613939748,-28.347769613939754,-46.347769613939754
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_LTCUSD,6,-57.95305372715091,-71.9530537271509,-89.9530537271509
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_SOLUSD,13,-22.38622270695208,-36.386222706952076,-54.386222706952076
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_XBTUSD,2,-8.834802654476004,-22.834802654476,-40.834802654476
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-07,PF_XRPUSD,4,116.33163487091424,102.33163487091424,84.33163487091424
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_ADAUSD,39,-6.974118539510591,-20.97411853951059,-38.97411853951059
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_ATOMUSD,11,-2.01397628275676,-16.013976282756758,-34.013976282756765
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_AVAXUSD,17,-3.135280703704,-17.135280703704,-35.135280703704
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_BCHUSD,33,1.976757321260617,-12.023242678739383,-30.023242678739383
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_CRVUSD,24,22.573526906345027,8.573526906345029,-9.42647309365497
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_DOGEUSD,23,5.641127736864609,-8.35887226313539,-26.35887226313539
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_ETHUSD,5,-8.242878323490464,-22.242878323490466,-40.242878323490466
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_LINKUSD,13,-31.379529656761026,-45.37952965676103,-63.37952965676103
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_LTCUSD,23,-27.497347342994026,-41.49734734299403,-59.49734734299403
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_SOLUSD,20,27.118917947253628,13.118917947253626,-4.88108205274637
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_UNIUSD,12,7.329687885877604,-6.670312114122397,-24.670312114122396
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_XBTUSD,5,-4.120059663619502,-18.120059663619504,-36.1200596636195
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-08,PF_XRPUSD,20,3.3382138458533666,-10.661786154146634,-28.661786154146636
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_AAVEUSD,5,-22.66806690455758,-36.668066904557584,-54.66806690455758
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_ADAUSD,28,-16.471007509685737,-30.471007509685734,-48.47100750968574
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_ATOMUSD,1,-41.0496994575571,-55.0496994575571,-73.0496994575571
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_AVAXUSD,1,-10.741138560687036,-24.741138560687034,-42.741138560687034
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_BCHUSD,18,-17.850141826970223,-31.850141826970223,-49.85014182697022
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_CRVUSD,13,12.747296416246213,-1.2527035837537863,-19.252703583753785
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_DOGEUSD,13,-19.601973387408485,-33.601973387408485,-51.601973387408485
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_DOTUSD,4,-30.395347500047908,-44.395347500047905,-62.39534750004791
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_ETHUSD,11,8.039115095775223,-5.960884904224778,-23.960884904224773
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_LINKUSD,28,6.83904237709496,-7.1609576229050385,-25.16095762290504
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_LTCUSD,16,-5.441567884390196,-19.441567884390196,-37.441567884390196
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_SOLUSD,38,-8.017542551451326,-22.017542551451328,-40.01754255145133
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_UNIUSD,9,-16.847594151685215,-30.847594151685218,-48.84759415168522
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_XBTUSD,8,-19.25605573766753,-33.25605573766753,-51.25605573766752
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-09,PF_XRPUSD,6,-18.312147041307792,-32.31214704130779,-50.31214704130779
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_AAVEUSD,4,70.41946093210267,56.419460932102666,38.419460932102666
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_ADAUSD,15,-1.6865636149367242,-15.686563614936723,-33.68656361493672
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_ATOMUSD,9,-34.68271640420752,-48.68271640420752,-66.68271640420751
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_BCHUSD,6,-18.711159533416808,-32.711159533416804,-50.711159533416804
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_CRVUSD,13,-0.02862334684545905,-14.028623346845459,-32.02862334684546
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_DOGEUSD,13,6.132291437869198,-7.867708562130802,-25.8677085621308
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_ETHUSD,1,18.74470915467441,4.7447091546744105,-13.25529084532559
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_LINKUSD,12,-55.752606841898796,-69.7526068418988,-87.7526068418988
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_LTCUSD,26,-7.031750057275555,-21.031750057275556,-39.03175005727556
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_SOLUSD,8,-72.9804813073305,-86.9804813073305,-104.9804813073305
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_XBTUSD,11,6.757887280401539,-7.242112719598461,-25.24211271959846
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-10,PF_XRPUSD,6,-3.032297079297308,-17.032297079297308,-35.03229707929731
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-11,PF_ADAUSD,5,-16.900686663445136,-30.90068666344513,-48.900686663445136
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-11,PF_ATOMUSD,9,19.32429609881579,5.324296098815783,-12.675703901184217
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-11,PF_BCHUSD,12,21.60912921054368,7.609129210543681,-10.390870789456319
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-11,PF_CRVUSD,1,-296.66482402800784,-310.66482402800784,-328.66482402800784
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-11,PF_LINKUSD,6,-13.611763257690606,-27.61176325769061,-45.611763257690605
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-11,PF_LTCUSD,5,2.1167284898000474,-11.883271510199952,-29.88327151019995
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-11,PF_XBTUSD,6,-13.355251840800145,-27.355251840800147,-45.35525184080015
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-12,PF_ADAUSD,1,-130.93652907234855,-144.93652907234855,-162.93652907234855
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-12,PF_ATOMUSD,1,56.197646060864855,42.197646060864855,24.197646060864855
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-12,PF_AVAXUSD,2,74.14368907527114,60.14368907527114,42.14368907527114
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-12,PF_AXSUSD,2,22.645449023537825,8.645449023537825,-9.354550976462178
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-12,PF_BCHUSD,6,36.46810206173394,22.46810206173394,4.46810206173394
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-12,PF_DOTUSD,1,3.4666050381337854,-10.533394961866215,-28.533394961866215
kda01_v2_primary_negative_completed_failure_timeout_1h,2023,2023-12,PF_LTCUSD,2,9.554276904851777,-4.445723095148223,-22.445723095148225
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_AAVEUSD,9,17.02186319327466,3.02186319327466,-14.97813680672534
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_ADAUSD,1,-51.42282709557633,-65.42282709557634,-83.42282709557634
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_ATOMUSD,3,68.206071416211,54.20607141621101,36.20607141621101
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_AVAXUSD,12,39.97948096126617,25.979480961266166,7.9794809612661695
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_BCHUSD,15,21.393419960951192,7.393419960951194,-10.606580039048806
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_CRVUSD,1,-53.65249690466367,-67.65249690466368,-85.65249690466368
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_DOGEUSD,2,77.81036005874542,63.81036005874542,45.81036005874542
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_DOTUSD,13,-1.942943773414109,-15.942943773414111,-33.942943773414115
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_ETHUSD,4,8.496387269709139,-5.503612730290862,-23.50361273029086
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_IMXUSD,22,-7.610333627780568,-21.610333627780566,-39.61033362778057
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_LINKUSD,2,-13.074027255160487,-27.074027255160487,-45.07402725516049
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_LTCUSD,16,12.449423817447736,-1.5505761825522644,-19.550576182552266
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_RUNEUSD,4,0.4984426093457275,-13.501557390654273,-31.501557390654273
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_SOLUSD,5,53.61920561007172,39.61920561007172,21.619205610071713
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_UNIUSD,4,-28.72265204764468,-42.72265204764468,-60.72265204764468
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_XBTUSD,1,5.514072372199141,-8.485927627800859,-26.48592762780086
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-01,PF_XRPUSD,19,-8.0709128799111,-22.070912879911102,-40.0709128799111
kda01_v2_primary_negative_completed_failure_timeout_1h,2024,2024-02,PF_BCHUSD,1,38.66445038664512,24.66445038664512,6.664450386645122
