definition_id,cluster,clusters,base_mean_bps,base_median_bps,bootstrap_lower_bps,bootstrap_upper_bps
kda02_v2_primary_negative_completed_purge_reversal_timeout_1h,market_6h_cluster_id,1206,-9.24539370411712,-11.592834356835436,-16.398123624547726,-2.27099620161984
kda02_v2_primary_negative_completed_purge_reversal_timeout_1h,parent_episode_id,2812,-14.109588064498986,-11.936293849791767,-20.145279744697945,-8.097142600930052
kda02_v2_primary_negative_completed_purge_reversal_timeout_6h,market_6h_cluster_id,1189,-1.9016222636175448,0.34205808533484117,-19.60928216582096,16.548568516187707
kda02_v2_primary_negative_completed_purge_reversal_timeout_6h,parent_episode_id,2643,2.1340302385320262,-4.913049239913413,-11.65058302992349,16.392177449296554
kda02_v2_primary_positive_completed_purge_reversal_timeout_1h,market_6h_cluster_id,720,-16.919973670729846,-14.0,-27.694889364800908,-6.247780040235552
kda02_v2_primary_positive_completed_purge_reversal_timeout_1h,parent_episode_id,1017,-24.392571303217377,-18.209640075774068,-36.72642477496313,-12.62884247075749
kda02_v2_primary_positive_completed_purge_reversal_timeout_6h,market_6h_cluster_id,706,-42.033971975352024,-23.775619217032848,-67.44986789993209,-17.335929880426633
kda02_v2_primary_positive_completed_purge_reversal_timeout_6h,parent_episode_id,988,-51.46076637917834,-29.3337763793171,-77.13843384905441,-26.78743529147767
kda02_v2_robustness_negative_completed_purge_reversal_timeout_1h,market_6h_cluster_id,378,-10.653452327694826,-13.76850914099491,-23.257791578861767,2.0246670687918957
kda02_v2_robustness_negative_completed_purge_reversal_timeout_1h,parent_episode_id,617,-14.989488957152794,-12.385186780063272,-29.234437318244737,-1.3116677350611485
kda02_v2_robustness_negative_completed_purge_reversal_timeout_6h,market_6h_cluster_id,377,-0.6359312188729427,5.907500717472606,-35.63091942507061,33.32999865909432
kda02_v2_robustness_negative_completed_purge_reversal_timeout_6h,parent_episode_id,604,10.733561891831435,11.3820407542249,-19.700799798354282,40.189203873291895
kda02_v2_robustness_positive_completed_purge_reversal_timeout_1h,market_6h_cluster_id,135,-15.785197576080629,-16.02179494955601,-48.21650545607844,17.220767241695278
kda02_v2_robustness_positive_completed_purge_reversal_timeout_1h,parent_episode_id,159,-26.99344510170613,-22.432718949524798,-57.31969114510282,4.131491403441329
kda02_v2_robustness_positive_completed_purge_reversal_timeout_6h,market_6h_cluster_id,135,-56.49370993263556,-51.80552136451565,-131.61007596343748,18.39261251769853
kda02_v2_robustness_positive_completed_purge_reversal_timeout_6h,parent_episode_id,159,-67.17302974918675,-60.5663787283388,-142.90349308157644,11.75452478251254
