definition_id,funding_partition,trades,exact_boundaries,imputed_boundaries,central_cashflow_bps,conservative_cashflow_bps,severe_cashflow_bps
kda02_v2_primary_negative_completed_purge_reversal_timeout_1h,fully_exact,260,260,0,-0.024970736458333153,-0.024970736458333153,-0.024970736458333153
kda02_v2_primary_negative_completed_purge_reversal_timeout_1h,fully_imputed,2552,0,2552,-0.03172562722908797,-0.4294117863564813,-1.7479089297650359
kda02_v2_primary_negative_completed_purge_reversal_timeout_6h,fully_exact,231,1386,0,-0.18786840267819588,-0.18786840267819588,-0.18786840267819588
kda02_v2_primary_negative_completed_purge_reversal_timeout_6h,fully_imputed,2394,0,14364,-0.1921257867035009,-2.5775833206111867,-10.484693376622452
kda02_v2_primary_negative_completed_purge_reversal_timeout_6h,mixed,18,56,52,0.18473646843916042,-0.9690366950536503,-4.806281940049115
kda02_v2_primary_positive_completed_purge_reversal_timeout_1h,fully_exact,108,108,0,0.07631142661041436,0.07631142661041436,0.07631142661041436
kda02_v2_primary_positive_completed_purge_reversal_timeout_1h,fully_imputed,909,0,909,0.03802215383155396,-0.35900444042593394,-1.6753670659180775
kda02_v2_primary_positive_completed_purge_reversal_timeout_6h,fully_exact,100,600,0,0.4386614464168914,0.4386614464168914,0.4386614464168914
kda02_v2_primary_positive_completed_purge_reversal_timeout_6h,fully_imputed,878,0,5268,0.22706724877730292,-2.154596147840968,-10.050247856495494
kda02_v2_primary_positive_completed_purge_reversal_timeout_6h,mixed,10,28,32,0.4650928749290809,-0.8133194773596621,-5.063806517970024
kda02_v2_robustness_negative_completed_purge_reversal_timeout_1h,fully_exact,45,45,0,0.10971978633125379,0.10971978633125379,0.10971978633125379
kda02_v2_robustness_negative_completed_purge_reversal_timeout_1h,fully_imputed,572,0,572,-0.029903496790003304,-0.42803319322795447,-1.7448680139678376
kda02_v2_robustness_negative_completed_purge_reversal_timeout_6h,fully_exact,44,264,0,0.4448465424378032,0.4448465424378032,0.4448465424378032
kda02_v2_robustness_negative_completed_purge_reversal_timeout_6h,fully_imputed,555,0,3330,-0.17861935302589735,-2.56718272308941,-10.466088723737741
kda02_v2_robustness_negative_completed_purge_reversal_timeout_6h,mixed,5,20,10,0.7784610559139569,-0.02054666426650753,-2.677101064647984
kda02_v2_robustness_positive_completed_purge_reversal_timeout_1h,fully_exact,8,8,0,0.11928280678763374,0.11928280678763374,0.11928280678763374
kda02_v2_robustness_positive_completed_purge_reversal_timeout_1h,fully_imputed,151,0,151,0.03764027231043404,-0.36180493780301143,-1.6900821379937494
kda02_v2_robustness_positive_completed_purge_reversal_timeout_6h,fully_exact,8,48,0,0.48269925700045,0.48269925700045,0.48269925700045
kda02_v2_robustness_positive_completed_purge_reversal_timeout_6h,fully_imputed,151,0,906,0.22584163386260425,-2.1708296268180685,-10.140492827962495
