symbol,instrument_type,contract_size,base_unit,quote_unit,anchor_timestamp_utc,implied_price_absolute_over_relative,trade_open,mark_open,trade_relative_error,mark_relative_error,trade_error_limit,mark_error_limit,unit_status
PF_1INCHUSD,flexible_futures,1,1INCH,USD,2023-01-01T00:00:00Z,0.3834,0.3878,0.38305502163,0.0113460546673543063434760186,0.000900597435146591162572563,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_AAVEUSD,flexible_futures,1,AAVE,USD,2023-01-01T00:00:00Z,51.88000000000002202271660696,52,51.90233242267,0.0023076923076918841785267892,0.0004302778242818154932652754,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ADAUSD,flexible_futures,1,ADA,USD,2023-01-01T00:00:00Z,0.2454999999999995048349088638,0.24618,0.24543508808,0.0027622065155597333865104241,0.000264476935662706385550901,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_AGLDUSD,flexible_futures,1,AGLD,USD,2023-08-29T15:00:00Z,0.4898220000000051937766383188,0.4588,0.48979250796,0.067615518744562322965645856,0.000060213334270932355725531,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_AIXBTUSD,flexible_futures,1,AIXBT,USD,2025-01-21T16:00:00Z,0.5975570000000053686695775621,0.6038,0.59834939663,0.0103395163961487766320345113,0.0013243042183338640369783269,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_AKTUSD,flexible_futures,1,AKT,USD,2024-11-19T15:00:00Z,4.210109999999998887894514173,4.2169,4.21804742762,0.0016101875785532291743901508,0.0018817777078622710153351765,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ALCHUSD,flexible_futures,1,ALCH,USD,2025-01-28T13:00:00Z,0.04526799999996686516476446521,0.04535,0.04522703175,0.0018081587658905145586666988,0.000905835478952588233130405,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ALGOUSD,flexible_futures,1,ALGO,USD,2023-01-01T00:00:00Z,0.1723,0.17176,0.1722463518,0.003143921751280857009781090,0.000311462039337079300625280,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ALICEUSD,flexible_futures,1,ALICE,USD,2023-01-01T00:00:00Z,1.055300000000034237603168152,1.0519,1.05492676892,0.003232246411288371140952707,0.000353798093886971457332608,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ANKRUSD,flexible_futures,1,ANKR,USD,2023-01-01T00:00:00Z,0.01531999999999128197414298705,0.015327,0.01531087813,0.0004567103809433043555172539,0.000595777062153519612854958,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_APEUSD,flexible_futures,1,APE,USD,2023-01-01T00:00:00Z,3.635,3.6111,3.63029043927,0.006618481903021240065354047,0.001297295852435163830108775,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_API3USD,flexible_futures,1,API3,USD,2024-01-31T15:00:00Z,2.748500000000005046555911002,2.7445,2.74464480779,0.001457460375297885427550010,0.001404623359300639043332319,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_APTUSD,flexible_futures,1,APT,USD,2023-01-01T00:00:00Z,3.447499999999996149106858489,3.4514,3.44446396561,0.0011299762415262939367043840,0.000881424343615823037722747,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ARBUSD,flexible_futures,1,ARB,USD,2023-03-23T15:00:00Z,1.280799999999999934036833841,1.2877,1.30074121583,0.0053583909295643907456442953,0.0153306557732743339506993801,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ARCUSD,flexible_futures,1,ARC,USD,2025-01-28T16:00:00Z,0.2831569999999934172877016006,0.28964,0.28302964028,0.0223829581549737008434553218,0.000449987216418113901796747,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ARKMUSD,flexible_futures,1,ARKM,USD,2024-05-15T22:00:00Z,2.417540000000006618798814815,2.43,2.40984455039,0.0051275720164581815642737387,0.003193338594707785922074840,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ARUSD,flexible_futures,1,AR,USD,2024-05-10T08:00:00Z,43.68050000000000541179046208,43.748,43.63277805736,0.0015429276766936680124700082,0.001093717722425781902589820,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
