campaign_symbol,export_member,mapping_status,mechanical_exclusion_reason
PF_1INCHUSD,exports/PF_1INCHUSD.csv,mapped_exact_filename_and_tradeable,
PF_AAVEUSD,exports/PF_AAVEUSD.csv,mapped_exact_filename_and_tradeable,
PF_ADAUSD,exports/PF_ADAUSD.csv,mapped_exact_filename_and_tradeable,
PF_AGLDUSD,exports/PF_AGLDUSD.csv,mapped_exact_filename_and_tradeable,
PF_AIXBTUSD,exports/PF_AIXBTUSD.csv,mapped_exact_filename_and_tradeable,
PF_AKTUSD,exports/PF_AKTUSD.csv,mapped_exact_filename_and_tradeable,
PF_ALCHUSD,exports/PF_ALCHUSD.csv,mapped_exact_filename_and_tradeable,
PF_ALGOUSD,exports/PF_ALGOUSD.csv,mapped_exact_filename_and_tradeable,
PF_ALICEUSD,exports/PF_ALICEUSD.csv,mapped_exact_filename_and_tradeable,
PF_ANKRUSD,exports/PF_ANKRUSD.csv,mapped_exact_filename_and_tradeable,
PF_APEUSD,exports/PF_APEUSD.csv,mapped_exact_filename_and_tradeable,
PF_API3USD,exports/PF_API3USD.csv,mapped_exact_filename_and_tradeable,
PF_APTUSD,exports/PF_APTUSD.csv,mapped_exact_filename_and_tradeable,
PF_ARBUSD,exports/PF_ARBUSD.csv,mapped_exact_filename_and_tradeable,
PF_ARCUSD,exports/PF_ARCUSD.csv,mapped_exact_filename_and_tradeable,
PF_ARKMUSD,exports/PF_ARKMUSD.csv,mapped_exact_filename_and_tradeable,
PF_ARUSD,exports/PF_ARUSD.csv,mapped_exact_filename_and_tradeable,
PF_ATHUSD,exports/PF_ATHUSD.csv,mapped_exact_filename_and_tradeable,
PF_ATOMUSD,exports/PF_ATOMUSD.csv,mapped_exact_filename_and_tradeable,
PF_AUCTIONUSD,exports/PF_AUCTIONUSD.csv,mapped_exact_filename_and_tradeable,
PF_AVAXUSD,exports/PF_AVAXUSD.csv,mapped_exact_filename_and_tradeable,
PF_AXSUSD,exports/PF_AXSUSD.csv,mapped_exact_filename_and_tradeable,
PF_BANANAUSD,exports/PF_BANANAUSD.csv,mapped_exact_filename_and_tradeable,
PF_BANDUSD,exports/PF_BANDUSD.csv,mapped_exact_filename_and_tradeable,
PF_BATUSD,exports/PF_BATUSD.csv,mapped_exact_filename_and_tradeable,
PF_BBUSD,exports/PF_BBUSD.csv,mapped_exact_filename_and_tradeable,
PF_BCHUSD,exports/PF_BCHUSD.csv,mapped_exact_filename_and_tradeable,
PF_BEAMUSD,exports/PF_BEAMUSD.csv,mapped_exact_filename_and_tradeable,
PF_BERAUSD,exports/PF_BERAUSD.csv,mapped_exact_filename_and_tradeable,
PF_BIGTIMEUSD,exports/PF_BIGTIMEUSD.csv,mapped_exact_filename_and_tradeable,
PF_BIOUSD,exports/PF_BIOUSD.csv,mapped_exact_filename_and_tradeable,
PF_BLURUSD,exports/PF_BLURUSD.csv,mapped_exact_filename_and_tradeable,
PF_BNBUSD,exports/PF_BNBUSD.csv,mapped_exact_filename_and_tradeable,
PF_BOMEUSD,exports/PF_BOMEUSD.csv,mapped_exact_filename_and_tradeable,
PF_BONKUSD,exports/PF_BONKUSD.csv,mapped_exact_filename_and_tradeable,
PF_BRETTUSD,exports/PF_BRETTUSD.csv,mapped_exact_filename_and_tradeable,
PF_CAKEUSD,exports/PF_CAKEUSD.csv,mapped_exact_filename_and_tradeable,
PF_CATUSD,exports/PF_CATUSD.csv,mapped_exact_filename_and_tradeable,
PF_CFXUSD,exports/PF_CFXUSD.csv,mapped_exact_filename_and_tradeable,
PF_CHILLGUYUSD,exports/PF_CHILLGUYUSD.csv,mapped_exact_filename_and_tradeable,
PF_CHZUSD,exports/PF_CHZUSD.csv,mapped_exact_filename_and_tradeable,
PF_COMPUSD,exports/PF_COMPUSD.csv,mapped_exact_filename_and_tradeable,
PF_COOKIEUSD,exports/PF_COOKIEUSD.csv,mapped_exact_filename_and_tradeable,
PF_COTIUSD,exports/PF_COTIUSD.csv,mapped_exact_filename_and_tradeable,
PF_COWUSD,exports/PF_COWUSD.csv,mapped_exact_filename_and_tradeable,
PF_CROUSD,exports/PF_CROUSD.csv,mapped_exact_filename_and_tradeable,
PF_CRVUSD,exports/PF_CRVUSD.csv,mapped_exact_filename_and_tradeable,
PF_CTSIUSD,exports/PF_CTSIUSD.csv,mapped_exact_filename_and_tradeable,
PF_CVXUSD,exports/PF_CVXUSD.csv,mapped_exact_filename_and_tradeable,
PF_DASHUSD,exports/PF_DASHUSD.csv,mapped_exact_filename_and_tradeable,
PF_DEEPUSD,exports/PF_DEEPUSD.csv,mapped_exact_filename_and_tradeable,
PF_DEGENUSD,exports/PF_DEGENUSD.csv,mapped_exact_filename_and_tradeable,
PF_DOGEUSD,exports/PF_DOGEUSD.csv,mapped_exact_filename_and_tradeable,
PF_DOGUSD,exports/PF_DOGUSD.csv,mapped_exact_filename_and_tradeable,
PF_DOTUSD,exports/PF_DOTUSD.csv,mapped_exact_filename_and_tradeable,
PF_DYDXUSD,exports/PF_DYDXUSD.csv,mapped_exact_filename_and_tradeable,
PF_DYMUSD,exports/PF_DYMUSD.csv,mapped_exact_filename_and_tradeable,
