symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_0GUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_1INCHUSD,True,True,True,True,campaign_exact_mapped
PF_1MBABYDOGEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_2ZUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AAPLXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_AAVEUSD,True,True,True,True,campaign_exact_mapped
PF_ACEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ACHUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ACTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ADAUSD,True,True,True,True,campaign_exact_mapped
PF_AEVOUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AGIUSD,True,False,False,False,export_only_not_reconciled
PF_AGLDUSD,True,True,True,True,campaign_exact_mapped
PF_AI16ZUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AIXBTUSD,True,True,True,True,campaign_exact_mapped
PF_AKTUSD,True,True,True,True,campaign_exact_mapped
PF_ALCHUSD,True,True,True,True,campaign_exact_mapped
PF_ALEOUSD,False,True,True,False,k0_missing_export_noncampaign
PF_ALGOUSD,True,True,True,True,campaign_exact_mapped
PF_ALICEUSD,True,True,True,True,campaign_exact_mapped
PF_ALPACAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ALPHAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ALTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ANIMEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ANKRUSD,True,True,True,True,campaign_exact_mapped
PF_ANTHROPICXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_ANTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_APEUSD,True,True,True,True,campaign_exact_mapped
PF_API3USD,True,True,True,True,campaign_exact_mapped
PF_APTUSD,True,True,True,True,campaign_exact_mapped
PF_APUUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ARBUSD,True,True,True,True,campaign_exact_mapped
PF_ARCUSD,True,True,True,True,campaign_exact_mapped
PF_ARKMUSD,True,True,True,True,campaign_exact_mapped
PF_ARKUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ARPAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ARUSD,True,True,True,True,campaign_exact_mapped
PF_ASTERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ASTRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ATAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ATHUSD,True,True,True,True,campaign_exact_mapped
PF_ATOMUSD,True,True,True,True,campaign_exact_mapped
PF_AUCTIONUSD,True,True,True,True,campaign_exact_mapped
PF_AUDIOUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AUDUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AVAAIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AVAUSD,True,False,False,False,export_only_not_reconciled
PF_AVAXUSD,True,True,True,True,campaign_exact_mapped
PF_AVNTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AXLUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_AXSUSD,True,True,True,True,campaign_exact_mapped
PF_B2USD,True,True,True,False,reconciled_and_export_noncampaign
PF_B3USD,True,True,True,False,reconciled_and_export_noncampaign
PF_BABYDOGEUSD,True,False,False,False,export_only_not_reconciled
PF_BADGERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BAKEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BALUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BANANAUSD,True,True,True,True,campaign_exact_mapped
PF_BANDUSD,True,True,True,True,campaign_exact_mapped
PF_BANUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BARDUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BATUSD,True,True,True,True,campaign_exact_mapped
PF_BBUSD,True,True,True,True,campaign_exact_mapped
PF_BCHUSD,True,True,True,True,campaign_exact_mapped
PF_BDXNUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BDXUSD,False,True,True,False,k0_missing_export_noncampaign
PF_BEAMUSD,True,True,True,True,campaign_exact_mapped
PF_BELUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BERAUSD,True,True,True,True,campaign_exact_mapped
PF_BICOUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BIGTIMEUSD,True,True,True,True,campaign_exact_mapped
PF_BIOUSD,True,True,True,True,campaign_exact_mapped
PF_BLASTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BLESSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BLURUSD,True,True,True,True,campaign_exact_mapped
PF_BLZUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BNBUSD,True,True,True,True,campaign_exact_mapped
PF_BNTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BNXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BOMEUSD,True,True,True,True,campaign_exact_mapped
PF_BONDUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BONKUSD,True,True,True,True,campaign_exact_mapped
PF_BRETTUSD,True,True,True,True,campaign_exact_mapped
PF_BSUUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_BSWUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_C98USD,True,True,True,False,reconciled_and_export_noncampaign
PF_CAKEUSD,True,True,True,True,campaign_exact_mapped
PF_CATIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CATUSD,True,True,True,True,campaign_exact_mapped
PF_CELOUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CELRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CETUSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CFGUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_CFXUSD,True,True,True,True,campaign_exact_mapped
PF_CGPTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CHEEMSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CHFUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CHILLGUYUSD,True,True,True,True,campaign_exact_mapped
PF_CHRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CHZUSD,True,True,True,True,campaign_exact_mapped
PF_CKBUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CLOUDUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_COMPUSD,True,True,True,True,campaign_exact_mapped
PF_COOKIEUSD,True,True,True,True,campaign_exact_mapped
PF_COREUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_COSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_COTIUSD,True,True,True,True,campaign_exact_mapped
PF_COWUSD,True,True,True,True,campaign_exact_mapped
PF_CRCLXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_CROUSD,True,True,True,True,campaign_exact_mapped
PF_CRVUSD,True,True,True,True,campaign_exact_mapped
PF_CSPRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CTCUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CTSIUSD,True,True,True,True,campaign_exact_mapped
PF_CVCUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_CVXUSD,True,True,True,True,campaign_exact_mapped
PF_CYBERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DARUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DASHUSD,True,True,True,True,campaign_exact_mapped
PF_DBRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DEEPUSD,True,True,True,True,campaign_exact_mapped
PF_DEFIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DEGENUSD,True,True,True,True,campaign_exact_mapped
PF_DENTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DEXEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DFUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DIAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DOGEUSD,True,True,True,True,campaign_exact_mapped
PF_DOGSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DOGUSD,True,True,True,True,campaign_exact_mapped
PF_DOTUSD,True,True,True,True,campaign_exact_mapped
PF_DRIFTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DUCKUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DUSKUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_DYDXUSD,True,True,True,True,campaign_exact_mapped
PF_DYMUSD,True,True,True,True,campaign_exact_mapped
PF_EDENUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_EDUUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_EGLDUSD,True,True,True,True,campaign_exact_mapped
PF_EIGENUSD,True,True,True,True,campaign_exact_mapped
PF_ENAUSD,True,True,True,True,campaign_exact_mapped
PF_ENJUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ENSOUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ENSUSD,True,True,True,True,campaign_exact_mapped
PF_EOSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ESPORTSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ESPUSD,False,True,True,False,k0_missing_export_noncampaign
