symbol,partition,row_count,numeric_rate_parsing
PF_0GUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_0GUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_0GUSD,rankable_2023_2025,1408,Decimal
PF_0GUSD,unknown_or_invalid,0,none
PF_1INCHUSD,pre_rankable_before_2023_excluded,2459,Decimal_schema_only_not_calibration
PF_1INCHUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_1INCHUSD,rankable_2023_2025,26297,Decimal
PF_1INCHUSD,unknown_or_invalid,0,none
PF_1MBABYDOGEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_1MBABYDOGEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_1MBABYDOGEUSD,rankable_2023_2025,4537,Decimal
PF_1MBABYDOGEUSD,unknown_or_invalid,0,none
PF_2ZUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_2ZUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_2ZUSD,rankable_2023_2025,2046,Decimal
PF_2ZUSD,unknown_or_invalid,0,none
PF_AAVEUSD,pre_rankable_before_2023_excluded,2807,Decimal_schema_only_not_calibration
PF_AAVEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_AAVEUSD,rankable_2023_2025,26297,Decimal
PF_AAVEUSD,unknown_or_invalid,0,none
PF_ACEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ACEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ACEUSD,rankable_2023_2025,10756,Decimal
PF_ACEUSD,unknown_or_invalid,0,none
PF_ACHUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ACHUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_ACHUSD,rankable_2023_2025,19697,Decimal
PF_ACHUSD,unknown_or_invalid,0,none
PF_ACTUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ACTUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_ACTUSD,rankable_2023_2025,8630,Decimal
PF_ACTUSD,unknown_or_invalid,0,none
PF_ADAUSD,pre_rankable_before_2023_excluded,3389,Decimal_schema_only_not_calibration
PF_ADAUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ADAUSD,rankable_2023_2025,26297,Decimal
PF_ADAUSD,unknown_or_invalid,0,none
PF_AEVOUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AEVOUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_AEVOUSD,rankable_2023_2025,14115,Decimal
PF_AEVOUSD,unknown_or_invalid,0,none
PF_AGIUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AGIUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_AGIUSD,rankable_2023_2025,1,Decimal
PF_AGIUSD,unknown_or_invalid,0,none
PF_AGLDUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AGLDUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_AGLDUSD,rankable_2023_2025,20667,Decimal
PF_AGLDUSD,unknown_or_invalid,0,none
PF_AI16ZUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
