column,inferred_dtype,sample_nonnull_rate
trade_id,int64,1.0
symbol,object,1.0
entry_ts,object,1.0
exit_ts,object,1.0
entry,float64,1.0
exit,float64,1.0
qty,float64,1.0
sl,float64,1.0
tp,float64,1.0
exit_reason,object,1.0
atr_at_entry,float64,1.0
regime_up,bool,1.0
rs_pct,float64,1.0
fees,float64,1.0
pnl,float64,1.0
pnl_R,float64,1.0
mae_over_atr,float64,1.0
mfe_over_atr,float64,1.0
markov_state_4h,int64,1.0
markov_prob_up_4h,float64,1.0
vol_prob_low_1d,float64,1.0
regime_code_1d,int64,1.0
atr_1h,float64,1.0
rsi_1h,float64,1.0
adx_1h,float64,1.0
vol_mult,float64,1.0
atr_pct,float64,1.0
days_since_prev_break,float64,1.0
consolidation_range_atr,float64,1.0
prior_1d_ret,float64,1.0
rv_3d,float64,1.0
don_break_level,float64,1.0
don_dist_atr,float64,1.0
asset_rsi_15m,float64,1.0
asset_rsi_4h,float64,1.0
asset_macd_line_1h,float64,1.0
asset_macd_signal_1h,float64,1.0
asset_macd_hist_1h,float64,1.0
asset_macd_slope_1h,float64,1.0
asset_macd_line_4h,float64,1.0
asset_macd_signal_4h,float64,1.0
asset_macd_hist_4h,float64,1.0
asset_macd_slope_4h,float64,1.0
asset_vol_1h,float64,1.0
asset_vol_4h,float64,1.0
gap_from_1d_ma,float64,1.0
prebreak_congestion,float64,1.0
eth_macd_line_4h,float64,1.0
eth_macd_signal_4h,float64,1.0
eth_macd_hist_4h,float64,1.0
eth_macd_hist_slope_4h,float64,1.0
eth_macd_hist_slope_1h,float64,1.0
eth_macd_both_pos_4h,int64,1.0
oi_level,float64,1.0
oi_notional_est,float64,1.0
oi_pct_1h,float64,1.0
oi_pct_4h,float64,1.0
oi_pct_1d,float64,1.0
oi_z_7d,float64,1.0
oi_chg_norm_vol_1h,float64,1.0
oi_price_div_1h,float64,1.0
funding_rate,float64,1.0
funding_abs,float64,1.0
funding_z_7d,float64,1.0
funding_rollsum_3d,float64,1.0
funding_oi_div,float64,1.0
crowded_long,int64,1.0
crowded_short,int64,1.0
crowd_side,int64,1.0
est_leverage,float64,1.0
btc_funding_rate,float64,1.0
btc_oi_z_7d,float64,1.0
btc_vol_regime_level,float64,1.0
btc_trend_slope,float64,1.0
eth_funding_rate,float64,1.0
eth_oi_z_7d,float64,1.0
eth_vol_regime_level,float64,1.0
eth_trend_slope,float64,1.0
recent_winrate_20,object,1.0
recent_winrate_50,object,1.0
recent_winrate_ewm_20,object,1.0
WIN,int64,1.0
EXIT_FINAL,object,1.0
