set_col,code,count
S1_regime_code_1d,3,4049
S1_regime_code_1d,1,1697
S1_regime_code_1d,2,1556
S1_regime_code_1d,0,847
S2_markov_x_vol1d,0,4972
S2_markov_x_vol1d,1,1477
S2_markov_x_vol1d,3,926
S2_markov_x_vol1d,2,774
S3_funding_x_oi,6,1915
S3_funding_x_oi,7,1876
S3_funding_x_oi,8,1610
S3_funding_x_oi,2,665
S3_funding_x_oi,3,622
S3_funding_x_oi,4,549
S3_funding_x_oi,5,475
S3_funding_x_oi,1,264
S3_funding_x_oi,0,154
S3_funding_x_oi,<NA>,19
S4_crowd_x_trend1d,3,5525
S4_crowd_x_trend1d,2,2544
S4_crowd_x_trend1d,1,38
S4_crowd_x_trend1d,5,23
S4_crowd_x_trend1d,<NA>,19
S5_btcRisk_x_regimeUp,5,2436
S5_btcRisk_x_regimeUp,4,1518
S5_btcRisk_x_regimeUp,7,1216
S5_btcRisk_x_regimeUp,6,899
S5_btcRisk_x_regimeUp,1,710
S5_btcRisk_x_regimeUp,0,659
S5_btcRisk_x_regimeUp,3,432
S5_btcRisk_x_regimeUp,2,279
S6_fresh_x_compress,6,2487
S6_fresh_x_compress,7,2418
S6_fresh_x_compress,8,1954
S6_fresh_x_compress,2,766
S6_fresh_x_compress,1,340
S6_fresh_x_compress,0,184
