regime_col,state,count
btc_risk_regime_code,2,3954
btc_risk_regime_code,3,2115
btc_risk_regime_code,0,1369
btc_risk_regime_code,1,711
btc_trend_up,1,6069
btc_trend_up,0,2080
btc_vol_high,0,5323
btc_vol_high,1,2826
compression_code,1,2758
compression_code,2,2720
compression_code,0,2671
crowd_side,0,8069
crowd_side,-1,38
crowd_side,1,23
crowd_side,<NA>,19
freshness_code,2,6859
freshness_code,0,1290
funding_regime_code,1,5406
funding_regime_code,0,1657
funding_regime_code,-1,1086
markov_state_4h,0,6449
markov_state_4h,1,1700
oi_regime_code,1,2750
oi_regime_code,-1,2691
oi_regime_code,0,2689
oi_regime_code,<NA>,19
regime_code_1d,3,4049
regime_code_1d,1,1697
regime_code_1d,2,1556
regime_code_1d,0,847
regime_up,1,4794
regime_up,0,3355
risk_on,0,5713
risk_on,1,2436
risk_on_1,0,5713
risk_on_1,1,2436
trend_regime_code_1d,1,5605
trend_regime_code_1d,0,2544
vol_regime_code_1d,0,5746
vol_regime_code_1d,1,2403
volimpulse_code,2,2782
volimpulse_code,1,2689
volimpulse_code,0,2678
