feature,n_sample,n_unique,min,max,status,reason
atr_at_entry,8149,8149,3.98260726797162e-06,1459.78930664063,OK,
rs_pct,8149,3851,70.0,100.0,OK,
markov_prob_up_4h,8149,2195,0.0554244462056959,0.928079788246907,OK,
vol_prob_low_1d,8149,833,5.705084682290331e-31,0.916325454728401,OK,
atr_1h,8149,8149,3.98260726797162e-06,1459.78930664063,OK,
rsi_1h,8149,8143,22.4498462677002,97.7658920288086,OK,
adx_1h,8149,8147,8.97399711608887,93.8801193237305,OK,
vol_mult,8149,8148,2.00011134147644,17633983.0,OK,
atr_pct,8149,8147,0.0001021919597405,0.254733085632324,OK,
days_since_prev_break,8149,285,0.0,1.0,OK,duplicate_thresholds(n_unique_thr=5)
consolidation_range_atr,8149,8149,0.0810735865716878,8.6808167999504,OK,
prior_1d_ret,8149,8109,-0.381596386432648,5.73288583755493,OK,
rv_3d,8149,8149,4.92059560765636e-05,0.0425069660309818,OK,
don_break_level,8149,5829,0.0002206000062869,118644.0,OK,
don_dist_atr,8149,8149,0.0340700893295386,22.506563737026,OK,
asset_rsi_15m,8149,8145,15.2127246856689,97.0193557739258,OK,
asset_rsi_4h,8149,8136,39.7080001831055,99.0886077880859,OK,
asset_macd_line_1h,8149,8149,-146.363739013672,1237.33569335938,OK,
asset_macd_signal_1h,8149,8149,-51.0412940979004,1168.29406738281,OK,
asset_macd_hist_1h,8149,8149,-311.683227539063,261.717407226563,OK,
asset_macd_slope_1h,8149,8149,-177.002319335938,198.441802978516,OK,
asset_macd_line_4h,8149,8149,5.60296302865027e-06,3036.3330078125,OK,
asset_macd_signal_4h,8149,8149,-0.530776500701904,3070.62109375,OK,
asset_macd_hist_4h,8149,8149,-109.398658752441,575.855773925781,OK,
asset_macd_slope_4h,8149,8149,-336.001403808594,295.369934082031,OK,
asset_vol_1h,8149,8149,0.0002865700807888,1.11587059497833,OK,
asset_vol_4h,8149,8145,0.0004696892574429,1.42446482181549,OK,
gap_from_1d_ma,8149,8149,-4.31410980224609,8.83803272247314,OK,
prebreak_congestion,8149,8149,4.92064646095969e-05,0.0777510404586792,OK,
eth_macd_line_4h,8149,2195,-193.566665649414,199.302764892578,OK,
eth_macd_signal_4h,8149,2195,-148.696273803711,171.672378540039,OK,
eth_macd_hist_4h,8149,2195,-70.370719909668,70.5586471557617,OK,
eth_macd_hist_slope_4h,8149,2195,-22.0224380493164,27.0708103179932,OK,
eth_macd_hist_slope_1h,8149,2882,-9.86777877807617,18.8538341522217,OK,
funding_rate,8149,3317,-0.04,0.0141864996403455,OK,duplicate_thresholds(n_unique_thr=5)
funding_abs,8149,3303,0.0,0.04,OK,duplicate_thresholds(n_unique_thr=6)
funding_z_7d,8149,6475,-44.8887512525576,44.8887499807587,OK,
funding_rollsum_3d,8149,5873,-17.7533782,1.88010878,OK,duplicate_thresholds(n_unique_thr=8)
btc_funding_rate,8149,921,-0.00015919,0.00112788,OK,duplicate_thresholds(n_unique_thr=6)
btc_oi_z_7d,8149,3996,-12.7905588150024,4.95474100112915,OK,
btc_vol_regime_level,8149,833,0.408091336488724,1.35567402839661,OK,
btc_trend_slope,8149,833,-692.912048339844,789.595947265625,OK,
eth_funding_rate,8149,901,-0.0011771899880841,0.00097166,OK,duplicate_thresholds(n_unique_thr=6)
eth_oi_z_7d,8149,3996,-5.24619007110596,4.64613008499146,OK,
eth_vol_regime_level,8149,833,0.339587926864624,2.03620290756226,OK,
eth_trend_slope,8149,833,-48.8030967712402,43.4767036437988,OK,
eth_macd_both_pos_4h,8149,2,0.0,1.0,SKIP,too_few_unique_values(<20)
