feature,scope,n_months,mean_delta,std_delta,frac_pos
asset_rsi_4h,ALL,35,1.291620650353169,0.9062410621967691,0.9142857142857143
rs_pct,ALL,31,1.1213390885242736,0.8169821317896823,0.8285714285714286
btc_trend_slope,ALL,4,1.0825973764155448,1.6914105203053431,0.125
rsi_1h,ALL,35,0.7730249237272254,0.8155764787778194,0.8857142857142857
btc_funding_rate,ALL,3,0.7292638369822345,0.7876534767545432,0.0625
eth_funding_rate,ALL,4,0.44003896571435974,1.1131090935975378,0.06060606060606061
asset_macd_hist_4h,ALL,35,0.42607667801579446,0.8318875851226314,0.7714285714285715
asset_rsi_15m,ALL,35,0.40718586309448934,0.8527362223149209,0.7142857142857143
markov_prob_up_4h,ALL,16,0.3707136956070981,1.3833197329202314,0.3142857142857143
prior_1d_ret,ALL,35,0.33846506250174596,0.8934640704957466,0.6
funding_abs,ALL,35,0.3076959335812665,1.2431864649247972,0.5714285714285714
asset_macd_slope_4h,ALL,35,0.29505676701561484,0.7105473376669195,0.7428571428571429
atr_1h,ALL,35,0.28556888020599014,0.7014577182664099,0.6857142857142857
atr_at_entry,ALL,35,0.28556888020599014,0.7014577182664099,0.6857142857142857
gap_from_1d_ma,ALL,35,0.26156776480999777,0.7039953726654609,0.6285714285714286
eth_macd_signal_4h,ALL,4,0.24968287586076435,0.6914759590122351,0.1
asset_macd_signal_1h,ALL,33,0.24840333242861384,0.8125114548031349,0.6285714285714286
atr_pct,ALL,35,0.22344920413740268,1.2509374675654046,0.5714285714285714
asset_macd_line_1h,ALL,35,0.2069640951324027,0.8293569752706111,0.5428571428571428
asset_macd_slope_1h,ALL,35,0.1990727113421724,0.6214257509264505,0.6571428571428571
asset_macd_line_4h,ALL,34,0.1806148520176302,0.6992825981301697,0.5714285714285714
asset_macd_signal_4h,ALL,35,0.17432251065084547,0.7667886554284203,0.5714285714285714
asset_vol_4h,ALL,35,0.16743949135421837,0.9211730610991926,0.5428571428571428
eth_macd_line_4h,ALL,6,0.14424127847457133,0.8958177533601952,0.09375
eth_macd_hist_slope_1h,ALL,30,0.11477081724451456,0.9322695288753162,0.5151515151515151
