model,fold,target,train_n,test_n,t_test_start,t_test_end,scope,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,ALL,1359.0,0.235467255334805,0.7372503609239653,0.4998890724197196,0.6119211186425737,0.21069103454657018,0.673289183222958,0.3892857142857143,0.68125,-0.08271827299747127,135.0,1.2943818577156814,0.6148148148148148,0.362962962962963
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,ALL,1358.0,0.28276877761413843,0.7349337996235455,0.4954302267642039,0.6071573689544629,0.2078537559085503,0.6774668630338734,0.4524647887323944,0.6692708333333334,0.20089779432826335,135.0,1.765559180921196,0.6814814814814815,0.2814814814814815
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,ALL,1358.0,0.20765832106038293,0.7253289040048513,0.4118736441413313,0.5294047857409651,0.17865578425201495,0.7231222385861561,0.3736559139784946,0.4929078014184397,-0.18561428441814612,135.0,1.0675326910426899,0.5555555555555556,0.31851851851851853
logreg,3,y_good_05,6765,1358,2024-09-24 00:00:00+00:00,2025-01-17 00:00:00+00:00,ALL,1358.0,0.26730486008836524,0.735094203801376,0.4852772959958206,0.6310128410714068,0.21781942396473603,0.6627393225331369,0.4209650582362729,0.696969696969697,0.12339457082101107,135.0,1.809234716655514,0.6814814814814815,0.26666666666666666
logreg,4,y_good_05,6728,1358,2025-01-17 00:00:00+00:00,2025-07-11 00:15:00+00:00,ALL,1358.0,0.2864506627393225,0.7685526382112852,0.5735818496144796,0.6173103751033687,0.21304107782528234,0.6693667157584683,0.4539877300613497,0.7609254498714653,0.17533890724593346,135.0,2.188816114547458,0.7777777777777778,0.3037037037037037
logreg,5,y_good_05,6788,1358,2025-07-11 00:15:00+00:00,2025-11-13 23:25:00+00:00,ALL,1358.0,0.24300441826215022,0.7288114609126282,0.47173631882773065,0.587111503310226,0.20086774853856873,0.6811487481590575,0.3972055888223553,0.603030303030303,-0.01424202096861949,135.0,1.3358372609088776,0.6148148148148148,0.2962962962962963
lgbm,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,ALL,1359.0,0.235467255334805,0.7507699711260827,0.49288768784159276,0.5438714869751756,0.16367985628607332,0.7740986019131715,0.5323383084577115,0.334375,-0.08271827299747127,135.0,1.5162427276825936,0.6444444444444445,0.2962962962962963
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,ALL,1358.0,0.28276877761413843,0.7683173981861738,0.5574879993222713,0.5725181279548696,0.17934080364971958,0.7503681885125184,0.6153846153846154,0.3125,0.20089779432826335,135.0,2.0438326608301094,0.6962962962962963,0.21481481481481482
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,ALL,1358.0,0.20765832106038293,0.7504877534340478,0.4554759629635222,0.4968019168162216,0.14856180513636394,0.8078055964653903,0.5724137931034483,0.29432624113475175,-0.18561428441814612,135.0,1.4591262453204428,0.6444444444444445,0.31851851851851853
lgbm,3,y_good_05,6765,1358,2024-09-24 00:00:00+00:00,2025-01-17 00:00:00+00:00,ALL,1358.0,0.26730486008836524,0.7450613951299195,0.5177875485657112,0.5921781551820614,0.18285096591740946,0.7569955817378498,0.5942857142857143,0.2865013774104683,0.12339457082101107,135.0,1.8944168606691931,0.6666666666666666,0.1925925925925926
lgbm,4,y_good_05,6728,1358,2025-01-17 00:00:00+00:00,2025-07-11 00:15:00+00:00,ALL,1358.0,0.2864506627393225,0.7472946694575544,0.5555419130795836,0.6243724833092962,0.1902688304163034,0.7393225331369662,0.6277372262773723,0.2210796915167095,0.17533890724593346,135.0,1.9765724639546116,0.6814814814814815,0.18518518518518517
lgbm,5,y_good_05,6788,1358,2025-07-11 00:15:00+00:00,2025-11-13 23:25:00+00:00,ALL,1358.0,0.24300441826215022,0.7701627166607712,0.5512230058597891,0.5208953556367262,0.15914390476370532,0.7827687776141384,0.6190476190476191,0.27575757575757576,-0.01424202096861949,135.0,1.54306263791555,0.6518518518518519,0.3037037037037037
