model,fold,target,train_n,test_n,t_test_start,t_test_end,slice,state,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,SCOPE,RISK_ON_1,547.0,0.2742230347349177,0.777262804366079,0.5856586070302403,0.6552068902056162,0.23070107806696566,0.6325411334552102,0.4158415841584158,0.84,0.06664845154641273,54.0,1.8429680999700817,0.7037037037037037,0.3333333333333333
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S1_regime_code_1d,1,385.0,0.3142857142857143,0.7098046581517655,0.5615807127800139,0.6995660625712377,0.24552061044941,0.6207792207792208,0.44075829383886256,0.768595041322314,0.27900975737668093,38.0,1.7600534622756494,0.6842105263157895,0.34210526315789475
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S1_regime_code_1d,3,744.0,0.21236559139784947,0.7206873460923663,0.4391386359815628,0.5959398654677737,0.20469278107511013,0.678763440860215,0.3505535055350554,0.6012658227848101,-0.21307053126108305,74.0,1.2714394230770145,0.5675675675675675,0.28378378378378377
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S2_markov_x_vol1d,0,1043.0,0.23202301054650049,0.7193435891086555,0.46777816325266686,0.610660357595392,0.21073749190900906,0.6720997123681688,0.3786407766990291,0.6446280991735537,-0.08981493300976168,104.0,1.3489470369834389,0.6057692307692307,0.3173076923076923
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S2_markov_x_vol1d,1,209.0,0.17703349282296652,0.8265241986172218,0.5821745250724324,0.4999203132921819,0.1638814668570077,0.7703349282296651,0.4153846153846154,0.7297297297297297,-0.257103619789271,20.0,1.333840137966385,0.65,0.4
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S3_funding_x_oi,7,320.0,0.265625,0.7085857321652065,0.5339285052677833,0.6215645593565782,0.2114114725999791,0.690625,0.4453125,0.6705882352941176,0.03216015734712713,32.0,1.2552930293219742,0.59375,0.34375
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S3_funding_x_oi,6,370.0,0.22972972972972974,0.7822910216718266,0.5621606089895674,0.6440981195332053,0.22380369269863798,0.6594594594594595,0.3854748603351955,0.8117647058823529,-0.10914119341984484,37.0,1.4176555067571603,0.6756756756756757,0.4594594594594595
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S3_funding_x_oi,8,286.0,0.22377622377622378,0.7561233108108107,0.5307614006726721,0.5450182770667084,0.18420470658706736,0.7062937062937062,0.39361702127659576,0.578125,-0.08435005063860491,28.0,2.1042673904792095,0.75,0.35714285714285715
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S4_crowd_x_trend1d,2,468.0,0.30128205128205127,0.718090528553148,0.5534241150461632,0.676730442918914,0.23690182489041817,0.6303418803418803,0.43388429752066116,0.7446808510638298,0.2217966320418382,46.0,1.6815847330807672,0.6521739130434783,0.32608695652173914
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S4_crowd_x_trend1d,3,891.0,0.20089786756453423,0.7402705417111292,0.45588826671548627,0.5778798574065159,0.19692375072959944,0.6958473625140292,0.3553459119496855,0.6312849162011173,-0.24266549584640149,89.0,1.288477440476357,0.5955056179775281,0.33707865168539325
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S5_btcRisk_x_regimeUp,5,547.0,0.2742230347349177,0.777262804366079,0.5856586070302403,0.6552068902056162,0.23070107806696566,0.6325411334552102,0.4158415841584158,0.84,0.06664845154641273,54.0,1.8429680999700817,0.7037037037037037,0.3333333333333333
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S5_btcRisk_x_regimeUp,4,374.0,0.22727272727272727,0.7132098514146143,0.4670972202022098,0.5651082328715036,0.18995675682164637,0.7352941176470589,0.43636363636363634,0.5647058823529412,-0.06900248893448728,37.0,1.3324765750089085,0.6486486486486487,0.35135135135135137
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S6_fresh_x_compress,6,436.0,0.24770642201834864,0.7748419150858177,0.59063912162835,0.6207293944995008,0.21375562594188227,0.6628440366972477,0.40487804878048783,0.7685185185185185,-0.02108266256908346,43.0,1.7127685334542169,0.6976744186046512,0.3953488372093023
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S6_fresh_x_compress,8,315.0,0.23174603174603176,0.700837767462923,0.44451261739657466,0.6068615480132606,0.20663152314818756,0.692063492063492,0.3867924528301887,0.5616438356164384,-0.06403008087094386,31.0,0.9104515298849706,0.5806451612903226,0.3870967741935484
logreg,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S6_fresh_x_compress,7,440.0,0.24772727272727274,0.751406635438898,0.5485584854540164,0.5907056689977861,0.20283266084033827,0.6886363636363636,0.4230769230769231,0.7064220183486238,-0.03606608606815207,44.0,1.4739210963660783,0.6590909090909091,0.36363636363636365
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,SCOPE,RISK_ON_1,618.0,0.3478964401294498,0.7444976628772578,0.5781631866527567,0.6295024447679021,0.21610467722371665,0.6585760517799353,0.5062111801242236,0.7581395348837209,0.49588529312445373,61.0,1.9389382087931852,0.7377049180327869,0.36065573770491804
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S1_regime_code_1d,3,1053.0,0.2668566001899335,0.7322709420463556,0.47461442036079715,0.6127410502610741,0.21040497397067962,0.6619183285849952,0.41648106904231624,0.6654804270462633,0.12074707892088488,105.0,1.7364379063546105,0.6666666666666666,0.2571428571428571
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S1_regime_code_1d,2,305.0,0.3377049180327869,0.7496875901182352,0.5726587118222322,0.5878799380827857,0.19904578010716617,0.7311475409836066,0.5882352941176471,0.6796116504854369,0.4776148544068518,30.0,1.6875888740769844,0.7,0.3333333333333333
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S2_markov_x_vol1d,0,968.0,0.2665289256198347,0.732552680423627,0.4790731796958322,0.602536270228259,0.20787246297223502,0.6663223140495868,0.4201474201474201,0.6627906976744186,0.1318114084485144,96.0,1.7083217875826218,0.6458333333333334,0.21875
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S2_markov_x_vol1d,1,233.0,0.30042918454935624,0.7475021910604732,0.5431664158664379,0.5803608065373238,0.19579364117653938,0.7424892703862661,0.5595238095238095,0.6714285714285714,0.3379851559315334,23.0,1.7333865323316275,0.6521739130434783,0.21739130434782608
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S3_funding_x_oi,7,436.0,0.30045871559633025,0.7026404705293454,0.5186701551780574,0.6291080246527725,0.22019004919914137,0.6444954128440367,0.4393939393939394,0.6641221374045801,0.29055993477541553,43.0,2.037479537894664,0.7441860465116279,0.23255813953488372
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S3_funding_x_oi,6,458.0,0.2794759825327511,0.7594223484848486,0.5008946249012173,0.5888568975611638,0.19670054937979997,0.7030567685589519,0.47802197802197804,0.6796875,0.13310168685586737,45.0,1.7205388731459452,0.6444444444444445,0.28888888888888886
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S3_funding_x_oi,8,357.0,0.2605042016806723,0.7690615835777126,0.5564692519421464,0.582658137675297,0.1980925234095588,0.7142857142857143,0.46853146853146854,0.7204301075268817,0.15184827337799067,35.0,1.6166988432993297,0.6571428571428571,0.3142857142857143
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S4_crowd_x_trend1d,3,1358.0,0.28276877761413843,0.7349337996235455,0.4954302267642039,0.6071573689544629,0.2078537559085503,0.6774668630338734,0.4524647887323944,0.6692708333333334,0.20089779432826335,135.0,1.765559180921196,0.6814814814814815,0.2814814814814815
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S5_btcRisk_x_regimeUp,4,326.0,0.2791411042944785,0.7708674304418985,0.49054290995618877,0.567048129951572,0.1919897761615738,0.7147239263803681,0.4921875,0.6923076923076923,0.15956210125338416,32.0,1.4772618004059197,0.59375,0.15625
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S5_btcRisk_x_regimeUp,5,618.0,0.3478964401294498,0.7444976628772578,0.5781631866527567,0.6295024447679021,0.21610467722371665,0.6585760517799353,0.5062111801242236,0.7581395348837209,0.49588529312445373,61.0,1.9389382087931852,0.7377049180327869,0.36065573770491804
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S6_fresh_x_compress,8,294.0,0.282312925170068,0.731742134414435,0.4573120103749631,0.6000525571922593,0.20648777800272078,0.6632653061224489,0.43548387096774194,0.6506024096385542,0.23399676150239965,29.0,1.4916918074906729,0.6551724137931034,0.3103448275862069
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S6_fresh_x_compress,7,381.0,0.26246719160104987,0.7136654804270463,0.43140027089989164,0.6397864671213145,0.21753731570732487,0.6456692913385826,0.39263803680981596,0.64,0.10312448036828956,38.0,1.4255266104420077,0.5789473684210527,0.2631578947368421
logreg,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S6_fresh_x_compress,6,430.0,0.3186046511627907,0.7292543783164345,0.5661113076912618,0.6046030662221074,0.20936899932712127,0.6744186046511628,0.4919786096256685,0.6715328467153284,0.2990542515995527,43.0,2.0645159162370605,0.7441860465116279,0.27906976744186046
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S1_regime_code_1d,3,847.0,0.18536009445100354,0.7099972306840211,0.35344343689124674,0.5034417524493772,0.16727160923434256,0.7532467532467533,0.3505747126436782,0.3885350318471338,-0.2796997861223744,84.0,0.7594870892963668,0.4880952380952381,0.30952380952380953
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S1_regime_code_1d,2,282.0,0.16666666666666666,0.7091896785875962,0.3035500161312931,0.5286016434989048,0.17883947836580083,0.7127659574468085,0.3023255813953488,0.5531914893617021,-0.29142281134961845,28.0,0.6468293978663905,0.5,0.35714285714285715
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S2_markov_x_vol1d,0,854.0,0.1955503512880562,0.7112587052968299,0.39621852186552076,0.516556624471331,0.17261530495956223,0.7435597189695551,0.3645833333333333,0.41916167664670656,-0.2142075158273132,85.0,0.9224443432290628,0.5294117647058824,0.3058823529411765
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S2_markov_x_vol1d,1,291.0,0.24398625429553264,0.7754801536491678,0.5186250260067505,0.5372483430000747,0.1827518053590689,0.7044673539518901,0.4336283185840708,0.6901408450704225,-0.015608188801272056,29.0,1.4278087463000189,0.5517241379310345,0.27586206896551724
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S3_funding_x_oi,6,415.0,0.2289156626506024,0.7745394736842106,0.5133604027057899,0.49604187733121097,0.16410926413856664,0.7493975903614458,0.45871559633027525,0.5263157894736842,-0.07732674622716063,41.0,1.4332025368826444,0.5853658536585366,0.2682926829268293
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S3_funding_x_oi,7,391.0,0.17902813299232737,0.7298175344904317,0.3901676515692404,0.5237465062940853,0.17585525740527128,0.7186700767263428,0.32456140350877194,0.5285714285714286,-0.2753595718281056,39.0,1.2628102859426673,0.5641025641025641,0.28205128205128205
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S3_funding_x_oi,8,323.0,0.19504643962848298,0.7233211233211233,0.41817508672111675,0.5229378045075735,0.17496210882196403,0.7492260061919505,0.3902439024390244,0.5079365079365079,-0.15377297175078766,32.0,0.7275908828096098,0.5625,0.40625
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S4_crowd_x_trend1d,3,1129.0,0.18069087688219662,0.7093534711181769,0.33478676618690534,0.5097261539338472,0.17016101498728434,0.7431355181576617,0.3346153846153846,0.4264705882352941,-0.2826279465422883,112.0,0.723380299019807,0.49107142857142855,0.33035714285714285
logreg,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S4_crowd_x_trend1d,2,229.0,0.3406113537117904,0.7160808286636101,0.5739910436925075,0.6264230185367557,0.2205361095790056,0.6244541484716157,0.4642857142857143,0.6666666666666666,0.2926757790672537,22.0,2.3984722717571705,0.7727272727272727,0.22727272727272727
