bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,3452,0.0175893971881841,0.09994206257242179,raw
1,0.05,0.1,1114,0.07236031667742648,0.22621184919210055,raw
2,0.1,0.15000000000000002,648,0.12406055820247058,0.2515432098765432,raw
3,0.15000000000000002,0.2,461,0.17346849812200144,0.2928416485900217,raw
4,0.2,0.25,413,0.2234590141743487,0.3728813559322034,raw
5,0.25,0.30000000000000004,283,0.2728967586543209,0.31095406360424027,raw
6,0.30000000000000004,0.35000000000000003,264,0.3246691140889512,0.4356060606060606,raw
7,0.35000000000000003,0.4,197,0.3750988777211837,0.41116751269035534,raw
8,0.4,0.45,163,0.42463537189671696,0.48466257668711654,raw
9,0.45,0.5,154,0.4739271258248047,0.42207792207792205,raw
10,0.5,0.55,150,0.525293889841988,0.4533333333333333,raw
11,0.55,0.6000000000000001,135,0.5723404643632054,0.5037037037037037,raw
12,0.6000000000000001,0.65,146,0.6248867930581716,0.5068493150684932,raw
13,0.65,0.7000000000000001,106,0.6751489656243167,0.6037735849056604,raw
14,0.7000000000000001,0.75,88,0.7269340018303211,0.5909090909090909,raw
15,0.75,0.8,99,0.7743367786201348,0.6363636363636364,raw
16,0.8,0.8500000000000001,87,0.8239772545921645,0.6781609195402298,raw
17,0.8500000000000001,0.9,80,0.8709896949517619,0.6375,raw
18,0.9,0.9500000000000001,73,0.9286336221770665,0.8356164383561644,raw
19,0.9500000000000001,1.0,36,0.9677951666674729,0.8611111111111112,raw
0,0.0,0.05,524,0.03373332173622791,0.02862595419847328,cal_sigmoid
1,0.05,0.1,1182,0.0754829815833148,0.06006768189509306,cal_sigmoid
2,0.1,0.15000000000000002,1153,0.1247658274212636,0.12836079791847355,cal_sigmoid
3,0.15000000000000002,0.2,1018,0.17503534638423426,0.18172888015717092,cal_sigmoid
4,0.2,0.25,834,0.22372877953770373,0.2565947242206235,cal_sigmoid
5,0.25,0.30000000000000004,715,0.2741444474867276,0.26573426573426573,cal_sigmoid
6,0.30000000000000004,0.35000000000000003,632,0.3248881036427675,0.3449367088607595,cal_sigmoid
7,0.35000000000000003,0.4,496,0.37434880308871693,0.34475806451612906,cal_sigmoid
8,0.4,0.45,378,0.423458928456036,0.4523809523809524,cal_sigmoid
9,0.45,0.5,305,0.4742634940983001,0.42950819672131146,cal_sigmoid
10,0.5,0.55,283,0.5241144964347586,0.508833922261484,cal_sigmoid
11,0.55,0.6000000000000001,197,0.572844456767711,0.5736040609137056,cal_sigmoid
12,0.6000000000000001,0.65,150,0.62520421573631,0.5933333333333334,cal_sigmoid
13,0.65,0.7000000000000001,115,0.6740678487852108,0.6695652173913044,cal_sigmoid
14,0.7000000000000001,0.75,69,0.7195638493148382,0.6666666666666666,cal_sigmoid
15,0.75,0.8,60,0.7770396041446002,0.8666666666666667,cal_sigmoid
16,0.8,0.8500000000000001,26,0.8195040399518025,0.8846153846153846,cal_sigmoid
17,0.8500000000000001,0.9,9,0.8684748376073097,0.8888888888888888,cal_sigmoid
18,0.9,0.9500000000000001,3,0.9323105703803214,0.6666666666666666,cal_sigmoid
19,0.9500000000000001,1.0,0,,,cal_sigmoid
